"","","","","",""
"Mã","Nơi nhận","","","",""
"NKBC","Báo cáo tồn hộp thợ, báo cáo hao hụt","","","",""
"BKNXT","Báo cáo nhập xuất tồn, Báo cáo C3402 của chị Nga","","","",""
"","","","","",""
"Trường hợp","Nơi nhận","Số chứng từ","","Diễn giải","Lưu ý"
"","","Nhập","Xuất","",""
"Nhập xuất công đoạn","NKBC","NK+năm+tháng+ngày+STT lũy tiến trong ngày","XK+năm+tháng+ngày+STT lũy tiến trong ngày","Xuất + công đoạn
Nhập + công đoạn",""
"Nhập sản phẩm bảo hành từ kho Tổng","BKNXT","NK+năm+tháng+ngày+STT lũy tiến trong ngày","","Nhập sản phẩm bảo hành","Trong phần diễn giải phải có chữ bảo hành để chạy công thức ở cột nguồn nhập"
"Xuất sản phẩm bảo hành cho kho Tổng","BKNXT","","XK+năm+tháng+ngày+STT lũy tiến trong ngày","Xuất sản phẩm bảo hành","Trong phần diễn giải phải có chữ bảo hành để chạy công thức ở cột nguồn xuất"
"Nhập vàng, PT, Bạc NL từ kho Tổng, L2","BKNXT","PL+năm+tháng+ngày+STT lũy tiến trong ngày","","Nhập vàng KHS/VN/L2+NL + tuổi+ trọng lượng chỉ/ trọng lượng gram (quy 24K) + nguồn (giá tiền)","áp dụng tương tự cho bạc và PT
ở cột nguồn nhận NVL chọn nguồn nhận NVL tương ứng để chạy công thức ở cột nguồn nhận"
"Xuất vàng NL cho kho Tổng hoặc L2","BKNXT","","PL+năm+tháng+ngày+STT lũy tiến trong ngày","Xuất vàng KT/L2+NL + tuổi+ trọng lượng chỉ/ trọng lượng gram (quy 24K) + nguồn (giá tiền)","áp dụng tương tự cho bạc và PT"
"Xuất sản phẩm hoàn thành kho Tổng","BKNXT","","XK+năm+tháng+ngày+STT lũy tiến trong ngày","Xuất sản phẩm hoàn thành kho Tổng","Trong phần diễn giải phải có chữ kho Tổng để chạy công thức ở cột nguồn xuất"
"Xuất sản phẩm hoàn thành PSX L2","BKNXT","","XK+năm+tháng+ngày+STT lũy tiến trong ngày","Xuất sản phẩm hoàn thành L2","Trong phần diễn giải phải có chữ L2 để chạy công thức ở cột nguồn xuất"
"Nhập sản phẩm hủy từ KDS và các CH","BKNXT","PL+năm+tháng+ngày+STT lũy tiến trong ngày","","Nhập hủy KDS/CH+số lượng sợi+tuổi+trọng lượng chỉ/trọng lượng gram (quy 24K) + giá tiền","áp dụng tương tự cho bạc và PT"
"Nhập chênh lệch tuổi dẻ thợ cuối tháng","NKBC","NK+năm+tháng+ngày+STT lũy tiến trong ngày","","Chênh lệch + tuổi TB","ở cột tháng tính NXT xóa tháng tại vị trí nhập để đảm bảo báo cáo NXT chạy đúng"
"Xuất NL phân kim","BKNXT","","XK+năm+tháng+ngày+STT lũy tiến trong ngày","Xuất NL phân kim","Trong phần diễn giải phải có chữ phân kim để chạy công thức ở cột nguồn xuất"
"Nhập NL phân kim","BKNXT","NK+năm+tháng+ngày+STT lũy tiến trong ngày","","Nhập NL phân kim","ở cột nguồn nhận NVL chọn PK để chạy công thức ở cột nguồn nhận"
