"CÔNG TY TNHH ASIANA GOLD","","","",""
"","","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","","",""
"","","","",""
"Mã hàng","Tên hàng","Tuổi vàng (K)","Tuổi","MÃ NHÓM NL"
"I. NGUYÊN LIỆU VÀNG","","","",""
"A. THÀNH PHẨM","","","",""
"CW30CU-610","Dây khoen lật 0.30,610W","15K","61.00%","TP15K"
"CY30FS-610","Dây Franco vuông 0.30,610Y","15K","61.00%","TP15K"
"BBW3.0/4.0/6.0-750","Lắc bi 3.0/4.0/6.0,750W","18K","75.00%","TP18K"
"BBW3.0-750","Lắc bi 3.0,750W","18K","75.00%","TP18K"
"CBY3.0-750","Dây bi 3.0,750Y","18K","75.00%","TP18K"
"CBW3.0-750","Dây bi 3.0,750W","18K","75.00%","TP18K"
"CBY6.0-750","Dây bi 6.0,750Y","18K","75.00%","TP18K"
"CY50HE-610","Dây mì dẹp 0.50,610Y","15K","61.00%","TP15K"
"CY50HT1-610","Dây mì dẹp xoắn 0.50,610Y","15K","61.00%","TP15K"
"CW45CA1-750","Dây chữ cong 0.45,750W","18K","75.00%","TP18K"
"CY30FS-680","Dây Franco vuông 0.30,680Y","16K","68.00%","TP16K"
"CY70FS-680","Dây Franco vuông 0.70,680Y","16K","68.00%","TP16K"
"CW40CU-610","Dây khoen lật 0.40,610W","15K","61.00%","TP15K"
"CW30FS-610","Dây Franco vuông 0.30,610W","15K","61.00%","TP15K"
"CY35FS-680","Dây Franco vuông 0.35,680Y","16K","68.00%","TP16K"
"CY60FS-680","Dây Franco vuông 0.60,680Y","16K","68.00%","TP16K"
"BBW4.0-750","Lắc bi 4.0,750W","18K","75.00%","TP18K"
"CY30FS-750","Dây Franco vuông 0.30,750Y","18K","75.00%","TP18K"
"CY45FS-750","Dây Franco vuông 0.45,750Y","18K","75.00%","TP18K"
"CY40FS-680","Dây Franco vuông 0.40,680Y","16K","68.00%","TP16K"
"CW35FS-750","Dây Franco vuông 0.35,750W","18K","75.00%","TP18K"
"CY50FS-680","Dây Franco vuông 0.50,680Y","16K","68.00%","TP16K"
"CBY2.5/3.0-610","Dây bi 2.5/3.0,610Y","15K","61.00%","TP15K"
"CBY3.0-610","Dây bi 3.0,610Y","15K","61.00%","TP15K"
"BBY4.0-610","Lắc bi 4.0,610Y","15K","61.00%","TP15K"
"BBY4.0/6.0-610","Lắc bi 4.0/6.0,610Y","15K","61.00%","TP15K"
"BBY3.0/8.0-610","Lắc bi 3.0/8.0,610Y","15K","61.00%","TP15K"
"BBY2.5/4.0-610","Lắc bi 2.5/4.0,610Y","15K","61.00%","TP15K"
"BBY3.0/6.0-610","Lắc bi 3.0/6.0,610Y","15K","61.00%","TP15K"
"BBY2.5/6.0-610","Lắc bi 2.5/6.0,610Y","15K","61.00%","TP15K"
"BBY4.0-680","Lắc bi 4.0,680Y","16K","68.00%","TP16K"
"CBY4.0-680","Dây bi 4.0,680Y","16K","68.00%","TP16K"
"CBY4.0/6.0-680","Dây bi 4.0/6.0,680Y","16K","68.00%","TP16K"
"CBY3.0-680","Dây bi 3.0,680Y","16K","68.00%","TP16K"
"CY40CA4-750","Dây cong khế 0.4,750Y","18K","75.00%","TP18K"
