"Công ty TNHH ASIANA GOLD","","","","","","","",""
"","","","","","","","",""
"BẢNG KÊ GIAO NHẬN NVL THỢ SẢN XUẤT","","","","","","","",""
"","","","","Ngày :","16/12/2024","","",""
"","","","","Thợ sản xuất:","Lê Văn Tùng","","",""
"","","","","","","","",""
"XUẤT KHO","","","","","NHẬP KHO","","",""
"STT","MÃ NGUYÊN LIỆU","CHI TIẾT","TL THỰC XUẤT
(Gr)","CÔNG ĐOẠN","MÃ NGUYÊN LIỆU","CHI TIẾT","TL THỰC NHẬP
(Gr)","CÔNG ĐOẠN"
"","","","","","","","",""
"1","NL750W","Nguyên liệu vàng 18K trắng","75.12","Xuất đan","DDC45750W","Bán thành phẩm dây cong vàng 18KW, size 0.45mm","75.04",""
"2","NL680Y","Nguyên liệu vàng 68K vàng","258.78","Xuất đan","","","",""
"3","DDC45750W","Bán thành phẩm dây cong vàng 18KW, size 0.45mm","75.04","Xuất quay bi","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"TOTAL","","","408.94","","TOTAL","","75.04",""
"","","","","","","","",""
"","GS. Sản Xuất","","","Thợ Sản Xuất","","Nhân viên Kho","",""
"","(Kí tên)","","","(Kí tên)","","(Kí tên)","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","Mỹ Trân","","","Lê Văn Tùng","","Hoài Phong","",""
