"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Mã hàng","Tên hàng","Tuổi vàng","","","","","","","","","Ngày/tháng/năm","Stt","Ngày/tháng/năm","Stt","Ngày/tháng/năm","Stt","Ngày/tháng/năm","Stt","Ngày/tháng/năm","Stt"
"I. NGUYÊN LIỆU VÀNG","","","","","","","","","","","01/01/2026","1","01/02/2026","1","01/04/2026","1","01/05/2026","1","01/06/2026","1"
"A. NVL: VÀNG","","","","","","","","","","","02/01/2026","2","02/02/2026","2","02/04/2026","2","02/05/2026","2","02/06/2026","2"
"NL24K","Nguyên liệu vàng 24K","24K","99.99%","","","","","","","","03/01/2026","3","03/02/2026","3","03/04/2026","3","03/05/2026","3","03/06/2026","3"
"NL99","Nguyên liệu vàng 99.00%","24K","99.00%","","","","","","","","04/01/2026","4","04/02/2026","4","04/04/2026","4","04/05/2026","4","04/06/2026","4"
"NL23K","Nguyên liệu vàng 23K","23K","95.83%","","","","","","","","05/01/2026","5","05/02/2026","5","05/04/2026","5","05/05/2026","5","05/06/2026","5"
"NL750W","Nguyên liệu vàng 18K trắng","18K","75.00%","","","","","","","","06/01/2026","6","06/02/2026","6","06/04/2026","6","06/05/2026","6","06/06/2026","6"
"NL750Y","Nguyên liệu vàng 18K vàng","18K","75.00%","","","","","","","","07/01/2026","7","07/02/2026","7","07/04/2026","7","07/05/2026","7","07/06/2026","7"
"NL18KV.25%AG","Nguyên liệu vàng 18K vàng 25% bạc","18K","75.00%","","","","","","","","08/01/2026","8","08/02/2026","8","08/04/2026","8","08/05/2026","8","08/06/2026","8"
"NL750R","Nguyên liệu vàng 18K Hồng","18K","75.00%","","","","","","","","09/01/2026","9","09/02/2026","9","09/04/2026","9","09/05/2026","9","09/06/2026","9"
"NL708R","Nguyên liệu vàng 17K Hồng","17K","70.80%","","","","","","","","10/01/2026","10","10/02/2026","10","10/04/2026","10","10/05/2026","10","10/06/2026","10"
"NL680Y","Nguyên liệu vàng 68K vàng","68K","68.00%","","","","","","","","11/01/2026","11","11/02/2026","11","11/04/2026","11","11/05/2026","11","11/06/2026","11"
"NL610W","Nguyên liệu vàng 61K trắng","61K","61.00%","","","","","","","","12/01/2026","12","12/02/2026","12","12/04/2026","12","12/05/2026","12","12/06/2026","12"
"NL610Y","Nguyên liệu vàng 61K vàng","61K","61.00%","","","","","","","","13/01/2026","13","13/02/2026","13","13/04/2026","13","13/05/2026","13","13/06/2026","13"
