"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
" [AGVN-C3112] - BÁO CÁO NHẬP XUẤT TỒN KHO NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Từ ngày:","31/12/2024","","Đến ngày:","07/01/2025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0.00","","","-19741.43","","","-19529.74","","","","","","0.00","","","","","","","",""
"MÃ HÀNG","TÊN HÀNG HÓA","LOẠI 
VÀNG","TUỔI
 VÀNG","TỒN ĐẦU KỲ","","","NHẬP TRONG KỲ","","","XUẤT TRONG KỲ","","","TỒN CUỐI KỲ SỔ SÁCH","","","TỒN CUỐI KỲ THỰC TẾ","","","CHÊNH LỆCH","","GHI CHÚ","","",""
"","","","","TL
(gr)","TL
QUI 24K
(gr)","TL
QUI 24K
(L)","TL
(gr)","TL
QUI 24K
(gr)","TL
QUI 24K
(L)","TL
(Gr)","TL
QUI 24K
(Gr)","TL
QUI 24K
(L)","TL
(gr)","TL
QUI 24K
(gr)","TL
QUI 24K
(L)","TL
(gr)","TL
QUI 24K
(gr)","TL
QUI 24K
(L)","TL
(gr)","TL
QUI 24K
(L)","","","",""
"[1]","[2]","","[3]","[4]","[5] =  [4]*[3]/99.99","[6] =
[5]/37.5","[7]","[8] =  [7]*[3]/99.99","[9]=
[8]/37.5","[10]","[11] =  [10]*[3]/99.99","[12]=
[11]/37.5","[13] =
[4]+[7]-[10]","[14] =
[13]*[3]","[15] =
[14]/37.5","","","","","","","","",""
"NVL VÀNG","","","","0.00","#N/A","#N/A","3826.12","#N/A","#N/A","3393.71","#N/A","#N/A","432.41","#N/A","#N/A","0.00","#N/A","#N/A","429.09","#N/A","","","",""
"I. TỔNG NGUYÊN VẬT LIỆU VÀNG ","","","","0.00","0.00","0.00","2505.63","1852.83","49.41","2224.67","1648.89","43.97","280.96","203.94","5.44","0.00","0.00","0.00","267.13","194.53","","","",""
"A1. Nguyên liệu vàng","","","","0.00","0.00","0.00","2505.63","1852.83","49.41","2224.67","1648.89","43.97","280.96","203.94","5.44","0.00","0.00","0.00","267.13","194.53","","","",""
"NL24K","Nguyên liệu vàng 24K","24K","99.99%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"NL750W","Nguyên liệu vàng 18K trắng","18K","75.00%","0.00","0.00","0.00","1113.24","834.93","22.26","882.56","661.92","17.65","230.68","173.01","4.61","0.00","0.00","0.00","230.68","173.01","","","",""
"NL750Y","Nguyên liệu vàng 18K vàng","18K","75.00%","0.00","0.00","0.00","1181.24","885.93","23.62","1186.31","889.73","23.73","-5.07","-3.80","-0.10","0.00","0.00","0.00","-5.07","-3.80","","","KTRA SỐ LIỆU",""
"NL750R","Nguyên liệu vàng 18K Hồng","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"NL680Y","Nguyên liệu vàng 68K vàng","68K","68.00%","0.00","0.00","0.00","45.27","30.78","0.82","31.44","21.38","0.57","13.83","9.40","0.25","","","","","","","","",""
"NL610W","Nguyên liệu vàng 61K trắng","61K","61.00%","0.00","0.00","0.00","24.56","14.98","0.40","17.29","10.55","0.28","7.27","4.43","0.12","0.00","0.00","0.00","7.27","4.43","","","",""
"NL610Y","Nguyên liệu vàng 61K vàng","61K","61.00%","0.00","0.00","0.00","141.32","86.21","2.30","107.07","65.31","1.74","34.25","20.89","0.56","0.00","0.00","0.00","34.25","20.89","","","",""
"A2. Nguyên liệu vụn thợ","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
