"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BÁO CÁO NHANH NGUYÊN LIỆU TỒN KHO  LẦU 3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Tính đến :","7/10/2026 13:36:55","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","BẢNG CÂN ĐỐI NHANH NGUYÊN LIỆU","","","","","","","","","","","",""
"Stt","Mã NVL","Tên nguyên vật liệu","Loại vàng","Tuổi vàng","TL Tồn kho sổ sách (Gr)","TL Qui 24K
(Gr)","TL Qui 24K
(L)","Ghi chú","","","","","","","","","","","","","","","","","",""
"[1]","[2]","[3]","[4]","[5]","[6]","[7] = [6]*5/99.99%","[8] = [7]/37.5","","","","","","","","","","","","","","","","","","",""
"Tổng cộng vàng  qui vàng 24K","","","","","","","5.29","","","","","","","","","","","","","","","","","","",""
"","I. Nguyên liệu 24K","","","","0.00","0.00","0.00","","","","","","","Mã nguyên liệu ","NL610V","","","","","","","","","","",""
"1","NL24K","Nguyên liệu vàng 24K","24K","99.99%","0.00","0.00","0.00","","","","","","","TL yêu cầu","367.31","","239.00","","","NL24K","CY1418","CW918","Bạc","","",""
"","II. Nguyên liệu Dẻ","","","","272.2","198.36","5.29","","","","","","","","","","","18KV","48","36","12","","","","12",""
"1","NL750W","Nguyên liệu vàng 18K trắng","18K","75.00%","230.68","173.03","4.61","","","","","","","","","","","","","","","","","","",""
"2","NL750Y","Nguyên liệu vàng 18K vàng","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"1","NL750R","Nguyên liệu vàng 18K Hồng","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"2","NL610W","Nguyên liệu vàng 61K trắng","61K","61.00%","7.27","4.44","0.12","","","","","","","","","","","61KV","367.31","224.06","114.6","","28.65","","143.25",""
"2","NL610Y","Nguyên liệu vàng 61K vàng","61K","61.00%","34.25","20.89","0.56","","","","","","","","","","","","","","","","","","",""
"","III. Nguyên liệu Vụn","","","","0","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"1","VUNSX750W","Vụn sản xuất vàng 750 trắng","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"2","VUNSX750Y","Vụn sản xuất vàng 750 vàng","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"3","VUNSX750R","Vụn sản xuất vàng 750 hồng","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"1","VUNSX610W","Vụn sản xuất vàng 610 trắng","61K","61.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"2","VUNSX610Y","Vụn sản xuất vàng 610 vàng","61K","61.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"6","VUNSX610R","Vụn sản xuất vàng 610 hồng","61K","61.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"","IV. Nguyên liệu Vẫy hàn","","","","0","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"1","VH750Y","Nguyên liệu vảy hàn 18KV","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"2","VH610W","Nguyên liệu vảy hàn 610KT","61K","61.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"3","VH610Y","Nguyên liệu vảy hàn 610KV","61K","61.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"","V. Nguyên liệu Bôt","","","","0","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"1","BOT750W","Nguyên liệu bột 18KT","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"2","BOT750Y","Nguyên liệu bột 18KV","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"3","BOT750R","Nguyên liệu bột 18KH","18K","75.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"4","BOT610W","Nguyên liệu bột 610KT","61K","61.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"5","BOT610Y","Nguyên liệu bột 610KV","61K","61.00%","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","",""
"","VI. Nguyên liệu Bạc","","","","0","","","","X","","","","","","","","","","","","","","","","",""
"1","NLBAC9999.NTO","Nguyên liệu bạc 99.99-NTO","Bạc99.99","99.99%","0.00","","","","","","","","","","","","","","","","","","","","",""
"","VII. Hội","","","","0","","","","","","","","","","","","","","","","","","","","",""
"1","CY1418","#N/A","","","0.00","","","","","","","","","TL tồn kho","0.00","","","","","","","","","","",""
"2","CW918","#N/A","","","0.00","","","","","","","","","Mã nguyên liệu pha chế","HH3%B","HH20%AG.01","NL18KT","NL18KV","NL18KH","NL680T","NL680V","NL680H","NL610T","NL610V","NL610H",""
"3","S530","#N/A","","#N/A","0.00","","","","","","","","","NL24K","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","224.06","0.00","Đủ NL"
"4","H330A","#N/A","","#N/A","0.00","","","","","","","","","CY1418","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","114.60","0.00","Thiếu NL"
"5","HY88-3555","#N/A","","","0.00","","","","","","","","","CW918","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Đủ NL"
"6","DUCTRANG","#N/A","","","0.00","","","","","","","","","NLBAC9999.NTO","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.65","0.00","Đủ NL"
