"","Công ty TNHH ASIANA GOLD","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","BẢNG KÊ CHI TIẾT NHẬP KHO SẢN PHẨM BẢO HÀNH","","","","","","",""
"","","","","Từ ngày","01/09/2024","","Đến ngày","10/07/2026","","","",""
"","","","","","","","","","0.00","","",""
"PHIẾU NHẬP","","CHỨNG TỪ","","MÃ HÀNG","TÊN HÀNG","LOẠI VÀNG","NỘI DUNG","SỐ LƯỢNG
(CÁI)","TRỌNG LƯỢNG 
(Gr)","Ghi chú","Tháng sx",""
"NGÀY","SỐ ","NGÀY","SỐ ","","","","","","","Đơn hàng","",""
"TỔNG CỘNG ","","","","","","","","0.00","0.00","","",""
"#REF!","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
"","","","","","","","","","","","","#N/A"
