"Công ty TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","DANH SÁCH TỒN KHO PHỤ KIỆN KHÓA","","","","","","","","","","","","","","",""
"","","","","Ngày:","10/07/2026","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0.00","#REF!","#REF!","#REF!","0","0.00","0","0.00","","","","","","",""
"MÃ HÀNG","TÊN HÀNG","TUỔI VÀNG","MÀU SẮC","TỒN ĐẦU","","NHẬP NGOÀI","","XUẤT NGOÀI","","NHẬP SẢN XUẤT","","XUẤT SẢN XUẤT","","TỒN CUỐI (BAO GỒM KHÓA HƯ)","","GHI CHÚ KHÓA HƯ","","","",""
"","","","","SỐ LƯỢNG (Cái)","TRỌNG LƯỢNG (Gr)","SỐ LƯỢNG (Cái)","TRỌNG LƯỢNG (Gr)","SỐ LƯỢNG (Cái)","TRỌNG LƯỢNG (Gr)","SỐ LƯỢNG (Cái)","TRỌNG LƯỢNG (Gr)","SỐ LƯỢNG (Cái)","TRỌNG LƯỢNG (Gr)","SỐ LƯỢNG (Cái)","TRỌNG LƯỢNG (Gr)","SỐ LƯỢNG (Cái)","TRỌNG LƯỢNG (Gr)","","",""
"PK750YKT","Phụ kiện khóa tròn 18KV","75.00%","Vàng","219","41.68","0","#VALUE!","#N/A","#N/A","0","0.00","0","0.00","#N/A","#VALUE!","","","","#VALUE!","#VALUE!"
"PK750YKGN","Phụ kiện khóa giọt nước 18KV","75.00%","Vàng","27","13.75","0","#VALUE!","#N/A","#N/A","0","0.00","0","0.00","#N/A","#VALUE!","","","","#VALUE!",""
"PK610YKT","Phụ kiện khóa tròn 610KV","61.00%","Vàng","119","22.72","0","#VALUE!","#N/A","#N/A","0","0.00","0","0.00","#N/A","#VALUE!","","","","",""
"PK610YKGN","Phụ kiện khóa giọt nước 610KV","61.00%","Vàng","122","61.36","0","#VALUE!","#N/A","#N/A","0","0.00","0","0.00","#N/A","#VALUE!","","","","",""
