"Công ty TNHH ASIANA GOLD","","","","","",""
"","","","","","",""
"PHIẾU XUẤT KHO NGUYÊN VẬT LIỆU","","","","","",""
"","","Số phiếu: ","XK-NAU230800","","Ngày :",""
"","","Công đoạn:","Nấu - chế","","",""
"","","","","","",""
"Bộ phận giao: Kho Cấp phát","","","","","Bộ phận nhận : Sản xuất L.3",""
"Người giao:","","","","","Người nhận:",""
"Nội dung: ","","","Lệnh sản xuất:","","",""
"STT","Mã hàng","Tên hàng","Loại vàng","Đơn vị tính","Trọng lượng ","Ghi chú"
"","","","","","",""
"1","","","","","",""
"2","","","","","",""
"3","","","","","",""
"4","","","","","",""
"5","","","","","",""
"6","","","","","",""
"7","","","","","",""
"8","","","","","",""
"9","","","","","",""
"10","","","","","",""
"TỔNG XUẤT","","","","","0.00",""
"","","","","","",""
"GSNB
(Ký và ghi rõ họ tên)","","KTSX
(Ký và ghi rõ họ tên)","Kho Cấp phát
(Ký và ghi rõ họ tên)","","Người nhận
(Ký và ghi rõ họ tên)",""
