"","","","","",""
"","","","","",""
"","","","","",""
"SỐ LƯỢNG BI THEO ĐƠN HÀNG","","","","",""
"PO","Loại vàng","Loại bi","Kiểu khắc (Viên)","Số lượng bi theo PO","Số lượng bi SX (viên)"
"PO240105-750Y","750Y","TC 6.0 vàng","","197","227"
"PO240105-750Y","750Y","","6.0 caro","115","132"
"PO240105-750Y","750Y","","6.0 xoáy","33","38"
"PO240105-750Y","750Y","","6.0 ngang","49","56"
"PO240105-750Y","750Y","TC 5.0 vàng","","813","829"
"PO240105-750Y","750Y","","5.0 chữ M","813","829"
"PO240105-750Y","750Y","","","",""
"PO240105-750Y","750Y","","","",""
"PO240105-750Y","750Y","TC 4.0 vàng","","1388","1430"
"PO240105-750Y","750Y","","4.0 caro","1219","1256"
"PO240105-750Y","750Y","","4.0 xoáy","169","174"
"PO240105-750Y","750Y","","","",""
"PO240105-750Y","750Y","TC 3.0 vàng","842","1406","1617"
"PO240105-750Y","750Y","","3.0 caro","1406","1617"
"PO240105-750Y","750Y","","","",""
"PO240105-750Y","750Y","","","",""
"PO240105-750Y","750Y","TC 2.5 vàng","2979","3585","4015"
"PO240105-750Y","750Y","","2.5 caro","1881","2107"
"PO240105-750Y","750Y","","2.5 xoáy","1704","1908"
"PO240105-750Y","750Y","","","",""
"PO240105-750Y","750W","TC 6.0 trắng","","196","225"
"PO240105-750Y","750W","","6.0 xoáy","196",""
"PO240105-750Y","750W","","","",""
"PO240105-750Y","750W","","","",""
"PO240105-750Y","750W","TC 4.0 trắng","","1233","1295"
"PO240105-750Y","750W","","4.0 xoáy","1126",""
"PO240105-750Y","750W","","4.0 caro","107",""
"PO240105-750Y","750W","","","",""
"PO240105-750Y","750W","TC 3.0 trắng","","2172","2433"
"PO240105-750Y","750W","","3.0 caro","2172",""
"PO240105-750Y","750W","","","",""
"PO240105-750Y","750W","","","",""
"PO240105-750Y","750W","TC 2.5 trắng","","3324","3723"
"PO240105-750Y","750W","","2.5 caro","2943",""
"PO240105-750Y","750W","","2.5 xoáy","381",""
"PO240105-750Y","750W","","","",""
"PO240105-750Y","750R","4.0 Hồng","","41","53"
"PO240105-750Y","750R","","4.0 caro","41",""
"PO240105-750Y","750R","","","",""
"PO240105-750Y","750R","","","",""
"PO240105-750Y","750R","3.0 Hồng","","256","320"
"PO240105-750Y","750R","","3.0 caro","256",""
"PO240105-750Y","750R","","","",""
"PO240105-750Y","750R","","","",""
"PO240105-750Y","750R","2.5 Hồng","","241","301"
"PO240105-750Y","750R","","2.5 xoáy","241",""
"","","","","",""
"PO240304-750WY","750Y","TC 6.0 vàng","","44","84"
"PO240304-750WY","750Y","","6.0 xoáy","8",""
"PO240304-750WY","750Y","","6.0 Trơn","36",""
"PO240304-750WY","750Y","","","","0"
"PO240304-750WY","750Y","TC 5.0 vàng","","36","36"
"PO240304-750WY","750Y","","5.0 Trơn","36",""
"PO240304-750WY","750Y","","","",""
"PO240304-750WY","750Y","","","",""
"PO240304-750WY","750Y","TC 4.0 vàng","","446","464"
"PO240304-750WY","750Y","","4.0 caro","67",""
"PO240304-750WY","750Y","","4.0 xoáy","55",""
"PO240304-750WY","750Y","","4.0 Chữ S","6",""
"PO240304-750WY","750Y","","4.0 Trơn","318",""
"PO240304-750WY","750Y","TC 3.0 vàng","","481","500"
"PO240304-750WY","750Y","","3.0 caro","110",""
"PO240304-750WY","750Y","","3.0 Chữ S","53",""
"PO240304-750WY","750Y","","3.0 Trơn","318",""
"PO240304-750WY","750Y","","","",""
"PO240304-750WY","750W","TC 6.0 trắng","","36","80"
"PO240304-750WY","750W","","6.0 Trơn","36",""
"PO240304-750WY","750W","TC 5.0 trắng","","36","36"
"PO240304-750WY","750W","","5.0 Trơn","36",""
"PO240304-750WY","750W","","","",""
"PO240304-750WY","750W","","","",""
"PO240304-750WY","750W","TC 4.0 trắng","","324","324"
"PO240304-750WY","750W","","4.0 Chữ S","6",""
"PO240304-750WY","750W","","4.0 Trơn","318",""
"PO240304-750WY","750W","","","",""
"PO240304-750WY","750W","TC 3.0 trắng","","371","371"
"PO240304-750WY","750W","","3.0 Chữ S","53",""
"PO240304-750WY","750W","","3.0 Trơn","318",""
