"","","",""
"DANH MỤC CHUNG","","",""
"","","",""
"Nhập/xuất","Công đoạn","Ghép mã","Diễn giải"
"X","NAU","XK-NAU","Xuất nấu nguyên liệu"
"N","NAU","NK-NAU","Nhập sau nấu"
"X","CKE","XK-CKE","Xuất cán chỉ/cán dát"
"N","CKE","NK-CKE","Nhập sau cán chỉ/cán dát"
"X","KCH","XK-KCH","Xuất kéo chỉ"
"N","KCH","NK-KCH","Nhập sau kéo chỉ"
"X","DAN","XK-DAN","Xuất đan dây"
"N","DAN","NK-DAN","Nhập sau đan dây"
"X","HBT","XK-HBT","Xuất hàn băng tải"
"N","HBT","NK-HBT","Nhập sau hàn băng tải"
"X","CCD","XK-CCD","Xuất cắt dát"
"N","CCD","NK-CCD","Nhập sau cắt"
"X","KBI","XK-KBI","Xuất khắc bi"
"N","KBI","NK-KBI","Nhập sau khắc bi"
"X","QBI","XK-QBI","Xuất quay bóng"
"N","QBI","NK-QBI","Nhập sau quay bóng"
"X","DAP","XK-DAP","Xuất dập định hình"
"N","DAP","NK-DAP","Nhập sau dập định hình"
"X","NEN","XK-NEN","Xuất nén khít"
"N","NEN","NK-NEN","Nhập sau nén khít"
"X","DKB","XK-DKB","Xuất kết dây bi"
"N","DKB","NK-DKB","Nhập sau kết dây bi"
"X","BAO","XK-BAO","Xuất bào dây"
"N","BAO","NK-BAO","Nhập sau bào dây"
"X","CDA","XK-CDA","Xuất ra dây"
"N","CDA","NK-CDA","Nhập sau ra dây"
"X","HAN","XK-HAN","Xuất hàn băng tải"
"N","HAN","NK-HAN","Nhập sau hàn băng tải"
"X","HUY","XK-HUY","Xuất hủy"
"N","HUY","NK-HUY","Nhập sau hủy"
"X","KDA","XK-KDA","Xuất khắc dấu"
"N","KDA","NK-KDA","Nhập sau khắc dấu"
"X","GEP","XK-GEP","Xuất ghép"
"N","GEP","NK-GEP","Nhập sau ghép"
"X","BAS","XK-BAS","Xuất dập bass, bông khoen"
"N","BAS","NK-BAS","Nhập dập bass, bông khoen"
"X","DLL","XK-DLL","Xuất dập lưỡi lam"
"N","DLL","NK-DLL","Nhập sau dập lưỡi lam"
"X","BHH","XK-BHH","Xuất bảo hành"
"N","BHH","NK-BHH","Nhập sau bảo hành"
"X","XMA","XK-XMA","Xuất xi"
"N","XMA","NK-XMA","Nhập xi"
"X","SXK","XK-SXK","Xuất sản xuất khóa"
"N","SXK","NK-SXK","Nhập sau sản xuất khóa"
"X","NPK","XK-NPK","Xuất nấu phân kim"
"N","NPK","NK-NPK","Nhập sau nấu phân kim"
