"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","",""
"BÁO CÁO NHANH NGUYÊN LIỆU TỒN KHO CẤP PHÁT","","","","","","","","","","","",""
"","","","","","Tính đến :","10/07/2026 13:36:55","","","","","",""
"STT","NGUYÊN
 LIỆU","TUỔI VÀNG","TL VÀNG NGUYÊN
(GR)","TL VÀNG 
QUY 24K
(GR)","TL VÀNG 
QUY 24K
(LƯỢNG)","STT","NGUYÊN
 LIỆU","TUỔI VÀNG","TL VÀNG NGUYÊN
(GR)","TL VÀNG 
QUY 24K
(GR)","TL VÀNG 
QUY 24K
(LƯỢNG)","TỔNG CỘNG
TL QUY 24K
(LƯỢNG)"
"","Tổng cộng","","0.00","0.00","0.00","","Tổng cộng","","0.00","0.00","0.00","0.00"
"NGUYÊN LIỆU THÔ","NL10KT","41.60%","","0.00","0.00","VỤN","VUN10K","41.60%","","0.00","0.00",""
"","NL10KV","41.60%","","0.00","0.00","","","","","","",""
"","NL10KH","41.60%","","0.00","0.00","","","","","","",""
"","CỘNG NL 10K","","0.00","0.00","0.00","","CỘNG NL 10K","","0.00","0.00","0.00","0.00"
"","NL14KT","58.30%","","0.00","0.00","","VUN14K","58.30%","","0.00","0.00",""
"","NL14KV","58.30%","","0.00","0.00","","","","","","",""
"","NL14KH","58.30%","","0.00","0.00","","","","","","",""
"","CỘNG NL 14K","","0.00","0.00","0.00","","CỘNG NL 14K","","0.00","0.00","0.00","0.00"
"","NL18KT","75.00%","","0.00","0.00","","VUN18K","75.00%","","0.00","0.00",""
"","NL18KV","75.00%","","0.00","0.00","","","","","","",""
"","NL18KH","75.00%","","0.00","0.00","","","","","","",""
"","CỘNG NL 18K","","0.00","0.00","0.00","","CỘNG NL 18K","","0.00","0.00","0.00","0.00"
"","NL24K","99.99%","","0.00","0.00","","VUN24K","99.99%","","0.00","0.00",""
"","CỘNG NL 24K","","0.00","0.00","0.00","","","","","","",""
"","NLBạc99.99","99.99%","","0.00","0.00","","","","","","",""
"","NLBạc97","97.00%","","0.00","0.00","","","","","","",""
"","CỘNG NL 24K","","0.00","0.00","0.00","","CỘNG NL 24K","","0.00","0.00","0.00","0.00"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","BÁO CÁO NHANH TÌNH HÌNH NHẬP/XUẤT CÁC CÔNG ĐOẠN SẢN XUẤT","","","","","","","",""
"","","","","","","","","","","","",""
"STT","MÃ CÔNG ĐOẠN","TÊN CÔNG ĐOẠN","LOẠI VÀNG","TUỔI VÀNG","TL VÀNG NGUYÊN
(GR)","TL VÀNG 
QUY 24K
(GR)","TL VÀNG 
QUY 24K
(LƯỢNG)","","","","",""
"A","NAU","Nấu chế","","","","","","","","","",""
"1. NVL Vàng","","","","","0.00","0.00","0.00","","","","",""
"","","","24K","99.99%","","","","","","","",""
"","","","18K","75.00%","","","","","","","",""
"","","","","68.00%","","","","","","","",""
"","","","","61.00%","","","","","","","",""
"","","","14K","58.30%","","","","","","","",""
"","","","10K","41.60%","","","","","","","",""
"2. NVL bạc","","","","","0.00","0.00","0.00","","","","",""
"","","","Bạc 99.99","99.99%","","","","","","","",""
"","","","Bạc 97","97.00%","","","","","","","",""
"B","CKE","Cán kéo","","","","","","","","","",""
"1. NVL Vàng","","","","","0.00","0.00","0.00","","","","",""
"","","","24K","99.99%","","","","","","","",""
"","","","18K","75.00%","","","","","","","",""
"","","","","68.00%","","","","","","","",""
"","","","","61.00%","","","","","","","",""
"","","","14K","58.30%","","","","","","","",""
"","","","10K","41.60%","","","","","","","",""
"2. NVL bạc","","","","","0.00","0.00","0.00","","","","",""
"","","","Bạc 99.99","99.99%","","","","","","","",""
"","","","Bạc 97","97.00%","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","BÁO CÁO NHANH TÌNH HÌNH NHẬP/XUẤT CÁC CÔNG ĐOẠN SẢN XUẤT","","","","","","","",""
"","","","","","","","","","","","",""
"STT","MÃ CÔNG ĐOẠN","TÊN CÔNG ĐOẠN","NGUYÊN
 LIỆU","LOẠI VÀNG","TUỔI VÀNG","TỔNG XUẤT","TỔNG NHẬP","TL VÀNG NGUYÊN
(GR)","TL VÀNG 
QUY 24K
(GR)","TL VÀNG 
QUY 24K
(LƯỢNG)","",""
"A","NAU","Nấu chế","","","","","","","","","",""
"1. NVL Vàng","","","","","","0.00","0.00","0.00","0.00","0.00","",""
"","","","NL24K","24K","99.99%","","","","","","",""
"","","","NL18K","18K","75.00%","","","","","","",""
"","","","","","61.00%","","","","","","",""
"","","","","","68.00%","","","","","","",""
"","","","NL14K","14K","58.30%","","","","","","",""
"","","","NL10K","10K","41.60%","","","","","","",""
"2. NVL bạc","","","","","","0.00","0.00","0.00","0.00","0.00","",""
"","","","NLBAC9999","BAC9999","99.99%","","","","","","",""
"","","","NLBAC97","BAC97","97.00%","","","","","","",""
"B","CKE","Cán kéo","","","","","","","","","",""
"1. NVL Vàng","","","","","","0.00","0.00","0.00","0.00","0.00","",""
"","","","NL24K","24K","99.99%","","","","","","",""
"","","","NL18K","18K","75.00%","","","","","","",""
"","","","","","61.00%","","","","","","",""
"","","","","","68.00%","","","","","","",""
"","","","NL14K","14K","58.30%","","","","","","",""
"","","","NL10K","10K","41.60%","","","","","","",""
"","","","BTPC24K","24K","99.99%","","","","","","",""
"","","","BTPC18K","18K","75.00%","","","","","","",""
"","","","","","61.00%","","","","","","",""
"","","","","","68.00%","","","","","","",""
"","","","BTPC14K","14K","58.30%","","","","","","",""
"","","","BTPC10K","10K","41.60%","","","","","","",""
"2. NVL bạc","","","","","","0.00","0.00","0.00","0.00","0.00","",""
"","","","NLBAC97","","97.00%","","","","","","",""
"","","","BTPCBAC97","","97.00%","","","","","","",""
"C","DAN","Đan dây","","","","","","","","","",""
"1. NVL Vàng","","","","","","0.00","0.00","0.00","0.00","0.00","",""
"","","","BTPC24K","24K","99.99%","","","","","","",""
"","","","BTPC18K","18K","75.00%","","","","","","",""
"","","","","","61.00%","","","","","","",""
"","","","","","68.00%","","","","","","",""
"","","","BTPC14K","14K","58.30%","","","","","","",""
"","","","BTPC10K","10K","41.60%","","","","","","",""
"","","","TP1D24K","24K","99.99%","","","","","","",""
"","","","TP1D18K","18K","75.00%","","","","","","",""
"","","","","","61.00%","","","","","","",""
"","","","","","68.00%","","","","","","",""
"","","","TP1D14K","14K","58.30%","","","","","","",""
"","","","TP1D10K","10K","41.60%","","","","","","",""
"2. NVL bạc","","","","","","0.00","0.00","0.00","0.00","0.00","",""
"","","","NLBAC97","","97.00%","","","","","","",""
"","","","BTPCBAC97","","97.00%","","","","","","",""
