"CÔNG TY TNHH ASIANA GOLD","","",""
"","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","",""
"","","",""
"I. NGUYÊN LIỆU VÀNG","","",""
"A. NVL: VÀNG","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"NL10KT","Nguyên liệu vàng 10K Trắng","10K","41.60%"
"NL10KV","Nguyên liệu vàng 10K Vàng","10K","41.60%"
"NL10KH","Nguyên liệu vàng 10K Hồng","10K","41.60%"
"NL14KT","Nguyên liệu vàng 14K Trắng","14K","58.30%"
"NL14KV","Nguyên liệu vàng 14K Vàng","14K","58.30%"
"NL14KH","Nguyên liệu vàng 14K Hồng","14K","58.30%"
"NL18KT","Nguyên liệu vàng 18K Trắng","18K","75.00%"
"NL18KV","Nguyên liệu vàng 18K Vàng","18K","75.00%"
"NL18KH","Nguyên liệu vàng 18K Hồng","18K","75.00%"
"NL24K","Nguyên liệu vàng 24K","24K","99.99%"
"B. NVL: VẪY HÀN","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"VH10KT","Chỉ 10K Trắng","10K","41.60%"
"VH10KV","Chỉ 10K Vàng","10K","41.60%"
"VH10KH","Chỉ 10K Hồng","10K","41.60%"
"VH14KT","Chỉ 14K Trắng","14K","58.30%"
"VH14KV","Chỉ 14K Vàng","14K","58.30%"
"VH14KH","Chỉ 14K Hồng","14K","58.30%"
"VH18KT","Chỉ 18K Trắng","18K","75.00%"
"VH18KV","Chỉ 18K Vàng","18K","75.00%"
"VH18KH","Chỉ 18K Hồng","18K","75.00%"
"NL24K","Chỉ 24K","24K","99.99%"
"C. NVL: PHỤ KIỆN","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"PK10KT","Phụ kiện 10K Trắng","10K","41.60%"
"PK10KV","Phụ kiện 10K Vàng","10K","41.60%"
"PK10KH","Phụ kiện 10K Hồng","10K","41.60%"
"PK14KT","Phụ kiện 14K Trắng","14K","58.30%"
"PK14KV","Phụ kiện 14K Vàng","14K","58.30%"
"PK14KH","Phụ kiện 14K Hồng","14K","58.30%"
"PK18KT","Phụ kiện 18K Trắng","18K","75.00%"
"PK18KV","Phụ kiện 18K Vàng","18K","75.00%"
"PK18KH","Phụ kiện 18K Hồng","18K","75.00%"
"PK24K","Phụ kiện 24K","24K","99.99%"
"D. NVL: VỤN","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"VUN10K","Vụn 10K","10K","41.60%"
"VUN14K","Vụn 14K","14K","58.30%"
"VUN18K","Vụn 18K","18K","75.00%"
"VUN24K","Vụn  24K ","24K","99.99%"
"II. SẢN PHẨM","","",""
"A1. BTP-DÂY ĐAN","","",""
