"THEO DÕI TỒN SỔ SÁCH BẠC","","","","","","","","","","10/07/2026"
"","","","","","","","","","",""
"","","","Cập nhật đến ngày 10 tháng 7 năm 2026","","","","","","",""
"","","","","","","","","","",""
"","","","","","0.00","1681.52","","","",""
"Stt","Tên nguyên liệu","Tồn đầu kỳ
 sổ sách T5.2024
(Gr)","Tồn Đầu kỳ 
thực tế
(Gr)","Nhập trong kỳ
(Gr)","Xuất trong kỳ
(Gr)","Tồn cuối kỳ 
thực tế
(Gr)","Chênh lệch sổ sách và thực tế 
(gr)","","",""
"1","Bạc","2187.00","1681.52","0","0","1681.52","505.48","","",""
"2","....","","","","","0","0","","",""
"","","","","","","","","","",""
"Chi tiết xuất kho tháng 5","","","0","","","","","","",""
"Stt","Ngày","Tên nguyên liệu","Trọng lượng
(Gr)","PO","","","","","",""
"1","#N/A","","","","","","","","",""
"2","","","","","","","","","",""
"3","","","","","","","","","",""
"4","","","","","","","","","",""
