"PHIẾU  D9E62 HA CHẾ NGUYÊN LIỆU","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Người thực hiện : Lương Trí Hiển","","","","Bộ phận : KTSX L2","","","","Số phiếu:","","Ngày : 24/10/2023","","",""
"Nội dung: Xuất chế Hỗn hợp 20% Bạc 01: dùng pha chế vàng 750 và 610","","","","","","","","TỔNG","  -   ","","","",""
"Tổng TL cần thực hiện pha chế: ","","374.70","gr","","","","","","","","","",""
"I. Xuất nguyên liệu ","","","","","","II. Kết quả nấu chế","","","","","","",""
"STT","Tên nguyên liệu","Tỉ lệ % pha chế","Tuổi nguyên liệu","ĐVT","Trọng lượng(gr)","STT","Tên nguyên liệu","Tuổi nguyên liệu","ĐVT","Trọng lượng","","",""
"1","Bạc 99.99","20%","","gr","74.94","1"," HH20% Bạc 01 ",""," gr ","  371.70 ","","",""
"2","CY1418","80%","","gr","299.76","","","","","","","",""
"","","","","","374.70","","","","","","","",""
"","","","","","","","","","","","","",""
"","GSNB","","Kho L3","","","","Người thực hiện","","Người lập biểu","","","",""
"","(Ký, ghi rõ họ tên)","","(Ký, ghi rõ họ tên)","","","","(Ký, ghi rõ họ tên)","","(Ký, ghi rõ họ tên)","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"PHIẾU PHA CHẾ NGUYÊN LIỆU","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Người thực hiện : Lương Trí Hiển","","","","Bộ phận : KTSX L2","","","","Số phiếu:","","Ngày : 24/10/2023","","",""
"Nội dung: Xuất chế Hỗn hợp 20% Bạc 01: dùng pha chế vàng 750 và 610","","","","","","","","TỔNG","  -   ","","","",""
"Tổng TL cần thực hiện pha chế: ","","374.70","gr","","","","","","","","","",""
"I. Xuất nguyên liệu ","","","","","","II. Kết quả nấu chế","","","","","","",""
"STT","Tên nguyên liệu","Tỉ lệ % pha chế","Tuổi nguyên liệu","ĐVT","Trọng lượng(gr)","STT","Tên nguyên liệu","Tuổi nguyên liệu","ĐVT","Trọng lượng","","",""
"1","Bạc 99.99","20%","","gr","74.94","1"," HH20% Bạc 01 ",""," gr ","  371.70 ","","",""
"2","CY1418","80%","","gr","299.76","","","","","","","",""
"","","","","","374.70","","","","","","","",""
"","","","","","","","","","","","","",""
"","GSNB","","Kho L3","","","","Người thực hiện","","Người lập biểu","","","",""
"","(Ký, ghi rõ họ tên)","","(Ký, ghi rõ họ tên)","","","","(Ký, ghi rõ họ tên)","","(Ký, ghi rõ họ tên)","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"PHIẾU PHA CHẾ NGUYÊN LIỆU","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Người thực hiện : Lương Trí Hiển","","","","Bộ phận : KTSX L2","","","","Số phiếu:","","Ngày : 24/10/2023","","",""
"Nội dung: Xuất nấu chế vàng 610W, đơn hàng dây đan, PO231003-610-1","","","","","","","","TỔNG","  -   ","","","",""
"Tổng TL cần thực hiện pha chế: ","","532.78","gr","","","","","","","","","",""
"I. Xuất nguyên liệu ","","","","","","II. Kết quả nấu chế","","","","","","",""
"STT","Tên nguyên liệu","Tỉ lệ % pha chế","Tuổi nguyên liệu","ĐVT","Trọng lượng(gr)","STT","Tên nguyên liệu","Tuổi nguyên liệu","ĐVT","Trọng lượng","","","163.92"
"1"," HH20% Bạc 01 ","39%","","gr","207.78","1"," NL610W ","61%"," gr ","","","",""
"2","NL24K","61%","","gr","325.00","","","","","","","",""
"","","","","","532.78","","","","","","","",""
"","","","","","","","","","","","","",""
"","GSNB","","Kho L3","","","","Người thực hiện","","Người lập biểu","","","",""
"","(Ký, ghi rõ họ tên)","","(Ký, ghi rõ họ tên)","","","","(Ký, ghi rõ họ tên)","","(Ký, ghi rõ họ tên)","","","",""
