"spreadsheet","tab_name","tab_gid","column_index","field_name"
"02-bao-cao-ton-hop-tho-2026","HUONG DAN","1253388345","1",""
"02-bao-cao-ton-hop-tho-2026","HUONG DAN","1253388345","2",""
"02-bao-cao-ton-hop-tho-2026","HUONG DAN","1253388345","3",""
"02-bao-cao-ton-hop-tho-2026","HUONG DAN","1253388345","4","HƯỚNG DẪN CHI TIẾT LINK TỔNG HỢP BÁO CÁO"
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","1","Công ty TNHH ASIANA GOLD"
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","2",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","3",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","4",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","5",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","6",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","7",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","8",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","9",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","10",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","11",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","12",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","13",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","14",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","15",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","16",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","17",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","18",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","19",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","20",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","21",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","22",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","23",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","24",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","25",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","26",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX","86431264","27",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","1","Công ty TNHH ASIANA GOLD"
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","2",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","3",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","4",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","5",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","6",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","7",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","8",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","9",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","10",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","11",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","12",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","13",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","14",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","15",""
"02-bao-cao-ton-hop-tho-2026","A.NHẬT KÝ SX-FILTER T05.2026","977136438","16",""
