"","","","","","","","","","","","","","","","","","","","",""
"[AGVN-B204]-BÁO CÁO KẾ HOẠCH RA DÂY ĐAN THÀNH PHẨM","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"STT
[1]","SỐ PO
[2]","MÃ SẢN PHẨM
[3]","TÊN SẢN PHẨM
[4]","KẾT CẤU SẢN PHẨM","","","","","SỐ LƯỢNG
(Sợi)
[10]","TRỌNG LƯỢNG/SỢI
(Gr)
[11]","NGÀY GIAO THỢ
[12]","Trọng lượng dây bào giao thợ
(Gr)
","NGÀY HOÀN THÀNH 
[13]","THÀNH PHẨM NHẬP KHO","","SỐ NGÀY ĐÃ THỰC HIỆN 
(NGÀY)
[16]","TRẠNG THÁI
[17]","","",""
"","","","","MÀU SẮC
[5]","TUỔI VÀNG
[6]","ĐƯỜNG KÍNH CHỈ
[7]","ĐỘ DÀI
[8]","LOẠI KHÓA
[9]","","","","","","SỐ LƯỢNG (SỢI)
[14]","TRỌNG LƯỢNG
 (SỢI)
[15]","","","","",""
"TOTAL","","","","","","","","","627.4689826","","","","","453","768.59","86","","","",""
"1","PO230801","CY30CA1","Dây chữ cong size 0.30mm","Vàng","750Y","0.3mm","42-44 cm","Khóa tròn","27","1.60","14/12/2023","36.67","27/12/2023","27","42.79","13","Hoàn tất","8","12.8","43.2"
"2","PO230801","CY40CA1","Dây chữ cong size 0.40mm","Vàng","750Y","0.4mm","44-46 cm","Khóa tròn","10","2.51","14/12/2023","22.74","27/12/2023","10","23.16","13","Hoàn tất","8","20.08",""
"3","PO230902-750-1/2","CY30CU","Dây khoen lật size 0.30mm","Vàng","750Y","0.3mm","42-44cm","Khóa tròn","32","1.56","14/12/2023","52.99","27/12/2023","32","27.42","13","Hoàn tất","8","12.48",""
"4","PO231104-610W","CW40CU","Dây khoen lật size 0.40mm","Trắng","610W","0.4mm","44-46cm","Khóa tròn","13","2.04","27/12/2023","30.6","28/12/2023","13","31.65","1","Hoàn tất","","0",""
"5","PO231104-610W","CW30CU","Dây khoen lật size 0.30mm","Trắng","610W","0.3mm","42-44cm","Khóa tròn","18","1.47","27/12/2023","20.87","28/12/2023","18","24.66","1","Hoàn tất","","0",""
"KẾ HOẠCH NGÀY 9/12/2023","","","","","","","","","100","","","","","100","149.68","41","","","0",""
"1","PO231104-610W","CW30CU","Dây khoen lật size 0.30mm","Trắng","610W","0.3mm","42-44cm","Khóa tròn","18","1.47","","22.71","","","","","","15/12","#VALUE!",""
"2","PO231104-610W","CW40CU","Dây khoen lật size 0.40mm","Trắng","610W","0.4mm","44-46cm","Khóa tròn","10","2.04","","25.11","","","","","","15/12","#VALUE!",""
"3","PO231104-610W","CY50CU","Dây khoen lật 0.50","Trắng","610W","0.5mm","45-47cm","Khóa tròn","26","4.03","","106.67","","","","","","","",""
"4","PO230902-750-2","CY30CU","Dây khoen lật size 0.30mm","Vàng","750Y","0.3mm","42-44cm","Khóa tròn","21","1.56","28/12/2023","28.63","29/12/2023","21","32.88","1","Hoàn tất","","0",""
"5","PO230902-750-2","CY50CA1","Dây chữ cong size 0.50mm","Vàng","750Y","0.5mm","45-47cm","Khóa tròn","1","4.78","28/12/2023","5.87","29/12/2023","1","3.67","1","Hoàn tất","","0",""
"KẾ HOẠCH NGÀY 18/12/2023","","","","","","","","","76.46898263","","","","","22","36.55","2","","","0",""
"3","PO231106-610WY","CY35CA1","Dây chữ cong size 0.35mm","Vàng","610Y","0.35mm","43-45cm","Khóa tròn","24","2.53","09/01/2024","62.00","11/1/2024","24","","","Hoàn tất","","0",""
"4","PO231106-610WY","CY40CA1","Dây chữ cong size 0.40mm","Vàng","610Y","0.40mm","44-46cm","Khóa tròn","24","2.53","09/01/2024","60.46","11/1/2024","24","","","Hoàn tất","","0",""
"5","PO231106-610WY","CY30CA1","Dây chữ cong size 0.30mm","Vàng","610Y","0.30mm","42-44cm","Khóa tròn","27","1.41","09/01/2024","72.36","11/1/2024","27","","","Hoàn tất","","0",""
"KẾ HOẠCH NGÀY 28/12/2023","","","","","","","","","75","6.47","","","","","0","0","","","0",""
"6","PO231107-750YW","CY30CA1","Dây chữ cong size 0.30mm","Vàng","750Y","0.30mm","42-44cm","Khóa tròn","26","1.60","15/1/2024","42.1","17/01/2024","","","","Hoàn tất","L2","#VALUE!",""
"7","PO231107-750YW","CY40CA1","Dây chữ cong size 0.40mm","Vàng","750Y","0.4mm","44-46cm","Khóa tròn","32","2.51","15/1/2024","79.26","17/01/2024","","","","Hoàn tất","L2","#VALUE!",""
"8","PO231107-750YW","CY35CA1","Dây chữ cong size 0.35mm","Vàng","750Y","0.35mm","43-45cm","Khóa tròn","16","2.53","15/1/2024","15/1","17/01/2024","","","","Hoàn tất","L2","#VALUE!",""
"KẾ HOẠCH NGÀY 29/12/2023","","","","","","","","","74","6.64","","","","","0","0","","","0",""
"9","PO231210-610Y","CY50CU","Dây chữ cong size 0.50mm","Vàng","610Y","0.5mm","45-47cm","Khóa tròn","19","2.40","11/1/2024","77.16","13/1/2024","19","78.21","","Hoàn tất","L2","#VALUE!",""
"10","PO231209-750Y","CY40CA1","Dây chữ cong size 0.40mm","Vàng","750Y","0.40mm","44-46cm","Khóa tròn","16","3.00","12/1/2024","36.96","12/1/2024","16","40.37","","Hoàn tất","L3","#VALUE!","khắc xi"
"11","PO230902-750-2","CY50CU","Dây khoen lật 0.50","Vàng","750Y","0.5mm","45-47cm","Khóa tròn","30","5.63","15/1/2024","131.36","15/1/2024","30","129","","Hoàn tất","L3","#VALUE!",""
"12","PO231209-750Y","CY50CU","Dây khoen lật 0.50","Vàng","750Y","0.5mm","45-47cm","Khóa tròn","6","5.63","15/1/2024","24.42","15/1/2024","6","25.8","","Hoàn tất","L3","#VALUE!",""
"13","PO231210-610Y","CY30CU","Dây khoen lật 0.30","Vàng","610Y","0.3mm","42-44cm","Khóa tròn","32","1.47","11/1/2024","46.64","13/1/2024","32","53.33","","Hoàn tất","L2","#VALUE!",""
"14","PO231210-610Y","CY40CU","Dây khoen lật 0.40","Vàng","610Y","0.4mm","44-46cm","Khóa tròn","31","2.04","11/1/2024","63.87","13/1/2024","31","69.42","","Hoàn tất","L2","#VALUE!",""
"KẾ HOẠCH NGÀY 30/12/2023","","","","","","","","","134","20.17","","","","","148.55","0","","","0",""
"1","DHAG-24/11/01","CW60HE","Dây mì dẹp trơn 0.60mm","Trắng","75.00%","0.60","48cm","Giọt nước","5","","","","","","","","Đang thực hiện","Hoàn tất","",""
"2","DHAG-24/11/01","CW30HE","Dây mì dẹp trơn 0.30mm","Trắng","75.00%","0.30","44cm","Giọt nước","5","","","","","","","","Đang thực hiện","Hoàn tất","",""
"3","DHAG-24/11/01","CW30HT1","Dây mì dẹp xoắn 0.30mm","Trắng","75.00%","0.30","44cm","Giọt nước","5","","","","","","","","Đang thực hiện","Hoàn tất","",""
"4","DHAG-24/10/06","CY25CA1","Dây chữ cong 0.25mm","Vàng","75.00%","0.25","41cm","Tròn","10","","","","","","","","Đang thực hiện","Chờ khóa","",""
"5","DHAG-24/10/06","CY25CA1","Dây chữ cong 0.25mm","Vàng","75.00%","0.25","46cm","Tròn","10","","","","","","","","Đang thực hiện","Chờ khóa","",""
"TOTAL","","","","","","","","","35","","","","","","","","","","",""
"1","DHAG-25/05/12","CY50CA4","Dây cong khế 0.50","Trắng","75.00%","0.50","45-47","Tròn","5","","","","","","","","","","",""
"3","DHAG-25/05/12","CY60CA4","Dây cong khế 0.60","Trắng","75.00%","0.60","46-48","Tròn","5","","","","","","","","","","",""
"4","[DHAG-25/06/04]","CY40CA4","Dây cong khế 0.40","Vàng ","61.00%","0.40","38","Tròn","5","","","","","","","","","","",""
"5","[DHAG-25/06/04]","CY40CA4","Dây cong khế 0.40","Vàng ","61.00%","0.40","35","Tròn","5","","","","","","","","","","",""
"6","[DHAG-25/06/02]","CY60CA4","Dây cong khế 0.60","Vàng ","68.00%","0.60","45","Giọt nước","5","","","","","","","","","","",""
"7","[DHAG-25/06/02]","CY50CA4","Dây cong khế 0.50","Vàng ","68.00%","0.50","45","Giọt nước","4","","","","","","","","","","",""
"8","[DHAG-25/06/02]","CY40CA4","Dây cong khế 0.40","Vàng ","68.00%","0.40","45","Giọt nước","10","","","","","","","","","","",""
"8","[DHAG-25/06/02]","CY40CA4","Dây cong khế 0.40","Vàng ","68.00%","0.40","36","Giọt nước","10","","","","","","","","","","",""
"TOTAL","","","","","","","","","49","","","","","","","","","","",""
