"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[AGVN-B204] BÁO CÁO KẾ HOẠCH RA DÂY/XỎ DÂY BI THÀNH PHẨM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","192","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Đang thiếu khóa giọt nước","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STT
[1]","SỐ PO
[2]","MÃ SẢN PHẨM
[3]","TÊN SẢN PHẨM
[4]","KẾT CẤU SẢN PHẨM","","","","KIỂU XỎ","","CHI TIẾT BI/1 SỢI","","","","","","","","","","","","","","SỐ LƯỢNG
(Sợi)
[10]","TRỌNG LƯỢNG/SỢI
(Gr)
[11]","NGÀY DỰ KIẾN GIAO THỢ
[12]","Trọng lượng dây bào giao thợ
(Gr)
","NGÀY HOÀN THÀNH
[13]","THÀNH PHẨM NHẬP KHO","","SỐ NGÀY ĐÃ THỰC HIỆN 
(NGÀY)
[16]","TRẠNG THÁI
[17]","","","","","",""
"","","","","MÀU SẮC
[5]","TUỔI VÀNG
[6]","ĐỘ DÀI
[8]","LOẠI KHÓA
[9]","SIZE BI","KIỂU","2.5 
XOÁY","2.5
CARO","3.0
CARO","3.0
XOÁY","3.0
Lồng đèn","4.0 
CARO","4.0
MŨI TÊN","4.0
SỌC NGANG","4.0
CHỮ C","6.0
CARO","6.0
SỌC NGANG","6.0
XOÁY","8.0
DƯA HẤU","8.0
SỌC NGANG","","","","","","SỐ LƯỢNG (SỢI)
[14]","TRỌNG LƯỢNG
 (SỢI)
[15]","","","","","","","",""
"TOTAL","","","","","","","","","","","","570","257","","125","45","44","","185","134","56","45","40","314","","","","","24","115.53","0","","","","","","",""
"1","PO231104-610Y","CBY2.53","Dây bi 2.5mm & 3.0mm","Vàng","610Y","45-47cm","Giọt nước","2.5-3.0","Xoáy-Caro","470","","470","","","","","","","","","","","","5","12.51","3/1/2024","36.67","5/1/2024","4","57.7","","Hoàn tất","3","57.7","","3","115.53",""
"2","PO231104-610Y","BBY2.53","Lắc bi 2.5mm & 3.0mm","Vàng","610Y","15-17cm","Khóa tròn","2.5-3.0","Xoáy-Caro","","160","","160","","","","","","","","","","","5","4.42","3/1/2024","22.74","6/1/2024","5","26.29","","Hoàn tất","3","26.29","","3.5","150",""
"3","PO231104-610Y","BBY2.54","Lắc bi 2.5mm & 4.0mm","Vàng","610Y","15-17cm","Khóa tròn","2.5-4.0","Xoáy-Caro","123","","","","","123","","","","","","","","","5","4.73","4/1/2024","","6/12/2024","5","31.54","","Hoàn tất","3","31.54","","","",""
"1","PO231104-610Y","BBY2.56","Lắc bi 2.5mm & 6.0mm","Vàng","610Y","15.5-17.5cm","Khóa tròn","2.5-6.0-2.5-6.0","Caro-Caro-Xoáy-Sọc Ngang","55","55","","","","","","","","","50","50","","","5","8.08","5/1/2024","","8/1/2024","5.00","","","Hoàn tất","3","","","","",""
"2","PO231104-610Y","BBY36","Lắc bi 3.0mm & 6.0mm","Vàng","610Y","15.5-17.5cm","Khóa tròn","3.0-6.0-3.0-6.0","Caro-caro-Xoáy-Sọc Ngang","","","52","52","","","","","","52","52","","","","5","8.24","5/1/2024","52.99","8/1/2024","5.00","","","Hoàn tất","3","","","","",""
"3","PO231104-610Y","BBY38","Lắc bi 3.0mm & 8.0mm","Vàng","610Y","15.5-17.5cm","Giọt nước","3.0-8.0-3.0-8.0","Xoáy-Dưa Hấu-Caro-Sọc Ngang","","","39","39","","","","","","","","","39","39","5","9.91","8/1/2024","30.6","9/1/2024","5.00","","","Hoàn tất","3","","","","",""
"4","PO231104-610Y","BBY46","Lắc bi 4.0mm & 6.0mm","Vàng","610Y","15.5-17.5cm","Khóa tròn","4.0-6.0-4.0-6.0","Sọc Ngang-Caro-Mũi Tên-sọc ngang","","","","","","","43","43","","43","43","","","","5","7.47","9/1/2024","20.87","10/1/2024","5","","","Hoàn tất","3.5","","","","",""
"KẾ HOẠCH NGÀY 19/12/2023","","","","","","","","","","648","215","561","251","","123","43","43","0","95","145","50","39","39","35","","","","","34","115.53","0","0","","","","","",""
"1","PO231208-750WY","CBY2.56","Dây bi 2.5mm & 6.0mm","Vàng","750Y","46cm","Giọt nước","2.5-6.0","Xoáy-Xoáy","","250","","","","","","","","","","250","","","4","36.08","1/1/2023","","10/1/2024","4","","","Hoàn tất","","","","","",""
"KẾ HOẠCH NGÀY 18/12/2023","","","","","","","","","","0","250","0","0","","0","0","0","0","0","0","250","0","0","4","","","","","29","31.54","0","0","","","","","",""
"5","PO230902","BBY2.54","Lắc bi 2.5mm & 4.0mm","Vàng","750Y","15-17cm","Khóa tròn","2.5-4.0","Caro-Ngang full","","26","","","","","","26","","","","","","","1","4.73","9/1/2024","","10/1/2024","1","","","Hoàn tất","","26.15384615","","","",""
"6","PO230902","BBY34","Lắc bi 3.0mm & 4.0mm","Vàng","750Y","15-17cm","Khóa tròn","3.0-3.0-4.0-3.0-3.0","Xoáy-Xoáy-Chữ C-Xoáy-Xoáy","","","","40","","","","","10","","","","","","1","4.40","9/1/2024","","10/1/2024","1","","","Hoàn tất","","56.66666667","","","",""
"7","PO230902","BBY2.5","Lắc bi 2.5mm ","Vàng","750Y","15-17cm","Giọt nước","2.5","Caro","136","","","","","","","","","","","","","","2","17.29","9/1/2024","","10/1/2024","2","","","Hoàn tất","","68","","","",""
"KẾ HOẠCH NGÀY 28/12/2023","","","","","","","","","","136","26","0","40","","0","0","26","10","0","0","0","0","0","4","","","","","13","0","0","","","","","","",""
"8","PO231104-610Y","CBY3","Dây bi 3.0mm","Vàng","610Y","45-47cm","Giọt nước","3.0","Xoáy","","","","150","","","","","","","","","","","2","12","10/1/2024","","10/1/2024","2","","","Hoàn tất","","","","","",""
"9","PO230902-750W-3","BBW36","Lắc bi 3.0mm & 6.0mm","Trắng","750W","15.5-17.5cm","Giọt nước","3.0-6.0","Caro-Xoáy","","","20","","","","","","","","","20","","","6","10.13","11/1/2024","","11/1/2024","6","","","Hoàn tất","","","","","",""
"10","PO230902-750W-3","CBW3","Dây bi 3.0mm","Trắng","750W","45-47cm","Giọt nước","3.0","Caro","","","160","","","","","","","","","","","","2","12","11/1/2024","","11/1/2024","2","","","Hoàn tất","","","","","",""
"KẾ HOẠCH NGÀY 30/12/2023","","","","","","","","","","0","0","180","150","","0","0","0","0","0","0","20","0","0","10","","","","","14","0","0","","","","","","",""
"11","PO231104-610Y","CBY3","Dây bi 3.0mm","Vàng","610Y","45-47cm","Giọt nước","3.0","Xoáy","","","","165","","","","","","","","","","","2","12","","","","","","","","L2","","","","",""
