"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[AGVN-B204D] TỔNG HỢP CÁC ĐƠN HÀNG DÂY","","","","","","","","","","","","","","","[AGVN-B204B] TỔNG HỢP CÁC ĐƠN HÀNG BI","","","","","","","","","","","","","","","[AGVN-B204PK] TỔNG HỢP CÁC ĐƠN HÀNG PHỤ KIỆN","","","","","","","","","","",""
"","1. DÂY","","","","","","","","","","","","","","","2. BI","","","","","","","","","","","","","","","3. PHỤ KIỆN","","","","","","","","","","",""
"STT","Mã đơn hàng","Nơi giao","Ngày đơn hàng","Deadline","Loại vàng","SL đặt đơn
(Sợi)","Tổng TL 24K 
(L)","","Trạng thái đơn hàng","","","Tiền công bán","","","STT","Mã đơn hàng","Nơi giao","Ngày đơn hàng","Deadline","Loại vàng","SL đặt đơn
(Sợi)","Tổng TL 24K 
(L)","","Trạng thái đơn hàng","","","Tiền công bán","","","STT","Mã đơn hàng","Nơi giao","Ngày đơn hàng","Deadline","Loại vàng","SL đặt đơn
(Viên/cái)","Tổng TL 24K 
(L)","","Trạng thái đơn hàng","","Tiền công bán",""
"","","","","","","","Tổng TL sản phầm","Tổng TL cần đề xuất sản xuất","Hiện trạng","Nguồn cấp","Tiến độ","Tiền công","Hao lai","","","","","","","","","Tổng TL sản phầm","Tổng TL cần đề xuất sản xuất","Hiện trạng","Nguồn cấp","Tiến độ","Tiền công","Hao lai","","","","","","","","","Tổng TL sản phầm","Tổng TL cần đề xuất sản xuất","Hiện trạng","Nguồn cấp","Tiền công","Hao lai"
"","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","","[11]","[12]","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","","[11]","[12]","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]"
"A.","Vàng 24K","","","","","","","","","","","","","","A.","Vàng 24K","","","","","","","","","","","","","","A.","Vàng 24K","","","","","","","","","","",""
"I.","Khách hàng","","","","","","","","","","","","","","I.","Khách hàng","","","","","","","","","","","#REF!","","","I.","Khách hàng","","","","","#REF!","","#REF!","","","",""
"I.1","[DHAG-25/07/08-09]","TKT-033
NSK-034","01/08/2025","","416W","130","5.94","7.95","Đã có NVL","","","","","","I.4","[DHAG-25/07/08]","NSK-034","01/08/2025","","750W","6","1.14","4","Đã có NVL","","","","","","","","","","","","","","","","","",""
"I.2","[DHAG-25/08/02]","Hai Nho","06/08/2025","","680Y","32","1.61","2.42","Đã có NVL","","","","","","","DHAG-25/08/09","KT2-041","18/08/2025","","610Y","28","3.26","5.87","Không có NVL ","","","","","","","","","","","","","","","","","",""
"I3","DHAG-25/08/08","QBG-040","18/08/2025","","750W/680Y","30","2.38","3.57","Đã có NVL","","","","","","","DHAG-25/08/13","KLA-044","28/08/2025","","750W","20","5.19","9.342","Không có NVL ","","","","","","","","","","","","","","","","","",""
