"[AGVN-B205]-BÁO CÁO KẾ HOẠCH NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Nhóm 1: NVL chưa phân bổ đơn hàng","","","","","","","","","","","","","","","","","","","","",""
"Kho Tổng","Loại vàng","Tlượng (gr)","Tlượng 24K (L)","Ghi chú","","Kho Phân kim","Loại vàng","Tlượng (gr)
 qui 24K","Tlượng (L)
qui 24K","Dự kiến phân bổ","","","","Kho AG","Loại vàng","Tlượng (gr)","Tlượng (L)","Dự kiến phân bổ","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Nhóm 2: NVL đã phân bổ đơn hàng","","","","","","","","","","","","","","","","","","","","",""
"2.1 Dây đan","","","","","","2.2 Dây bi","","","","","","2.3 Phụ kiện","","","","","","","","",""
"Đơn hàng","Loại vàng","TLượng (gr)","Ghi chú","","","Đơn hàng","Loại vàng","TLượng (gr)","Ghi chú","","","Đơn hàng","Loại vàng","TLượng (gr)","Ghi chú","","","","","",""
"[DHAG-25/05/13]","Bac9999","341.25","Nấu - chờ thau, đồng","","","[DHAG-25/02/03]","24K","138.76","Nấu (chờ hội)","","","TỒN KHO","750W","129.49","Nấu","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Nhóm 3: BTP tồn kho","","","","","","","","","","","","","","","","","","","","",""
"3.1 BTP tồn kho AG - Đơn hàng","","","","","","","","","","","","","","","","","","","","",""
"3.1a Dây đan","","","","","","","","","","","","3.1b Dây bi","","","","","","","","",""
"Đơn hàng","Loại vàng","Nơi giao","Deadline","Mã hàng","Tên hàng","","Số lượng
(Sợi/mét)","TLượng (gr)","Công đoạn chuyển tiếp","","","Đơn hàng","Loại vàng","Nơi giao","Deadline","Mã hàng","Tên hàng","","Số lượng
(Viên/sợi)","TLượng (gr)","Công đoạn chuyển tiếp"
"[DHAG-25/05/05]","680Y","KT-015","11/06/2025","DDC70680Y","Dây cong 0.7","","8","93.81","Dập","","","[DHAG-25/02/03]","750W","KDS-CH","14/06/2025","B750W40TR","Bi trơn 4.0","","238","42.96","Khắc bi"
"[DHAG-25/05/05]","680Y","KT-015","11/06/2025","DDL50680Y","Dây lật 0.5","","4","75.91","Ghép","","","[DHAG-25/02/03]","750W","KDS-CH","14/06/2025","B750W60TR","Bi trơn 6.0","","220","71.26","Khắc bi"
