"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[AGVN-B204D] TỔNG HỢP CÁC ĐƠN HÀNG DÂY","","","","","","","","","","","[AGVN-B204B] TỔNG HỢP CÁC ĐƠN HÀNG BI","","","","","","","","","","[AGVN-B204PK] TỔNG HỢP CÁC ĐƠN HÀNG PHỤ KIỆN","","","","","","","",""
"1. DÂY","","","","","","","","","","","2. BI","","","","","","","","","","3. PHỤ KIỆN","","","","","","","",""
"Mã đơn hàng","Nơi giao","Deadline","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","SL còn lại
(Sợi)","Tổng TL 24K 
(L)","","Tình hình NVL
(L)","","Mã đơn hàng","Nơi giao","Deadline","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","SL còn lại
(Sợi)","TL 24K cần đề xuất
Chưa hệ số dẻ
(L)","Tình hình NVL
(L)","","Mã đơn hàng","Nơi giao","Deadline","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","SL còn lại
(Sợi)","TL 24K cần đề xuất
Chưa hệ số dẻ
(L)","Tình hình NVL
(L)"
"","","","","","","","Chưa có hệ số","Có hệ số dẻ","","","","","","","","","","","","","","","","","","","","",""
"Vàng 24K","","","","","","","","","","","Vàng 24K","","","","","","","","","","Vàng 24K","","","","","","","",""
"Khách hàng","","","","29","29","0","1.26","","","","Khách hàng","","","","12","12","0","0","","","Khách hàng","","","","0","0","0","0",""
"[DHAG-25/05/05]","KDS/ KT-015","11/06/2025","680Y","8","8","0","1.26","","Đã có NVL","","[DHAG-25/05/05]","KDS/KT-015","11/06/2025","680Y","11","11","0","0","Đã có NVL","","","","","","","","","",""
"[DHAG-25/05/06]","KDS/ HN-016","11/06/2025","680Y","10","10","0","0","","Đã có NVL","","[DHAG-25/05/06]","KDS/HN-016","11/06/2025","680Y","1","1","0","0","Đã có NVL","","","","","","","","","",""
"[DHAG-25/05/14]","KDS/LNT-20","05/06/2025","610Y","10","10","0","0","","Đã có NVL","","","","","","","","","","","","","","","","","","","",""
"[DHAG-25/05/07]","Khách hàng","05/31/2025","750R","1","1","0","0","","Đã có NVL","","","","","","","","","","","","","","","","","","","",""
"Chào hàng/SR","","","","198","10","188","18.73","","","","Chào hàng/SR","","","","160","72","88","12.32","","","Chào hàng/SR","","","","120","0","120","0.68",""
"[DHAG-25/04/01]","CH1-SR","Theo tiến độ","750Y","80","10","70","4.18","","Chưa có NVL","","[DHAG-25/02/03]","KDS-CH","Theo tiến độ","750W","100","72","28","7.3","Đã có NVL","","[DHAG-25/05/11]","KDS-CH","Theo tiến độ","610Y","40","0","40","0.32","Chưa có NVL"
"[DHAG-25/04/02]","ADM2","Theo tiến độ","750Y","10","0","10","1.84","","Chưa có NVL","","[DHAG-25/05/11]","KDS-CH","Theo tiến độ","610Y","39","0","39","5","Chưa có NVL","","[DHAG-25/05/11]","KDS-CH","Theo tiến độ","680Y","40","0","40","0.36","Chưa có NVL"
"[DHAG-25/05/11]","KDS-CH","Theo tiến độ","610Y","65","0","65","6.58","","Chưa có NVL","","[DHAG-25/05/12]","KDS-CH","Theo tiến độ","750W","18","0","18","4.32","Chưa có NVL","","[DHAG-25/05/12]","KDS-CH","Theo tiến độ","750W","40","0","40","0..39","Chưa có NVL"
"[DHAG-25/05/12]","KDS-CH","Theo tiến độ","750W","43","0","43","6.13","","Chưa có NVL","","[DHAG-25/05/09]","CH1-SR","Theo tiến độ","750Y","3","0","3","3.00","Chưa có NVL","","","","","","","","","",""
"Bạc 925","","","","","","","","","","","Bạc 925","","","","","","","","","","Bạc 925","","","","","","","",""
"Khách hàng","","","","0","0","0","0","","","","Khách hàng","","","","0","0","0","0","","","Khách hàng","","","","0","0","0","0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chào hàng/SR","","","","75","0","75","15.65","","","","Chào hàng/SR","","","","6","0","6","3.00","","","Chào hàng/SR","","","","0","0","0","0",""
"[DHAG-25/05/13]","KDS-CH","Theo tiến độ","Bac925","75","0","75","15.65","","Đã có NVL, chờ hội","","[DHAG-25/05/13]","KDS-CH","Theo tiến độ","Bac925","6","0","6","3.00","Đã có NVL, chờ hội","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PT900/950","","","","","","","","","","","PT900/950","","","","","","","","","","PT900/950","","","","","","","",""
"Khách hàng","","","","0","0","0","0.00","","","","Khách hàng","","","","0","0","0","0.00","","","Khách hàng","","","","0","0","0","0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chào hàng/SR","","","","33","0","33","42.43","","","","Chào hàng/SR","","","","0","0","0","0.00","","","Chào hàng/SR","","","","0","0","0","0",""
"[DHAG-25/05/08]","CH1-SR","Theo tiến độ","PT950","30","0","30","38","","Chưa có NVL","","","","","","","","","","","","","","","","","","","",""
"[DHAG-25/05/09]","CH1-SR","Theo tiến độ","PT950","3","0","3","4.43","","Chưa có NVL","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A. NGUYÊN LIỆU VÀNG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Đơn hàng khách","","","","","","","","","","","2. Đơn hàng chào khách, SR","","","","","","","","","3. Đơn hàng mẫu","","","","","","","","",""
"1.1 Kinh doanh sỉ","","","","","","","","","","","2.1 Kinh doanh sỉ","","","","","","","","","3.1 L3","","","","","","","","",""
"Mã đơn hàng","Khách hàng","Deadline","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","SL còn lại
(Sợi)","TL 24K cần đề xuất
Chưa hệ số dẻ
(L)","","Tình hình NVL
(L)","","Mã đơn hàng","Deadline","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","SL còn lại
(Sợi)","TL 24K
Chưa hệ số dẻ
(L)","Tình hình NVL
(L)","","Mã đơn hàng","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","SL đã sản xuất
(Sợi)","SL còn lại
(Sợi)","TL 24K
Chưa hệ số dẻ
(L)","Tình hình NVL
(L)","",""
"A. Dây","","","","","","","","","","","A. Dây","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B. Bi","","","","","","","","","","","B. Bi","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","C. Phụ kiện","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2 CH1/CH2","","","","","","","","","","","2.2 CH1/CH2","","","","","","","","","","","","","","","","","",""
