"","","","","","","","","","","",""
"","","","","","","","","","","",""
"MÃ CÔNG ĐOẠN","TÊN CÔNG ĐOẠN ","","","MÃ CÔNG VIỆC","NỘI DUNG","","","","Mã sản phẩm","Loại vàng","Tên sản phẩm"
"KT1","Kiểm tra MMTB đầu ngày","","","HCH","Hành chính","","","1","","",""
"KT2","Kiểm tra MMTB cuối ngày","","","KTR","Kiểm tra máy móc","","","","","",""
"HC1","Họp kế hoạch sản xuất","","","HIC","Hiệu chỉnh máy","","","","","",""
"HC2","Khảo sát","","","SAX","Sản xuất","","","","","",""
"HC3","Họp KTSX","","","","","","","","","",""
"NAU","Nấu nguyên liệu","","","KHA","Gom bột","","","","","",""
"CAN","Cán dát, cán chỉ, đo cắt dát","","","TEST","Test máy","","","","","",""
"KEO","Kéo chỉ","","","CAN","Kiểm kê cuối ngày","","","","","",""
"HAP","Hấp ủ","","","HTR","Hỗ trợ kho","","","","","",""
"DAN","Đan dây","","","CSO","Chốt sổ, nấu bột","","","","","",""
"QBI","Quay bi","","","KST","Khảo sát","","","","","",""
"NEN","Nén khít","","","BCA","Báo cáo","","","","","",""
"DAP","Dập định hình","","","Trạng Thái MMTB","","","","","","",""
"BAO","Bào dây","","","","","","","","","",""
"CND","Cắt ni dây","","","","","","","","","",""
"DBS","Dập bass","","","","","","","","","",""
"BBS","Bấm bass","","","","","","","","","",""
"XMA","Xi mạ","","","","","","","","","",""
"DAT","Cán dát","","","","","","","","","",""
"HBT","Hàn băng tải","","","","","","","","","",""
"HAN","Hàn cuốn ông","","","","","","","","","",""
"ONG","Kéo ống","","","","","","","","","",""
"DBI","Kéo ống, dập bi","","","","","","","","","",""
"CBI","Căt bi","","","","","","","","","",""
"VBI","Vo bi","","","","","","","","","",""
"KBI","Khắc bi","","","","","","","","","",""
"-","-","","","","","","","","","",""
"RDA","Ra dây","","","","","","","","","",""
"KHA","Gom bột","","","","","","","","","",""
"CAN","Cân cuối ngày","","","","","","","","","",""
"CAT","Cắt dây","","","","","","","","","",""
"CAT","Cắt dây","","","","","","","","","",""
"CAT","Cắt dây","","","","","","","","","",""
"KK","Kiểm kê cuối ngày","","","","","","","","","",""
"GOM","Gom bột","","","","","","","","","",""
"CDE","Hỗ trợ kho, cán dẻ","","","","","","","","","",""
"VBI","Vo bi","","","","","","","","","",""
"TEST","Test máy","","","","","","","","","",""
"QCI","Quấn chỉ","","","","","","","","","",""
"CSO","Chốt sổ, nấu bột","","","","","","","","","",""
"GEP","Ghép dây","","","","","","","","","",""
"HIC","Hiệu chỉnh","","","","","","","","","",""
"OFF","Nghỉ phép","","","","","","","","","",""
"KUO","Thay khuôn","","","","","","","","","",""
"KST","Khảo sát","","","","","","","","","",""
"XMA","Xi mạ","","","","","","","","","",""
"QC1","QC sản phẩm/nguyên liệu","","","","","","","","","",""
"SC1","Sửa khuôn","","","","","","","","","",""
"HTD","Phụ việc","","","","","","","","","",""
"CBI","","","","","","","","","","",""
"LBI","Lựa bi","","","","","","","","","",""
"DBS","Dập bass","","","","","","","","","",""
"BKD","Bông khoen tròn","","","","","","","","","",""
"BHSP","Bảo hành sản phẩm","","","","","","","","","",""
"XBI","Lựa bi, Xỏ bi cho khâu quay bi","","","","","","","","","",""
"DIU","Làm dịu dây","","","","","","","","","",""
"SXK","Sản xuất khóa","","","","","","","","","",""
"DB","Đánh bóng","","","","","","","","","",""
"XON","Xoắn đoạn dây mì","","","","","","","","","",""
"QC","QC sản phẩm","","","","","","","","","",""
"HIC","Hiệu chỉnh/Thay thiết bi","","","","","","","","","",""
