"","DANH MỤC DÂY ĐAN","","","","","","","","","",""
"","","","","","","","","","","",""
"Loại dây","Mã sản phẩm","Loại vàng","Size chỉ","Tên sản phẩm","Trọng lượng","","","","","PO","Deadline"
"A. Dây cong","CY30CA1-750Y","750Y","30","Dây chữ cong size 30, 750Y","1.80","","","","","",""
"","CR30CA1-750R","750R","30","Dây chữ cong size 30, 750R","1.50","","","","","",""
"C","CY35CA1-750Y","750Y","35","Dây chữ cong size 35, 750Y","2.45","","","","","",""
"CA1","CY40CA1-750Y","750Y","40","Dây chữ cong size 40, 750Y","3.00","","","","","",""
"","CR40CA1-750R","750R","40","Dây chữ cong size 40, 750R","3.00","","","","","",""
"","CY50CA1-750Y","750Y","50","Dây chữ cong size 50, 750Y","4.50","","","","","",""
"","CY60CA1-750Y","750Y","60","Dây chữ cong size 60, 750Y","4.50","","","","","",""
"","CR60CA1-750R","750R","60","Dây chữ cong size 60, 750R","4.50","","","","","",""
"","CW60CA1-750W","750W","60","Dây chữ cong size 60, 750W","4.50","","","","","",""
"","CY70CA1-750Y","750Y","70","Dây chữ cong size 70, 750Y","9.00","","","","","",""
"","CW70CA1-750W","750W","70","Dây chữ cong size 70, 750W","9.00","","","","","",""
"","CW30CA1-750W","750W","30","Dây chữ cong size 30, 750W","1.50","","","","","",""
"","CW35CA1-750W","750W","35","Dây chữ cong size 35, 750W","2.45","","","","","",""
"","CW40CA1-750W","750W","40","Dây chữ cong size 40, 750W","3.00","","","","","",""
"","CW50CA1-750W","750W","50","Dây chữ cong size 50, 750W","12.50","","","","","",""
"","CY30CA1-610Y","610Y","30","Dây chữ cong size 30, 610Y","1.41","","","","","",""
"","CY35CA1-610Y","610Y","35","Dây chữ cong size 35, 610Y","1.97","","","","","",""
"","CY40CA1-610Y","610Y","40","Dây chữ cong size 40, 610Y","2.53","","","","","",""
"","CY50CA1-610Y","610Y","50","Dây chữ cong size 50, 610Y","4.03","","","","","",""
"","CY60CA1-610Y","610Y","60","Dây chữ cong size 60, 610Y","5.44","","","","","",""
"","CY80CA1-610Y","610Y","80","Dây chữ cong size 80, 610Y","11.22","","","","","",""
"","CW30CA1-610W","610W","30","Dây chữ cong size 30, 610W","1.41","","","","","",""
"","CW35CA1-610W","610W","35","Dây chữ cong size 35, 610W","1.97","","","","","",""
"","CW40CA1-610W","610W","40","Dây chữ cong size 40, 610W","2.53","","","","","",""
"","CW50CA1-610W","610W","50","Dây chữ cong size 50, 610W","4.03","","","","","",""
"B. Dây khoen lật","CY30CU-750Y","750Y","30","Dây khoen lật size 30, 750Y","2.06","","","","","",""
"C","CY35CU-750Y","750Y","35","Dây khoen lật size 35, 750Y","3.00","","","","","",""
"CU","CY40CU-750Y","750Y","40","Dây khoen lật size 40, 750Y","3.38","","","","","",""
"","CR40CU-750R","750R","40","Dây khoen lật size 40, 750R","3.38","","","","","",""
"","CY50CU-750Y","750Y","50","Dây khoen lật size 50, 750Y","5.63","","","","","",""
"","CY60CU-750Y","750Y","60","Dây khoen lật size 60, 750Y","6.65","","","","","",""
"","CY70CU-610Y","610Y","70","Dây khoen lật size 70, 610Y","8.85","","","","","",""
"","CY70CU-750Y","750Y","70","Dây khoen lật size 70, 750Y","8.85","","","","","",""
