"[KT334A]-BÁO CÁO TRẠNG THÁI NVL L3","","","","","","","","","",""
"","","","","Ngày","10/06/2026","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"A. ĐƠN HÀNG ĐÃ CÓ NVL","","","","","","","","","",""
"Ngày nhận đơn","Mã đơn hàng","Loại NL","Số lượng","","","TL nguyên đơn hàng
(gr)","TL NL đề xuất quy 24K
(gr)","Trạng thái","",""
"","","","Sản phẩm bi","Sản phẩm dây đan","Phụ kiện","","","","",""
"30/05/2025","[DHAG-25/05/13]","Bạc","","75","","634.2","22.00","Đang sản xuất","",""
"08/10/2025","[DHAG-25/10/05]","PT","","130","","1188.2","1604.23","Đang sản xuất","",""
"07/10/2025","[DHAG-25/10/02]","PT","","60","","340.5","459.563","Đang sản xuất","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"B. ĐƠN HÀNG CHƯA CÓ NVL","","","","","","","","","",""
"Ngày nhận đơn","Mã đơn hàng","Loại NL","Số lượng","","","TL đã sản xuất quy 24K
(L)","NVL đã bổ cấp quy 24K
(L)","NVL cần bổ cấp quy 24K
(L)","",""
"","","","Sản phẩm bi","Sản phẩm dây đan","Phụ kiện","","","","",""
"14/08/2025","[DHAG-25/08/07]","Vàng","30","","","0.954","","3","",""
"24/12/2025","[DHAG-25/12/14]","Vàng","","18","","1.38","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"TỔNG CỘNG:","","","30","18","0","2.334","0.00","3","",""
"","","","","","","","","","",""
"C. NVL ĐÃ PHÂN BỔ","","","","D. NVL CHƯA PHÂN BỔ","","","","E. NVL ĐANG VẬN HÀNH","",""
"Loại NL","Trọng lượng (gr)","TL quy 9999 (L)","","Loại NL","Trọng lượng (gr)","TL quy 9999 (L)","","Loại NL","Trọng lượng (gr)","TL quy 9999 (L)"
"Vàng","","","","Vàng","","","","Vàng","",""
"Bạc","","","","Bạc","3444.29","87.84","","Bạc","101.49","2.50"
"PT","581.96","15.35","","PT","197.43","4.85","","PT","",""
"","","","","","","","","","",""
"F. SPHT NHẬP KHO","","","","","","","","","",""
"Loại NL","Số lượng","","","TL (gr)","TL quy 99.99 (L)","","","","",""
"","Sản phẩm bi","Sản phẩm dây đan","Phụ kiện","","","","","","",""
"Vàng ","","","","","","","","","",""
"Bạc","","","","","","","","","",""
"PT","","","","","","","","","",""
