"[KT334B]-KẾ HOẠCH NVL","","","","","","","",""
"","","","","","","","",""
"TUẦN 18","","","","","","","",""
"I. BẠC","","","","","","","",""
"Đơn hàng","KH","Số lượng","TL đề xuất (L)","TL đã cấp (L)","TL đã sản xuất (L)","TL tồn kho (L)","TL cần bổ cấp (L)","Hội cần bổ cấp (L)"
"DHAG-25/05/13","SR","75","22","","11.6","10.4","0","3L"
"","","","","","","","",""
"TUẦN 19","","","","","","","",""
"I. VÀNG","","","","","","","",""
"Đơn hàng","KH","Số lượng","TL đề xuất (L)","TL đã cấp (L)","TL đã sản xuất (L)","TL tồn kho (L)","TL cần bổ cấp (L)","Hội cần bổ cấp (L)"
"DHAG-26/04/02","KH","60","4","","","","4",""
"DHAG-26/03/02","SR","6","3.5","","","","3.5",""
"DHAG-25/08/07","SR","30","3","","0.954","","3",""
"DHAG-25/12/14","SR","18","2.82","","1.44","","sử dụng vụn quay đầu",""
"Tổng Cộng:","","114","13.32","0","2.394","0","10.5","0"
"","","","","","","","",""
"Ước tính NVL quay đầu của đơn hàng KTQ và Kim Phón","","","","","","","",""
"","","","","","","","",""
"Vị trí","","Loại vàng","TL tồn (gr)","Quy 24K (L)","Ghi chú","","",""
"Giỏ hàng kênh Sỉ","","","527.82","7.07","","","",""
"","","750W","136.78","2.74","","","",""
"","","416W","391.04","4.34","","","",""
"Kho L3","","","217.91","2.42","","","",""
"","","416W","217.91","2.42","Bán thành phẩm bi","","",""
"TỔNG CỘNG:","","","745.73","9.49","","","",""
