"ƯỚC TÍNH NVL QUAY ĐẦU ĐƠN HÀNG KIM TUẤN QUANG VÀ KIM PHÓN","","","","","","",""
"","","","","","","",""
"BẢNG TỔNG HỢP ƯỚC TÍNH NVL QUAY ĐẦU ĐƠN HÀNG KIM TUẤN QUANG & KIM PHÓN","","","","","","",""
"","","","","","","",""
"Vị trí","","Loại vàng","TL tồn (gr)","Quy 24K (L)","Ghi chú","",""
"Giỏ hàng kênh Sỉ","","","538.85","7.20","","",""
"750W","","","136.78","2.74","","",""
"416W","","","402.07","4.46","","",""
"Kho L3","","","305.61","3.39","","",""
"416W","","","305.61","3.39","","",""
"TỔNG CỘNG:","","","844.46","10.59","","",""
"","","","","","","",""
"BẢNG CHI TIẾT ƯỚC TÍNH NVL QUAY ĐẦU ĐƠN HÀNG KIM TUẤN QUANG & KIM PHÓN","","","","","","",""
"","","","","","","",""
"STT","Mã sản phẩm","Chi tiết sản phẩm","Loại vàng","Tuổi vàng","TL tồn (gr)","Quy 24K (L)","Ghi chú"
"Tổng Cộng:","","","","","844.46","10.59",""
"A. Giỏ hàng kênh sỉ","","","","","538.85","7.2",""
"A.1 Sản phẩm 750W","","","","","136.78","2.74",""
"1","CW40CA1","Dây chữ cong 0.40mm","750W","75%","61.34","1.24",""
"2","CW40CA4","Dây cong khế 0.40mm","750W","75%","49.22","0.98",""
"3","CW40CA4","Dây cong khế 0.40mm","750W","75%","26.22","0.52",""
"A.2 Sản phẩm 416W","","","","","402.07","4.46",""
"4","CW30FS","Dây Franco vuông 0.30mm","416W","41.60%","25.5","0.28",""
"5","BW35FS","Lắc Franco vuông 0.35mm","416W","41.60%","11.03","0.12",""
"6","CW35FS","Dây Franco vuông 0.35mm","416W","41.60%","32.01","0.36",""
"7","CBW2.55","Dây chuyền bi 2.5mm/5.0mm","416W","41.60%","69.35","0.77",""
"8","GBW2.55-01","Vòng xoắn bi 2.5mm/5.0mm -1 tầng ","416W","41.60%","56.48","0.63",""
"9","CW30HT1","Dây mì dẹp xoắn 0.30mm","416W","41.60%","48.74","0.54",""
"10","CBW24","Dây chuyền bi 2.0mm/4.0mm","416W","41.60%","56.11","0.62",""
"11","GBW24-01","Vòng xoắn bi 2.0mm/4.0mm -1 tầng ","416W","41.60%","14.99","0.17",""
"12","CW35HT1","Dây mì dẹp xoắn 0.35mm","416W","41.60%","87.86","0.97",""
"B. Tồn Kho L3:","","","","","305.61","3.39",""
"1","BBW3","Lắc bi 3.0mm","416W","41.60%","8.02","0.1","Thành phẩm"
"2","DDC25416W","Dây chữ cong 0.25mm","416W","41.60%","25.96","0.29","Bán thành phẩm dây"
"3","DDC30416W","Dây chữ cong 0.30mm","416W","41.60%","10.92","0.12","Bán thành phẩm dây"
"4","BI20416W","Bi 2.0 trơn","416W","41.60%","54.07","0.6","Bán thành phẩm bi"
"5","BI30416W","Bi 3.0 trơn","416W","41.60%","11.3","0.13","Bán thành phẩm bi"
"6","BIS50416W","Bi 5.0 chữ S","416W","41.60%","15.53","0.17","Bán thành phẩm bi"
"7","BICR20416W","Bi 2.0 caro","416W","41.60%","6.2","0.07","Bán thành phẩm bi"
"8","BICR25416W","Bi 2.5 caro","416W","41.60%","10.18","0.11","Bán thành phẩm bi"
"9","BIX30416W","Bi 3.0 xoáy","416W","41.60%","2.18","0.02","Bán thành phẩm bi"
"10","BIS40416W","Bi 4.0 chữ S","416W","41.60%","66.79","0.74","Bán thành phẩm bi"
"11","BIS60416W","Bi 6.0 chữ S","416W","41.60%","14.78","0.16","Bán thành phẩm bi"
"12","PKKGN416W","Phụ kiện khóa giọt nước","416W","41.60%","23.78","0.26","Phụ kiện"
"13","PKCOK416W","Phụ kiện cò khóa","416W","41.60%","2.27","0.03","Phụ kiện"
"14","PKBSD416W","Phụ kiện bass dẹp","416W","41.60%","8.5","0.09","Phụ kiện"
"15","PKLL416W","Phụ kiện lưỡi lam","416W","41.60%","5.75","0.06","Phụ kiện"
"16","PKCKH416W","Phụ kiện chỉ làm khoen","416W","41.60%","39.38","0.44","Phụ kiện"
