"spreadsheet","tab_name","tab_gid","column_index","field_name"
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","1","[KT334A]-BÁO CÁO TRẠNG THÁI NVL L3"
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","2",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","3",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","4",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","5",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","6",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","7",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","8",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","9",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","10",""
"04-trang-thai-nvl-va-don-hang","Trạng thái NVL","0","11",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","1","[KT334B]-KẾ HOẠCH NVL"
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","2",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","3",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","4",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","5",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","6",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","7",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","8",""
"04-trang-thai-nvl-va-don-hang","Kế hoạch NVL","689584770","9",""
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","1","ƯỚC TÍNH NVL QUAY ĐẦU ĐƠN HÀNG KIM TUẤN QUANG VÀ KIM PHÓN"
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","2",""
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","3",""
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","4",""
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","5",""
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","6",""
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","7",""
"04-trang-thai-nvl-va-don-hang","Sheet7","825944030","8",""
