"spreadsheet","tab_name","tab_gid","column_index","field_name"
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","1","[AG-409] BÁO CÁO CHI TIẾT TIẾN ĐỘ ĐƠN HÀNG NĂM 2025"
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","2",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","3",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","4",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","5",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","6",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","7",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","8",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","9",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","10",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","11",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","12",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","13",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","14",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","15",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","16",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","17",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","18",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","19",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","20",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","21",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","22",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","23",""
"05-theo-doi-tien-do-don-hang-2025-2026","1. CHI TIẾT ĐƠN HÀNG","0","24",""
"05-theo-doi-tien-do-don-hang-2025-2026","NEW-CHI TIẾT ĐƠN HÀNG","1280243151","1","[AG-409] BÁO CÁO CHI TIẾT TIẾN ĐỘ ĐƠN HÀNG NĂM 2026"
"05-theo-doi-tien-do-don-hang-2025-2026","NEW-CHI TIẾT ĐƠN HÀNG","1280243151","2",""
"05-theo-doi-tien-do-don-hang-2025-2026","NEW-CHI TIẾT ĐƠN HÀNG","1280243151","3",""
"05-theo-doi-tien-do-don-hang-2025-2026","NEW-CHI TIẾT ĐƠN HÀNG","1280243151","4",""
