"Số PO:","PO240105-750Y-2","","Deadline đề xuất: ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Loại bi","Số lượng (Viên)","Số kiểu khắc","Tổng TL Bi","Vụn khắc","","Loại dây","Số lượng (Sợi)","","","Thời gian ra dây/1 sợi
Bao gồm: xỏ, hàn đầu bass, gắn khóa, rung rửa sạch","Giờ","","","Công đoạn","Số lượng nhân sự","","","Size bi","TL bi trơn/ viên"
"6.0 vàng","260","3","148.20","29.64","","Dây bi","75","","","Dây bi","0:30","","","Nấu","1","","","Bi 6.0","0.57"
"5.0 vàng","891","1","400.95","80.19","","Lắc bi","45","","","Lắc bi","0:10","","","Cán căt dát","1","","","Bi 5.0","0.45"
"4.0 vàng","1582","2","332.22","66.444","","","","","","","","","","Hàn cuốn ống","","","","Bi 4.0","0.21"
"3.0 vàng","842","1","92.62","18.524","","Loại vàng","3","","","Thời gian sản xuất bi từ công đoạn cán dát-->quay bi
Bao gồm: 1 nhân sự chính + 1 thợ phụ","Thời gian","","","Dập bi","","","","Bi 3.0","0.11"
"2.5 vàng","2979","2","178.74","35.748","","","","","","650 viên bi nhỏ","2 ngày","","","Cắt bi","","","","Bi 2.5","0.06"
"TỔNG CỘNG","6554","9","1152.73","230.546","","","","","","","","","","","","","","",""
"6.0 trắng","260","1","148.20","29.64","","Loại bi","Số lượng (viên)","","","","","","","Vo bi","1","","","",""
"4.0 trắng","1411","2","296.31","59.262","","Bi lớn","1411","","","Thời gian nấu mới + test tuổi","4:00","","","Quay bi","1","","","",""
"3.0 trắng","3306","1","363.66","72.732","","Bi nhỏ","12635","","","Thời gian hiệu chỉnh","0:30","","","Khắc bi","1","","","",""
"2.5 trắng","2935","2","176.10","35.22","","","","","","Thời gian gom bột","0:30","","","Ra dây","","","","",""
"TỔNG CỘNG","7912","6","984.27","196.854","","","","","","","","","","","","","","",""
"4.0 Hồng","50","1","10.50","","","","","","","","","","","Xi mạ","","","","",""
"3.0 Hồng","842","1","92.62","","","","","","","Thời gian khắc bi","Số lượng (viên)","","","","","","","",""
"2.5 Hồng","270","1","16.20","","","","","","","Bi 2.5, 3.0 và 4.0","300","","","","","","","",""
"TỔNG CỘNG","1162","3","119.32","","","","","","","Bi 5.0 và 6.0","100","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","Công đoạn","Thời gian thực hiện ","Quy ngày","","","","","","","Phương án nấu nguyên liệu","","","","","","NL","TP","VUN, DÁT",""
"","Nấu chế nguyên liệu","","","","","","","","","18KV","NL MỚI","DÁT CŨ","TP","VỤN, DÁT","","161.22","65.51","95.32",""
"","+Nấu mới","Tận dụng gói đầu","0","","","","","","","Bi lớn lần 1","400","0","160","240","","","40%","60%",""
"","+ Nấu quay đầu","Tận dụng gói đầu","","","","","","","","Bi nhỏ lần 1","160","240","160","240","","","","",""
"","Cán dát->Quay bi","4","48","","","","","","","Bi nhỏ lần 2","400","","160","240","","","","",""
"","Khắc bi","","","","","","","","","Bi nhỏ lần 3","","480","192","288","","","","",""
"","+ Hiệu chỉnh","1:30","59","","","","","","","Bi nhỏ lần 4","","288","115.2","173","","","","",""
"","+ Gom bột","1:30","","","","","","","","Bi nhỏ lần 5","227","173","160","240","","","","",""
"","+ Khắc bi","56","","","","","","","","Bi nhỏ lần 6","110","240","140","210","","","","",""
"","Ra dây","21:00","3","","","","","","","Bi nhỏ lần 7","","210","84","126","","","","",""
"","Xi mạ","Tận dụng gói đầu + 1 ngày cuối","1","","","","","","","Bi nhỏ lần 8","","126","50","76","","PHÂN KIM","","",""
"","Chụp quay","Tận dụng gói đầu + 2 ngày cuối","1","","","","","","","TỔNG CỘNG","1297","1757","1221.43","1832.14","","","","",""
"","TỔNG CỘNG ","","113","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","18KW","NL MỚI","DÁT CŨ","TP","VỤN, DÁT","","","","",""
"","","","","","","","","","","Bi lớn lần 1","400","0","160","240","","","","",""
"","","","","","","","","","","Bi nhỏ lần 1","160","240","160","240","","","","",""
"","","","","","","","","","","Bi nhỏ lần 2","400","","160","240","","","","",""
"","","","","","","","","","","Bi nhỏ lần 3","","480","192","288","","","","",""
"","","","","","","","","","","Bi nhỏ lần 4","","288","115.2","173","","","","",""
"","","","","","","","","","","Bi nhỏ lần 5","150","173","129.12","194","","","","",""
"","","","","","","","","","","Bi nhỏ lần 6","","194","77.472","116","","PHÂN KIM","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","TỔNG CỘNG","1110","1374.48","993.79","1490.69","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","18KR","NL Phân kim
 vụn từ khâu khắc bi đã trừ phí PK","TP","","","","","","",""
"","","","","","","","","","","Bi lớn lần 1","420.99","168.40","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","NL VÀNG MỚI","48.14","","","","","","","",""
