"Số PO:","PO240105-750Y","PO240105-750Y","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Deadline đề xuất: ","15/06/2024","15/06/2024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHI TIẾT ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NGUYÊN LIỆU SẢN XUẤT BI","","","","","","","","","","","","","CHI TIẾT ĐƠN HÀNG","","","CHI TIẾT THU HỒI VỤN","","","","THỜI GIAN THỰC HIỆN","","","","","","","",""
"Loại bi","Số lượng (Viên)","Số lượng bi theo PO","Số kiểu khắc","Hệ số","Số lượng bi sx","Bi dự phòng dôi dư","Tổng TL Bi
(Gr)","Hệ số
dẻ","TL NL theo hệ số","TL NL quay đầu","TL NL đề xuất","","Loại dây (Sợi)","120","","Loại bi","Vụn khắc","","","Thời gian ra dây/1 sợi
Bao gồm: xỏ, hàn đầu bass, gắn khóa, rung rửa sạch","Giờ","","Size bi","TL bi trơn/ viên","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.0 vàng","260","236","3","1.15","271.82","35","154.94","1.80","279","123.95","","","+ Dây bi ","75","","6.0 vàng","30.99","","","Dây bi","0:30","","Bi 6.0","0.57","","","",""
"5.0 vàng","891","810","1","1.02","826.20","16","371.79","1.80","669","297.43","","","+ Lắc bi ","45","","5.0 vàng","74.36","","","Lắc bi","0:10","","Bi 5.0","0.45","","","",""
"4.0 vàng","1582","1438","2","1.03","1481.33","43","311.08","1.60","498","186.65","","","Loại vàng","3","","4.0 vàng","62.22","","","","","","Bi 4.0","0.21","","","",""
"3.0 vàng","842","765","1","1.15","880.27","115","96.83","1.60","155","","","","+ Vàng","1","","3.0 vàng","19.37","","","Thời gian sản xuất bi từ công đoạn cán dát-->quay bi
Bao gồm: 1 nhân sự chính + 1 thợ phụ","Giờ","","Bi 3.0","0.11","","","",""
"2.5 vàng","2979","2708","2","1.12","3033.16","325","181.99","1.60","291","","","","+ Trắng","1","","2.5 vàng","36.40","","","650 viên bi nhỏ","16:00","","Bi 2.5","0.06","","","",""
"TC 18KV","6554","5958","9","","","","1116.62","","1892","608.03","1284","","+ Hồng","1","","TC 18KV","223.32","","","","","","","","","","",""
"6.0 trắng","260","236","1","1.05","248.18","12","141.46","1.80","255","113.17","","","Loại bi (Viên)","14046","","6.0 trắng","28.29","","","Thời gian nấu mới + test tuổi","4:00","","","","","","",""
"4.0 trắng","1411","1283","2","1.05","1346.86","64","282.84","1.60","453","169.70","","","+ Bi lớn ","1411","","4.0 trắng","56.57","","","","","","","","","","",""
"3.0 trắng","3306","3005","1","1.12","3366.11","361","370.27","1.60","592","111.08","","","+ Bi nhỏ","12635","","3.0 trắng","74.05","","","Thời gian hiệu chỉnh khâu khắc bi","0:30","","","","","","",""
"2.5 trắng","2935","2668","2","1.12","2988.36","320","179.30","1.60","287","","","","","","","2.5 trắng","35.86","","","Thời gian gom bột khâu khắc bi","0:30","","","","","","",""
"TC 18KT","7912","7193","6","","","","973.88","","1586","393.96","1193","","","","","TC 18KT","194.78","","","","","","","","","","",""
"4.0 Hồng","50","45","1","1.30","59.09","14","12.41","1.60","20","7.45","","","","","","4.0 Hồng","2.48","","","Thời gian khắc bi","Số lượng (viên)","","","","","","",""
"3.0 Hồng","842","765","1","1.25","956.82","191","105.25","1.60","168","63.15","","","","","","3.0 Hồng","21.05","","","Bi 2.5, 3.0 và 4.0","300","","","","","","",""
"2.5 Hồng","270","245","1","1.25","306.82","61","18.41","1.60","29","","","","","","","2.5 Hồng","3.68","","","Bi 5.0 và 6.0","100","","","","","","",""
"TC 18KH","1162","1056","3","","","","136.07","","218","70.60","147","","","","","TC 18KH","27.21","","","","","","","","","","",""
"TC 750 (Gr)","","","","","","","2226.57","","3696","1072.58","2624","","","","","","","","","","","","","","","","",""
"Qui 24K (L)","","","","","","","44.54","","73.93","21.45","52.48","117.83%","","","","","","","","","","","","","","","",""
"II. ĐỀ XUẤT NGUYÊN LIỆU DÂY XỎ BI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Loại vàng","","Loại dây","Size chỉ","Độ dài/1 sợi
(Cm)","TL/ 1 sợi
(Gr)","Số lượng
(Dây)","Tổng TL
(Gr)","Hệ số dẻ","Tổng TL theo hệ số
(Gr)","TL dây tồn kho
(Gr)","TL NL đề xuất","","","","","","","","","","","","","","","","",""
"750 Vàng","","Dây bi","0.30","50","2.50","45","112.50","1.3","146.25","","","","","","","","","","","","","","","","","","",""
