"ĐƠN ĐẶT HÀNG GIA CÔNG - Kho L3","","","","","","","","","","","","","","Số :","[DHAG-24/10/03]  - Lô vàng 750W","",""
"","","","","","","","","","","","","","","Ngày :","11/10/2024","",""
"Cty/ khách hàng: KD Sỉ","","","","","","","Địa chỉ: ","","","","","","","- Ngày trả SP gia công:","","",""
"Tên người đặt hàng: Anh Triều","","","","","","","Chức danh: ","","","","","","","- Giá vàng:","","",""
"STT","Mã SP","Tên
sản phẩm","","","","","","Số
lượng","TL vàng
nguyên SP Yêu cầu","","TL vàng
nguyên SP đang sản xuất","","Chênh lệch","Tổng trọng lượng
SP đang sản xuất","","Ghi chú đơn hàng","Đánh giá hiện trạng"
"","","","Loại NVL","Tuổi ","Đường kính chỉ (mm)","Bề bản
(mm)","Độ dài 
(cm)","","Gr/SP","chỉ/SP","Gr/SP","chỉ/SP","","Nguyên (gr)","Qui (L)","",""
"","","","","","","","","","","","","","","","","",""
" CHI TIẾT ĐƠN HÀNG","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","","","","[9] = [6]*[7]","[10]=[9]*[2]/
99.99/37.5","",""
"1","","Dây chữ cong khế 0.4mm","","75.00%","","","","20","2.63","0.70","","0.00","-2.63","52.60","1.05","","Chưa thể thực hiện"
"2","","Dây chữ cong khế 0.6mm","","75.00%","","","","20","5.63","1.50","","0.00","-5.63","112.60","2.25","","Chưa thể thực hiện"
"3","","Dây chữ cong khế 0.8mm","","75.00%","","","","10","9.38","2.50","","0.00","-9.38","93.80","1.88","","Chưa thể thực hiện"
"4","CW60CU","Dây Khoen lật 0.6mm","750W","75.00%","0.60","","42-45","10","5.63","1.50","5.26","1.40","-0.37","56.30","1.13","43 cm",""
"5","CW70CU","Dây Khoen lật 0.7mm","750W","75.00%","0.70","","48-50","10","9.38","2.50","8.50","2.27","-0.88","93.80","1.88","","Chỉ cứng không bắn được, hướng xử lý: thay đổi công thức hội theo cuộc họp ngày 11.10"
"6","CW35FS","Dây Franco vuông 0.35mm","750W","75.00%","0.35","","45-47","20","3.75","1.00","4.05","1.08","0.30","75.00","1.50","","Chưa thể thực hiện do chưa có khuôn ghép"
"7","CW40FS","Dây Franco vuông 0.4 mm","750W","75.00%","0.40","","45-47","20","5.63","1.50","6.22","1.66","0.59","112.60","2.25","",""
"8","CW50FS","Dây Franco vuông 0.5 mm","750W","75.00%","0.50","","45-47","10","9.38","2.50","9.45","2.52","0.07","93.80","1.88","",""
"9","CW60FS","Dây Franco vuông 0.6 mm","750W","75.00%","0.60","","48-50","10","13.13","3.50","14.42","3.85","1.29","131.30","2.63","",""
"10","CW30HE","Dây mì dẹp trơn 0.3mm","750W","75.00%","0.30","","42-45","10","3.00","0.80","4.04","1.08","1.04","30.00","0.60","",""
"11","CW40HE","Dây mì dẹp trơn 0.4mm","750W","75.00%","0.40","","45-47","10","5.63","1.50","6.27","1.67","0.64","56.30","1.13","",""
"12","CW50HE","Dây mì dẹp trơn 0.5mm","750W","75.00%","0.50","","42-45","10","9.38","2.50","10.50","2.80","1.12","93.80","1.88","",""
"13","CW60HE","Dây mì dẹp trơn 0.6mm","750W","75.00%","0.60","","42-45","10","13.13","3.50","14.78","3.94","1.65","131.30","2.63","44 cm",""
"14","CW30HT1","Dây mì dẹp xoắn 0.3mm","750W","75.00%","0.30","","43-45","10","3.00","0.80","4.04","1.08","1.04","30.00","0.60","",""
"15","CW40HT1","Dây mì dẹp xoắn 0.4mm","750W","75.00%","0.40","","45-47","10","5.63","1.50","6.99","1.86","1.36","56.30","1.13","",""
"16","GBW2.5- 03","Vòng bi 3 tầng, size bi 2.5mm","750W","75.00%","","","51","10","16.88","4.50","15.84","4.22","-1.04","168.80","3.38","1.4gr/thép",""
"17","GBW3-02","Vòng bi 2 tầng, size bi 3.0mm","750W","75.00%","","","51","10","16.88","4.50","12.23","3.26","-4.65","168.80","3.38","0.96gr/thép",""
"18","GBW3 - 03","Vòng bi 3 tầng, size bi 3.0mm","750W","75.00%","","","51","5","16.88","4.50","18.02","4.81","1.14","84.40","1.69","1.41gr/thép",""
"19","CBW2.5","Dây bi , size 2.5mm","750W","75.00%","","","45-47","10","11.25","3.00","13.50","3.60","2.25","112.50","2.25","",""
