"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","",""
"","","","","MÃ ĐH: ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Nơi giao: CH1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deadline: ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","KH: ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL ĐỀ XUẤT
(L)","","","","","","","","","","","","","","","","","","","","",""
"","1","DÂY ĐAN","252.00","5.04","7.56","","","","","","","","","","","","","","","","","","","","",""
"","1","Dây bi, Lắc bi","180.70","3.61","","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG :","","432.70","8.65","7.56","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","","","","","","","Giá bóng:","110,000,000","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Hệ số
","Tổng TL sản phẩm
Qui 24K (L)","Giá công/sp","Tổng giá công","Ghi chú","","STT","TỔNG HỢP NL 24K","NGUYÊN TL (Gr)","QUY 24K
(L)","TỔNG TIỀN VÀNG","TỔNG TIỀN CÔNG","Hao lai
(%)","ƯỚC TÍNH HIỆU QUẢ ĐƠN HÀNG"
"","","","Màu sắc","Tuổi vàng","Đường kính chỉ","Độ dài
(cm)","Hình ảnh","","Gr/SP","Chỉ/SP","Nguyên  (gr)","Qui 24K
(L)","","","","","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]=[6]/[5]+[7]"
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]=[10]/3.75","[12]=[9]*[10]","[13]=[12]*[5]/99.99%/37.5","[14]","[15] = [13]*[14]","","","","","1","DÂY ĐAN 680Y","117.38","2.13","234,161,379","#REF!","1%","2.30%"
"TỔNG CỘNG DÂY ĐAN","","","","","","","","40","","","252.00","5.04","","0.00","0","0","","","#REF!","DÂY BI 680Y","23.48","0.43","#REF!","","2%","2.75%"
"1","CY30FS","Dây Franco vuông 0.30mm","Vàng","75.00%","0.3","46","","10","3.88","1.03","38.80","0.78","","","","","","","","","","","","","",""
"2","CY40FS","Dây Franco vuông 0.40mm","Vàng","75.00%","0.4","46","","10","6.31","1.68","63.10","1.26","","","","","","","","","","","","","",""
"3","CY50FS","Dây Franco vuông 0.50mm","Vàng","75.00%","0.5","51","","10","10.59","2.82","105.90","2.12","","","","","","","","","","","","","",""
"4","CY50CA4","Dây cong khế 0.50mm","Vàng","75.00%","0.5","51","","10","4.42","1.18","44.20","0.88","","","","","","","","","","","","","",""
"TỔNG CỘNG DÂY BI","","","","","","","","30","","","180.70","3.61","","0.00","0","0","","","","","","","","","",""
"1","CBY25","Dây bi 2.0mm/5.0mm","Vàng","75.00%","","46","","5","18.07","4.82","90.35","1.81","","","","","","","","","","","","","",""
"2","CBY2","Dây bi 2.0mm","Vàng","75.00%","","46","","10","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"3","CBW25","Dây bi 2.0mm/5.0mm","Trắng","75.00%","","46","","5","18.07","4.82","90.35","1.81","","","","","","","","","","","","","",""
"4","CBW2","Dây bi 2.0mm","Trắng","75.00%","","46","","10","","0.00","0.00","0.00","","","","","","","","","","","","","",""
