"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","MÃ ĐH: SX LẠI ĐƠN NGỌC TÂM","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Nơi giao: PKD Sỉ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deadline: ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","KH: Khách hàng","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL DỰ KIẾN SX
(L)","NVL TỒN KHO (L)","","NVL CẦN BỔ CẤP (L)","HỘI CẦN BỔ CẤP (L)","","","","","","","","","","","","","","","","","",""
"","1","DÂY ĐAN","1139.51","28.11","38.20","","","","","","","","","","","","","","","","","","","","","",""
"","1","Dây bi, Lắc bi","55.42","1.37","4.00","","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG :","","1194.93","29.48","42.20","42.20","","0.00","4.00","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","","","","","","","Giá bóng:","110,000,000","","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Hệ số
","Tổng TL sản phẩm
Qui 24K (L)","Giá công/sp","Tổng giá công","Ghi chú","","STT","TỔNG HỢP NL 24K","NGUYÊN TL (Gr)","QUY 24K
(L)","TỔNG TIỀN VÀNG","TỔNG TIỀN CÔNG","Hao lai
(%)","ƯỚC TÍNH HIỆU QUẢ ĐƠN HÀNG",""
