"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","MÃ ĐH: DHAG-25/05/13","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Nơi giao: PKD Sỉ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deadline: ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","KH: Khách hàng","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL DỰ KIẾN SX
(L)","NVL TỒN KHO (L)","","NVL CẦN BỔ CẤP (L)","HỘI CẦN BỔ CẤP (L)","","","","","","","","","","","","","","","","","",""
"","1","DÂY ĐAN","302.35","7.46","11.70","","","","","","","","","","","","","","","","","","","","","",""
"","1","Dây bi, Lắc bi","8.7","0.21","4.00","","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG :","","311.05","7.67","15.70","42.20","","-26.50","4.00","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","","","","","","","Giá bóng:","110,000,000","","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Hệ số
","Tổng TL sản phẩm
Qui 24K (L)","Giá công/sp","Tổng giá công","Ghi chú","","STT","TỔNG HỢP NL 24K","NGUYÊN TL (Gr)","QUY 24K
(L)","TỔNG TIỀN VÀNG","TỔNG TIỀN CÔNG","Hao lai
(%)","ƯỚC TÍNH HIỆU QUẢ ĐƠN HÀNG",""
"","","","Màu sắc","Tuổi vàng","Đường kính chỉ","Độ dài
(cm)","Hình ảnh","","Gr/SP","Chỉ/SP","Nguyên  (gr)","Qui 24K
(L)","","","","","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]=[6]/[5]+[7]",""
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]=[10]/3.75","[12]=[9]*[10]","[13]=[12]*[5]/99.99%/37.5","[14]","[15] = [13]*[14]","","","","","1","DÂY ĐAN 680Y","117.38","2.13","234,161,379","#REF!","1%","2.30%",""
"TỔNG CỘNG DÂY ĐAN","","","","","","","","65","","","302.35","7.46","","0.00","0","0","","","#REF!","DÂY BI 680Y","23.48","0.43","#REF!","","2%","2.75%",""
"1","SV-CW30CA1","Dây chữ cong 0.30mm","Bạc","92.50%","0.3","42-44","","5","1.17","0.31","5.85","0.14","","","","","","1.3","","","","","","","","","0.19"
"2","SV-CW50CA1","Dây chữ cong 0.50mm","Bạc","92.50%","0.5","46-48","","5","3.33","0.89","16.65","0.41","","","","","","1.3","","","","","","","","","0.53"
"3","SV-CW80CA1","Dây chữ cong 0.80mm","Bạc","92.50%","0.8","50-52","","5","8.20","2.19","41.00","1.01","","","","","","1.3","","","","","","","","","1.31"
"4","SV-CW30CA4","Dây cong khế 0.30mm","Bạc","92.50%","0.3","42-44","","5","1.17","0.31","5.85","0.14","","","","","","1.3","","","","","","","","","0.19"
"5","SV-CW60CA4","Dây cong khế 0.60mm","Bạc","92.50%","0.6","46-48","","5","4.12","1.10","20.60","0.51","","","","","","1.3","","","","","","","","","0.66"
"6","SV-CW70CA4","Dây cong khế 0.70mm","Bạc","92.50%","0.7","50-52","","5","5.39","1.44","26.95","0.66","","","","","","1.3","","","","","","","","","0.86"
"7","SV-CW50CU","Dây khoen lật 0.50mm","Bạc","92.50%","0.5","46-48","","5","3.43","0.91","17.15","0.42","","","","","","1.3","","","","","","","","","0.55"
"8","SV-CW70CU","Dây khoen lật 0.70mm","Bạc","92.50%","0.7","50-52","","5","6.97","1.86","34.85","0.86","","","","","","1.3","","","","","","","","","1.12"
"9","SV-CW35FS","Dây Franco vuông 0.35mm","Bạc","92.50%","0.35","46-48","","5","3.43","0.91","17.15","0.42","","","","","","1.5","","","","","","","","","0.63"
"10","SV-CW60FS","Dây Franco vuông 0.60mm","Bạc","92.50%","0.6","50-52","","5","9.40","2.51","47.00","1.16","","","","","","1.5","","","","","","","","","1.74"
"11","SV-BW70FS","Lắc Franco vuông 0.70mm","Bạc","92.50%","0.7","16-18","","5","4.53","1.21","22.65","0.56","","","","","","1.5","","","","","","","","","0.84"
"12","SV-CW40HE","Dây mì dẹp trơn 0.40mm","Bạc","92.50%","0.4","46-48","","5","4.33","1.15","21.65","0.53","","","","","","1.5","","","","","","","","","0.80"
"13","SV-CW60HE","Dây mì dẹp trơn 0.60mm","Bạc","92.50%","0.6","48-50","","5","5.00","1.33","25.00","0.62","","","","","","1.5","","","","","","","","","0.93"
"14","SV-CW30HT1","Dây mì dẹp xoắn 0.30mm","Bạc","92.50%","0.3","44-46","","5","2.85","0.76","14.25","0.35","","","","","","1.5","","","","","","","","","0.53"
"","SV-CW40HT1","Dây mì dẹp xoắn 0.40mm","Bạc","92.50%","0.4","46-48","","5","4.33","1.15","21.65","0.53","","","","","","1.5","","","","","","","","","0.80"
"TỔNG CỘNG DÂY BI","","","","","","","","6","","","8.7","0.21","","0.00","0","0","","","","","","","","","","",""
"1","SV-CBW2.5","Dây bi 2.5mm kiểu kim cương","Bạc","92.50%","","46-48","","2","","0.00","0.00","0.00","","","","","","","","","","","","","","",""
"2","SV-BBW2.5","Lắc bi 2.5mm kiểu xoáy","Bạc","92.50%","","15-16","","2","","0.00","0.00","0.00","","","","","","","","","","","","","","",""
"3","SV-GBW3-01","Vòng bi 3.0mm 1 tầng kiểu chữ S cong","Bạc","92.50%","","48-50","","2","4.35","1.16","8.70","0.21","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","0.00","0.00","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","0.00","0.00","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","0.00","0.00","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","0.00","0.00","","","","","","","","","","","","","","",""
