"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","",""
"","","","","MÃ ĐH: [DHAG-26/04/03]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Nơi giao: CH1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deadline: chờ xác nhận","","","","","","","","","","","","","","","","","","","","","",""
"","","","","KH: Showroom","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL ĐỀ XUẤT
(L)","","","","","","","","","","","","","","","","","","","","",""
"","1","DÂY ĐAN","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","",""
"","2","Phụ kiện","11.40","0.23","2.00","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG :","","11.40","0.23","2.00","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","","","","","","","Giá bóng:","110,000,000","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Hệ số
","Tổng TL sản phẩm
Qui 24K (L)","Giá công/sp","Tổng giá công","Ghi chú","","STT","TỔNG HỢP NL 24K","NGUYÊN TL (Gr)","QUY 24K
(L)","TỔNG TIỀN VÀNG","TỔNG TIỀN CÔNG","Hao lai
(%)","ƯỚC TÍNH HIỆU QUẢ ĐƠN HÀNG"
"","","","Màu sắc","Tuổi vàng","Đường kính chỉ","Độ dài
(cm)","Hình ảnh","","Gr/SP","Chỉ/SP","Nguyên  (gr)","Qui 24K
(L)","","","","","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]=[6]/[5]+[7]"
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]=[10]/3.75","[12]=[9]*[10]","[13]=[12]*[5]/99.99%/37.5","[14]","[15] = [13]*[14]","","","","","1","DÂY ĐAN 680Y","117.38","2.13","234,161,379","#REF!","1%","2.30%"
"TỔNG CỘNG DÂY ĐAN","","","","","","","","0","","","0.00","0.00","","0.00","0","0","","","#REF!","DÂY BI 680Y","23.48","0.43","#REF!","","2%","2.75%"
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"TỔNG CỘNG DÂY BI","","","","","","","","20","","","11.40","0.23","","0.00","0","0","","","","","","","","","",""
"1","PKKCC750W","Khóa càng cua","Trắng","75.00%","","","","10","0.57","0.15","5.70","0.11","","","","","","","","","","","","","",""
"2","PKKCC750Y","Khóa càng cua","Vàng","75.00%","","","","10","0.57","0.15","5.70","0.11","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
