"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","",""
"","","","","MÃ ĐH: [DHAG-26/04/02] & [DHAG-26/03/02]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Nơi giao: PSX L2 & CH1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deadline: chờ xác nhận","","","","","","","","","","","","","","","","","","","","","",""
"","","","","KH: ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL ĐỀ XUẤT
(L)","","","","","","","","","","","","","","","","","","","","",""
"","1","DÂY ĐAN","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","",""
"","1","Lắc bi+bi rời","103.62","2.07","7.50","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG :","","103.62","2.07","7.50","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","","","","","","","Giá bóng:","110,000,000","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Hệ số
","Tổng TL sản phẩm
Qui 24K (L)","Giá công/sp","Tổng giá công","Ghi chú","","STT","TỔNG HỢP NL 24K","NGUYÊN TL (Gr)","QUY 24K
(L)","TỔNG TIỀN VÀNG","TỔNG TIỀN CÔNG","Hao lai
(%)","ƯỚC TÍNH HIỆU QUẢ ĐƠN HÀNG"
"","","","Màu sắc","Tuổi vàng","Đường kính chỉ","Độ dài
(cm)","Hình ảnh","","Gr/SP","Chỉ/SP","Nguyên  (gr)","Qui 24K
(L)","","","","","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]=[6]/[5]+[7]"
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]=[10]/3.75","[12]=[9]*[10]","[13]=[12]*[5]/99.99%/37.5","[14]","[15] = [13]*[14]","","","","","1","DÂY ĐAN 680Y","117.38","2.13","234,161,379","#REF!","1%","2.30%"
"TỔNG CỘNG DÂY ĐAN","","","","","","","","0","","","0.00","0.00","","0.00","0","0","","","#REF!","DÂY BI 680Y","23.48","0.43","#REF!","","2%","2.75%"
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"TỔNG CỘNG DÂY BI","","","","","","","","66","","","103.62","2.07","","0.00","0","0","","","","","","","","","",""
"1","BIDH80750W","Bi 8.0mm kiểu dưa hấu","Trắng","75.00%","","","","60","1.00","0.27","60.00","1.20","","","","","PSX L2","","","","","","","","",""
"2","BBW2.56","Lắc bi 2.5mm/6.0mm","Trắng","75.00%","","16.5","","6","7.27","1.94","43.62","0.87","","","","","CH1","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
