"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","",""
"","","","","MÃ ĐH: [DHAG-26/01/04]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Nơi giao: PKD Sỉ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deadline: ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","KH: KIM TUẤN QUANG","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL ĐỀ XUẤT
(L)","","","","","","","","","","","","","","","","","","","","",""
"","1","DÂY ĐAN","202.76","4.06","5.27","","","","","","","","","","","","","","","","","","","","",""
"","2","DÂY BI","0.00","0.00","","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG :","","202.76","4.06","5.27","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","","","","","","","Giá bóng:","110,000,000","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Hệ số
","Tổng TL sản phẩm
Qui 24K (L)","Giá công/sp","Tổng giá công","Ghi chú","","STT","TỔNG HỢP NL 24K","NGUYÊN TL (Gr)","QUY 24K
(L)","TỔNG TIỀN VÀNG","TỔNG TIỀN CÔNG","Hao lai
(%)","ƯỚC TÍNH HIỆU QUẢ ĐƠN HÀNG"
"","","","Màu sắc","Tuổi vàng","Đường kính chỉ","Độ dài
(cm)","Hình ảnh","","Gr/SP","Chỉ/SP","Nguyên  (gr)","Qui 24K
(L)","","","","","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]=[6]/[5]+[7]"
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]=[10]/3.75","[12]=[9]*[10]","[13]=[12]*[5]/99.99%/37.5","[14]","[15] = [13]*[14]","","","","","1","DÂY ĐAN 680Y","117.38","2.13","234,161,379","#REF!","1%","2.30%"
"TỔNG CỘNG DÂY ĐAN","","","","","","","","42","","","202.76","4.06","","0.00","0","0","","","#REF!","DÂY BI 680Y","23.48","0.43","#REF!","","2%","2.75%"
"1","CW35CA4","Dây cong khế 0.35mm","Trắng","75.00%","0.35","45","","20","1.79","0.48","35.80","0.72","","","","","","","","","","","","","",""
"1","CW40CA4","Dây cong khế 0.40mm","Trắng","75.00%","0.4","45","","20","2.42","0.65","48.40","0.97","","","","","","","","","","","","","",""
"3","CW40CA1","Dây chữ cong 0.40mm","Trắng","75.00%","0.4","1000","","1","64.78","17.27","64.78","1.30","","","","","","","","","","","","","",""
"4","CW40CA4","Dây cong khế 0.40mm","Trắng","75.00%","0.4","1000","","1","53.78","14.34","53.78","1.08","","","","","","","","","","","","","",""
"TỔNG CỘNG DÂY BI","","","","","","","","0","","","0.00","0.00","","0.00","0","0","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
