"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","",""
"","","","","MÃ ĐH: [DHAG-26/01/02]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Nơi giao: PKD Sỉ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deadline: ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","KH: HAI NHO","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL ĐỀ XUẤT
(L)","","","","","","","","","","","","","","","","","","","","",""
"","1","DÂY ĐAN","169.33","3.07","4.61","","","","","","","","","","","","","","","","","","","","",""
"","2","DÂY BI","0.00","0.00","","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG :","","169.33","3.07","4.61","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","","","","","","","Giá bóng:","110,000,000","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Hệ số
","Tổng TL sản phẩm
Qui 24K (L)","Giá công/sp","Tổng giá công","Ghi chú","","STT","TỔNG HỢP NL 24K","NGUYÊN TL (Gr)","QUY 24K
(L)","TỔNG TIỀN VÀNG","TỔNG TIỀN CÔNG","Hao lai
(%)","ƯỚC TÍNH HIỆU QUẢ ĐƠN HÀNG"
"","","","Màu sắc","Tuổi vàng","Đường kính chỉ","Độ dài
(cm)","Hình ảnh","","Gr/SP","Chỉ/SP","Nguyên  (gr)","Qui 24K
(L)","","","","","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]=[6]/[5]+[7]"
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]=[10]/3.75","[12]=[9]*[10]","[13]=[12]*[5]/99.99%/37.5","[14]","[15] = [13]*[14]","","","","","1","DÂY ĐAN 680Y","117.38","2.13","234,161,379","#REF!","1%","2.30%"
"TỔNG CỘNG DÂY ĐAN","","","","","","","","22","","","169.33","3.07","","0.00","0","0","","","#REF!","DÂY BI 680Y","23.48","0.43","#REF!","","2%","2.75%"
"1","CY35FS","Dây Franco vuông 0.35mm","Vàng","68.00%","0.35","46-48","","10","4.77","1.27","47.67","0.86","","","","","","","","","","","","","",""
"1","CY40FS","Dây Franco vuông 0.40mm","Vàng","68.00%","0.4","46-50","","5","6.47","1.73","32.37","0.59","","","","","","","","","","","","","",""
"3","CY50FS","Dây Franco vuông 0.50mm","Vàng","68.00%","0.5","50","","5","9.57","2.55","47.85","0.87","","","","","","","","","","","","","",""
"4","CY70FS","Dây Franco vuông 0.70mm","Vàng","68.00%","0.7","50, 55","","2","20.72","5.53","41.44","0.75","","","","","","","","","","","","","",""
"TỔNG CỘNG DÂY BI","","","","","","","","0","","","0.00","0.00","","0.00","0","0","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
"","","","","","","","","","","0.00","0.00","0.00","","","","","","","","","","","","","",""
