"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BẢNG XÁC NHẬN DEADLINE ĐƠN ĐẶT HÀNG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ngày dự kiến hoàn thành :     ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","ĐƠN HÀNG:","DHAG-25/08/09","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Stt","ĐĐH","","","Bộ phận Đặt hàng","Nội dung ĐĐH","","","","","Thời gian thực hiện đơn hàng","","","","","","","","","","","","","","","Thời gian SX đơn hàng","Deadline có NL"
"","","Ngày","Số ","Tên KH","","Loại SP","Tuổi vàng","SL","TL  nguyên","TL quy 24K","Nấu NL","Cán kéo","Đan dây","Hàn ống","Kéo ống","Dập bi","Vo bi","Hấp + quay bi","Dập định hình","Ghép","Nén","Bào dây","Khắc bi","Ra dây","Xi mạ","",""
"","1","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY3-01","61%","2","11.19","0.18","","","","","","","","","","","","","","","","",""
"","2","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY3-01","61%","2","11.19","0.18","","","","","","","","","","","","","","","","",""
"","3","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY3-01","61%","2","11.19","0.18","","","","","","","","","","","","","","","","",""
"","4","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY3-01","61%","2","11.19","0.18","","","","","","","","","","","","","","","","",""
"","5","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY46-01","61%","3","24.39","0.4","","","","","","","","","","","","","","","","",""
"","6","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY46-01","61%","3","24.39","0.4","","","","","","","","","","","","","","","","",""
"","7","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY46-01","61%","3","24.39","0.4","","","","","","","","","","","","","","","","",""
"","8","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY46-01","61%","3","24.39","0.4","","","","","","","","","","","","","","","","",""
"","9","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY4-01","61%","4","28.14","0.46","","","","","","","","","","","","","","","","",""
"","10","18/08/2025","DHAG-25/08/09","Kim Thuy 2","PKD Sỉ","GBY6-01","61%","4","29.9","0.49","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","TỔNG CỘNG:","","","","","","","28","200.36","3.27","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," * Lưu ý :"," - Thời gian SX đơn hàng do QL KT xác định.","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," - Deadline hẹn KH : Được xác định kể từ ngày được cấp đủ NL thực hiện ĐĐH, tính theo thời gian SX đơn hàng của QLKT đưa ra.","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," - Deadline có nguyên liệu : Được xác định theo deadline KH yệu cầu, tính trừ lùi số ngày SX ĐĐH của QLKT đưa ra.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","QL SX","","","","","QLKT","","","","KT AG","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Chị Trân","","","","","Anh Khoa","","","","H. Phong","","","","","","","","",""
