"","","","","","","","","","","","","",""
"[AGVN-PK]  BÁO CÁO CHI TIẾT THỰC HIỆN PHÂN KIM - KHO PK : KCP","","","","","","","","","","","Số: ","PKAG-0210/2024",""
"","","","","","","","","","","","Ngày:","28/10/2024",""
"","","","","","","","","","","","","",""
"STT"," Tên nguyên liệu","Tuổi nguyên liệu","","","STT"," Tên nguyên liệu","Kết quả test tuổi","Tổng TL hỗn hợp NL","Trọng lượng (gram)","","Trọng lượng (gram)","",""
"","","","Nguyên","Quy  24K","","","","","Nguyên","Quy 99.99%","","Nguyên","Quy 99.99%"
"","","(1)","(2)","(3) = (1) * (2)/99.99%","-","(4)","(5)","(6)","(7)=(6)*(5)","(8) = (5)*(7)/99.99%","","(9)","(7) = (5) * (6)/ 99.99%"
"A. NGUYÊN LIỆU VÀNG ","","","","","B.  NGUYÊN LIỆU BẠC XÚC TÁC PHÂN KIM","","","","","","","",""
"BƯỚC 1 : NẤU CÂY THẢO NGUYÊN LIỆU VÀNG - BẠC","","","","","","","","","","","","",""
"1","NL18KT","75.49%","147.550","111.397","1","NLBAC","98.14%","","213.700","209.755","","",""
"2","NL18KH","76.85%","47.600","36.584","2","NLBAC","96.46%","","635.030","612.611","","",""
"3","NL18KT","75.23%","153.45","115.452","3","NLBAC","97.92%","","44.550","43.627","","",""
"4","NL18KV","75.34%","88.01","66.313","","","","","","","","",""
"5","VUN14K","63.25%","7.55","4.776","","","","","","","","",""
"6","VUN14K","59.92%","4.33","2.595","","","","","","","","",""
"7","VUN14K","58.36%","0.92","0.537","","","","","","","","",""
"","CỘNG","","449.410 gr","337.654 gr","","CỘNG","","","893.280 gr","865.993 gr","","",""
"BƯỚC 2  :  NẤU HỖN HỢP VÀNG VÀ BẠC","","","","","","","","","","","","",""
"1","AU","72.94%","449.350","327.789","1","AU","","","","","AU","24.33%","326.174"
"","ag","6.01%","","","","ag","97.51%","","893.280","871.095","ag","67.12%","899.697"
"","CỘNG","","449.350 gr","327.789 gr","","CỘNG","","","893.280 gr","871.095 gr","","1340.460 gr","1225.871 gr"
"BƯỚC 3 :  THU HỒI NL24K SAU PK                                 THU BẠC SAU PK","","","","","","","","","","","","",""
"1","AU","99.14%","336.870","333.996","1","AU","0.02%","216.700","0.046","0.000010","","",""
"","ag","0.86%","","","","ag","99.38%","","215.346","214.021","","",""
"","","","","","2","AU","0.02%","172.440","0.036","0.000008","","",""
"","","","","","","ag","99.00%","","170.716","169.025","","",""
"","","","","","3","AU","0.03%","301.120","0.099","0.000033","","",""
"","","","","","","ag","98.94%","","297.913","294.770","","",""
"","","","","","4","AU","0.04%","154.070","0.066","0.000028","","",""
"","","","","","","ag","99.18%","","152.799","151.553","","",""
"TC","AU","","336.870 gr","333.996 gr","TC","AU","","844.330 gr","0.247 gr","0.00008 gr","","",""
"","ag","","","","","ag","","","836.773 gr","829.370 gr","","",""
"BƯỚC 4 :  KẾT QUẢ CHÊNH LỆCH HAO HỤT CHI PHÍ PHÂN KIM","","","","","","","","","","","","",""
"","NL 24K TRƯỚC PK (B1)","","","337.654gr","","NL BẠC QUI (99.99%) TRƯỚC PK (B1)","","","","865.993gr","","",""
"","NL 24K SAU PK (B3)","","","-333.996gr","","NL BẠC QUI  (99.99%) SAU PK (B3)","","","","-829.370gr","","",""
"","","","","","","NL 24K CÒN PHẢI THU HỒI (B3)","","","","-0.00008gr","","",""
"","HAO HỤT CHI PHÍ PK - NL24K","","","3.658gr","","HAO HỤT CHI PHÍ SAU PK - NL BẠC","","","","36.623gr","","",""
