"[AGVN-PK334]  BÁO CÁO TỔNG HỢP THỰC HIỆN PHÂN KIM ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","Kho","Tổng 24K xuất PK","Tổng 24K nhập PK","","Chênh lệch  Nấu 24K","","Chênh lệch PK 24K","","Vàng PK phải thu hồi từ NL Bạc","","","Lũy kế trước và sau nấu","","","","","#REF!","","","",""
"","[1]","[2]","[3]","","[4]","","[5]","","[6]","","","Tỉ lệ trước nấu và sau khi phân kim","","","","","","","","",""
"","AG","192.09","190.54","","#REF!","","#REF!","","#REF!","","","","","","","","","","","",""
"","SXL2","735.95","728.36","","#REF!","","#REF!","","#REF!","","","","","","#REF!","","","","","",""
"","TC","928.04","918.90","","#REF!","","#REF!","","#REF!","","","","","","","","","","","",""
"","* Note:","- Chênh lệch (+) thiếu","- Chênh lệch (-) dư","","","","","","","","","","","","","","","","","Đơn vị tính : Gr",""
"STT","Ngày phân kim","Số chứng từ","Xuất nguyên liệu thực hiện PK","","","","","","Nhập nguyên liệu sau PK","","","","","","Tổng chênh lệch","","","","","","VÀNG PK CÒN PHẢI THU HỒI TỪ NL BẠC"
"","","","NL VÀNG","","","NL BẠC","","","NL VÀNG","","","NL BẠC","","","C/L nấu 24K","","C/L PK 24K","","NL BẠC 99.99%","",""
"","","","Tuổi","Nguyên","Quy 24K","Tuổi","Nguyên ","Qui 99.99%","Tuổi","Nguyên","Quy 24K","Tuổi","Nguyên ","Qui 99.99%","Trọng lượng ","Tỉ lệ %","Trọng lượng ","Tỉ lệ %","Trọng lượng ","Tỉ lệ %",""
"","","","(1)","(2)","(3) = (1) * (2)/99.99%","(4)","(5)","(6)=(3)*(4)/99.99%","(7)","(8)","(9) = (7) * (8)/99.99%","(10)","(11)","(12)=(10)*(11)/  99.99%","(13) ","(14)","(15)","(16)","(17)","(18)","(19)"
"","TỔNG CỘNG","","","1227.82","928.04","","2202.61","2159.13","","921.78","918.90","","2112.11","2099.61","#REF!","#REF!","#REF!","#REF!","59.53","2.76%","#REF!"
"1","24/10/2024","PKAG-0110/24","74.92%","37.08","27.78","99.99%","74.97","74.970","99.95%","27.44","27.43","99.95%","64.21","64.18","","","","","","",""
"","24/10/2024","PKAG-0110/24","","","","","","","","","","99.30%","0.76","0.75","","","","","","",""
"","","PKAG-0110/24","","37.08","27.78","","74.97","74.97","","27.44","27.43","","64.97","64.94","#REF!","#REF!","#REF!","#REF!","10.03","13.38%","#REF!"
"2","26/10/2024","PKAG-0210/24","75.42%","124.03","93.55","96.89%","174.01","168.615","99.99%","93.750","93.75","98.14%","213.700","209.75","","","","","","",""
"","26/10/2024","PKAG-0210/24","","","","99.95%","64.21","64.184","","","","","","","","","","","","",""
"","26/10/2024","PKAG-0210/24","","","","99.30%","0.76","0.755","","","","","","","","","","","","",""
"","","PKAG-0210/24","","124.03","93.55","2.96","238.98","233.55","1.00","93.75","93.75","0.98","213.70","209.75","#REF!","#REF!","#REF!","#REF!","23.81","10.19%","#REF!"
"3","28/10/2024","PK.KCP-0310/24","75.49%","147.55","111.40","98.14%","213.7","209.755","99.14%","336.870","334.00","99.38%","216.7","215.37","","","","","","",""
"","28/10/2024","PK.KCP-0310/24","76.85%","47.6","36.58","96.46%","635.03","612.611","","","","99.00%","172.44","170.73","","","","","","",""
"","28/10/2024","PK.KCP-0310/24","75.23%","153.45","115.45","97.92%","44.55","43.627","","","","98.94%","301.12","297.94","","","","","","",""
"","28/10/2024","PK.KCP-0310/24","75.34%","88.01","66.31","","","","","","","99.18%","154.07","152.81","","","","","","",""
"","28/10/2024","PK.KCP-0310/24","63.25%","7.55","4.78","","","","","","","","","","","","","","","",""
"","28/10/2024","PK.KCP-0310/24","59.92%","4.33","2.59","","","","","","","","","","","","","","","",""
"","28/10/2024","PK.KCP-0310/24","58.36%","0.92","0.54","","","","","","","","","","","","","","","",""
"","","PK.KCP-0310/24","","449.41","337.65","","893.28","865.99","","336.87","334.00","","844.33","836.86","#REF!","#REF!","#REF!","#REF!","29.14","3.36%","#REF!"
"4","05/11/2024","PK.KCP-0111/24","75.52%","13.21","9.98","99.38%","216.7","215.378","99.99%","394.360","394.36","99.88%","848.410","847.45","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","76.40%","22.52","17.21","99.00%","172.44","170.733","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","76.72%","47.51","36.45","98.94%","301.12","297.958","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","76.52%","39.33","30.10","99.18%","154.07","152.822","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","75.65%","46.32","35.04","","","","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","76.47%","10.83","8.28","","","","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","74.99%","7.11","5.33","","","","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","75.97%","44.06","33.48","","","","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","75.04%","59.67","44.78","","","","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","76.08%","5.87","4.47","","","","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","75.58%","162.46","122.79","","","","","","","","","","","","","","","",""
"","05/11/2024","PK.KCP-0111/24","75.77%","66.5","50.40","","","","","","","","","","","","","","","",""
"","","PK.KCP-0111/24","","525.39","398.30","","844.33","836.89","","394.36","394.36","","848.41","847.45","#REF!","#REF!","#REF!","#REF!","-10.56","-1.26%","#REF!"
"5","05/11/2024","PKAG-0211/24","76.79%","1.850","1.42","97.79%","151.050","147.727","99.99%","69.360","69.36","99.93%","140.7","140.62","","","","","","",""
"","05/11/2024","PKAG-0211/24","75.54%","9.320","7.04","","","","","","","","","","","","","","","",""
"","06/11/2024","PKAG-0211/24","77.26%","67.60","52.23","","","","","","","","","","","","","","","",""
"","06/11/2024","PKAG-0211/24","76.51%","13.14","10.05","","","","","","","","","","","","","","","",""
"","06/11/2024","PKAG-0211/24","","","","","","","","","","","","","","","","","","",""
"","06/11/2024","PKAG-0211/24","","","","","","","","","","","","","","","","","","",""
"","06/11/2024","PKAG-0211/24","","","","","","","","","","","","","","","","","","",""
"","06/11/2024","PKAG-0211/24","","","","","","","","","","","","","","","","","","",""
"","","PKAG-0211/24","","91.91","70.75","","151.05","147.73","","69.36","69.36","","140.70","140.62","#REF!","#REF!","#REF!","#REF!","7.11","4.81%","#REF!"
