"BÁO CÁO TỔNG HỢP HIỆU QUẢ CHI PHÍ PHÂN KIM 2026","","","","","","","","","","","","","","","","","","","","","","","","","- Tỉ lệ hao hụt PK cty HP cao hơn DTV (+) ","","","","","","","",""
"","","","","0.00gr","0.00gr","","","0.00gr","0.00gr","","","","0.00gr","0.00gr","","","- Chênh lệch (+) thiếu     - Chênh lệch (-) thừa","","","","","","","","- Tỉ lệ hao hụt PK cty HP thấp hơn DTV (-)","","","","","","","",""
"STT","Ngày PK","Ngày hoàn thành","Lệnh PK","TL vàng NL trước PK","","","TL vàng NL sau PK","","","","Tổng chênh lệch Vàng","","Tổng chênh lệch  Bạc (quy Bạc 99.99%) (gr)","","","","Chi phí phân kim","","","","","","","Tổng hao hụt PK (%)","Giả định hao phí PK theo tỉ lệ DTV thực hiện","","","Giá duyệt hàng tháng","","","Giá duyệt hàng tháng 2026","",""
"","","","","TL nguyên (gr)","TL qui 24K (gr)","TL qui 24K (L)","Tuổi vàng 24K","TL nguyên (gr)","TL qui 24K (gr)","TL qui 24K (L)","TL Quy 24K (gr)","Tỉ lệ PK %","TL bạc xuất thực hiện PK","TL bạc thu về sau PK","Chênh lệch","Tỉ lệ %","Thời gian PK (giờ)","Đơn giá nhân công PK /1 giờ tạm tính
(1TLKT+ 1GSNB)","CP nhân công tạm tính","CP Bạc PK","CP NPL+ CCDC PK","Tổng CP","Tỉ lệ % CP PK","","Tỉ lệ % CP PK DTV","Chênh lệch tỷ lệ % hao phí PK","Chênh lệch 24K hao phí (L)","Giá vàng 24K/gr","Giá bạc /gr","","Tháng","Giá vàng 24K/lượng","Giá Bạc/chỉ"
"","(a)","(b)","","(1)","(2)","(3) = (2)/37.5","(4)","(5)","(6) = (4) * (5)","(7) = (6)/(37.5)","(8) = (2) - (6)","(9) = (8)/(2)","(10)","(11)","(12) = (11) - (10)","(13) = (12)/(10)","(14) =
[(b) - (a)]*8","(15) = (10tr/26/8) * 2","(16) = (14)*(15) ","(17)=(12) *(B)","(18)=CPPK/
Tổng TL cột(2)*(2)","(19)=(16+17+18)","(20) = (19)/(V)/(6)","(21)=(9)+(20)","I","II = (21)-(I)","III = (II)*(3)","(V)","(B)","","","",""
"","","","TỔNG CỘNG","3,424.84gr","2,409.63gr","64.26L","","2,400.42gr","2,393.04gr","63.81L","16.59gr","0.69%","9,704.73gr","9,705.70gr","-0.97gr","-0.01%","448h","","43,008,000","-69,000","26,286,000","69,225,000","0.68%","1.37%","1.06%","0.30%","0.197L","4,256,000","73,000","","","",""
"1","03/01/2026","07/01/2026","PK2K-26/0101","210.250","142.415","3.80","99.68%","141.42","140.98","3.76","1.44","1.01%","533.52","533.57","-0.05","-0.01%","24","96,000","2,304,000","-4,000","1,554,000","3,854,000","0.69%","1.70%","1.06%","0.63%","0.024","3,983,000","72,000","01","01","149,350,000","2,700,000"
"2","06/01/2026","08/01/2026","PK2K-26/0102","412.650","310.698","8.29","99.63%","309.27","308.15","8.22","2.55","0.82%","1167.72","1167.84","-0.12","-0.01%","24","96,000","2,304,000","-8,000","3,389,000","5,685,000","0.46%","1.28%","1.06%","0.22%","0.018","3,983,000","72,000","01","02","165,680,000","2,963,000"
"3","08/01/2026","12/01/2026","PK2K-26/0103","170.070","127.916","3.41","99.88%","126.53","126.39","3.37","1.52","1.19%","528.87","528.93","-0.05","-0.01%","32","96,000","3,072,000","-4,000","1,395,000","4,463,000","0.89%","2.08%","1.06%","1.01%","0.035","3,983,000","72,000","01","03","176,860,000","2,363,000"
"4","15/01/2026","19/01/2026","PK2K-26/0104","150.140","112.910","3.01","99.75%","112.18","111.91","2.98","1.00","0.88%","526.95","527.00","-0.05","-0.01%","40","96,000","3,840,000","-4,000","1,232,000","5,068,000","1.14%","2.02%","1.06%","0.96%","0.029","3,983,000","72,000","01","04","173,250,000","2,360,000"
"5","16/01/2026","19/01/2026","PK2K-26/0105","189.400","136.072","3.63","99.63%","136.20","135.71","3.62","0.36","0.27%","476.04","476.09","-0.05","-0.01%","24","96,000","2,304,000","-3,000","1,484,000","3,785,000","0.70%","0.97%","1.06%","-0.10%","-0.004","3,983,000","72,000","01","05","",""
"6","19/01/2026","22/01/2026","PK2K-26/0106","185.990","124.231","3.31","99.70%","124.12","123.76","3.30","0.47","0.38%","535.28","535.33","-0.05","-0.01%","32","96,000","3,072,000","-4,000","1,355,000","4,423,000","0.90%","1.28%","1.06%","0.21%","0.007","3,983,000","72,000","01","06","",""
"7","23/01/2026","26/01/2026","PK2K-26/0107","147.210","110.733","2.95","99.68%","110.18","109.83","2.93","0.90","0.81%","457.78","457.82","-0.05","-0.01%","32","96,000","3,072,000","-3,000","1,208,000","4,277,000","0.98%","1.79%","1.06%","0.72%","0.021","3,983,000","72,000","01","07","",""
