"[AGVN- PK334-PKT]-THỐNG KÊ KẾT QUẢ PHÂN KIM  - 2026","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","- Chênh lệch (+) thiếu","- Chênh lệch (-) thừa","","","",""
"","","","","0.000","","0.000","","","0.000","","#N/A","","","",""
"STT","Ngày PK","Lệnh PK","TL Nguyên
vàng
(gr)","TL Quy 24K","","Tổng chênh lệch Vàng","","TL Nguyên 
bạc
(gr)","TL Quy 99.99%","","Tổng chênh lệch Bạc","","","",""
"","","","","Gr","Lượng","TL Quy 24K (gr)","Tỉ lệ %","","Gr","Lượng","TL Quy 99.99% (gr)","Tỉ lệ %","","",""
"","","","(1)","(2)","(3) = (2)/37.5","(4)","(5) = (4)/(2)","(4)","(5)","(6) = (2)/37.5","(4)","(5) = (4)/(2)","","",""
"","","LŨY KẾ 2024","","3,702.48","98.73","15.978","0.43%","","10,131.88","270.18","66.690","0.66%","","",""
"","","LŨY KẾ 2025","","17,439.20","465.05","129.810","0.74%","","81,235.83","2,166.29","256.110","0.32%","","",""
"","","TỔNG CỘNG 2026","","2,409.63","64.26","#N/A","#N/A","","9,611.58","256.31","#N/A","#N/A","","",""
"","","TỔNG CỘNG 01- 2026","","1,163.72","31.03","8.536","0.73%","","4,614.93","123.06","-18.241","-0.40%","","","TC"
"1","03/01/2026","PK2K-26/0101","210.250","142.415","3.798","1.433","1.01%","527.410","524.731","13.993","-7.783","-1.48%","","",""
"2","06/01/2026","PK2K-26/0102","412.650","310.698","8.285","1.859","0.60%","1164.010","1163.894","31.037","-2.574","-0.22%","","",""
"3","08/01/2026","PK2K-26/0103","170.070","127.916","3.411","1.331","1.04%","529.870","529.791","14.128","2.454","0.46%","","",""
"4","15/01/2026","PK2K-26/0104","150.140","112.910","3.011","1.219","1.08%","474.470","474.249","12.647","-52.011","-10.97%","","",""
"5","16/01/2026","PK2K-26/0105","189.400","136.072","3.629","0.673","0.49%","528.930","528.618","14.096","53.188","10.06%","","",""
"6","19/01/2026","PK2K-26/0106","185.990","124.231","3.313","0.292","0.24%","527.010","526.957","14.052","-7.623","-1.45%","","",""
"7","23/01/2026","PK2K-26/0107","147.210","110.733","2.953","0.897","0.81%","455.910","455.673","12.151","-0.942","-0.21%","","",""
"8","28/01/2026","PK2K-26/0108","131.350","98.739","2.633","0.832","0.84%","411.25","411.016","10.960","-2.950","-0.72%","","",""
"","","TỔNG CỘNG 02- 2026","","795.76","21.22","4.090","0.51%","","3,069.92","81.86","-52.886","-1.72%","","","TC"
"9","02/02/2026","PK2K-26/0201","431.870","208.085","5.549","-0.306","-0.15%","683.830","683.565","18.228","-51.205","-7.49%","","",""
"10","04/02/2026","PK2K-26/0202","373.400","281.036","7.494","2.802","1.00%","1141.61","1141.187","30.432","-0.841","-0.07%","","",""
"11","06/02/2026","PK2K-26/0203","203.120","152.867","4.076","1.142","0.75%","568.08","568.023","15.147","2.233","0.39%","","",""
"12","09/02/2026","PK2K-26/0204","93.530","67.481","1.799","0.289","0.43%","288.79","288.761","7.700","0.622","0.22%","","",""
"13","11/02/2026","PK2K-26/0205","114.830","86.295","2.301","0.162","0.19%","388.52","388.379","10.357","-3.695","-0.95%","","",""
"","","TỔNG CỘNG 03- 2026","","450.15","12.00","3.98","0.88%","","1,926.74","51.38","-6.86","-0.36%","","","TC"
"14","02/03/2026","PK2K-26/0301","222.860","158.131","4.217","1.155","0.73%","648.130","647.945","17.279","-1.055","-0.16%","","",""
"15","04/03/2026","PK2K-26/0302","257.890","194.049","5.175","2.112","1.09%","831.81","831.457","22.172","-1.003","-0.12%","","",""
"16","09/03/2026","PK2K-26/0303","130.280","97.966","2.612","0.711","0.73%","447.38","447.335","11.929","-4.805","-1.07%","","",""
"","","TỔNG CỘNG 04- 2026","","0.00","0.00","#N/A","#N/A","","0.00","0.00","#N/A","#N/A","","","TC"
"17","#N/A","","","","0.000","#N/A","","#N/A","","0.000","#N/A","","","",""
