"","","","","","","","","","","","","","","","","","","",""
"","[AGVN-PK334]  BÁO CÁO CHI TIẾT THỰC HIỆN PHÂN KIM PT","","","","","","","","","","","","","","","Số: ","PK-PT26/0101","",""
"","","","","","","","","","","","","","","","","Ngày:","","",""
"","","","","","","","","","","","","","","","","","0","",""
"","STT"," Tên nguyên liệu","Kết quả test tuổi Công ty","","","Tỉ lệ NL PK gộp của AG & KCP","Kết quả Công ty","","","","Kết quả test tuổi Tiệm Tài","","","Kết quả Tiệm Tài","","","","C/L kết quả test tuổi vàng Tiệm Tài so với Công ty",""
"","","","KQ test 1","KQ test 2","Kết quả test tuổi BQ","","Trọng lượng Pt (gram)","","Trọng lượng Pd (gram)","","KQ test 1","KQ test 2","Kết quả test tuổi BQ","Trọng lượng Pt (gram)","","Trọng lượng Pd (gram)","","",""
"","","","","","","","Nguyên","Quy 99.99%","Tỉ lệ % Pd","TL Pd","","","","Nguyên","Quy 99.99%","Tỉ lệ % Pd","TL Pd","Trọng lượng (gr)","Tỉ lệ (%)"
"","(1)","(2)","(3)","(4)","(5) = (3)+(4)/2","(6)","(7)","(8)=(5)*(7)/
99.99%","(9)","(10)=(7)*(9)","(11)","(12)","(13) = (11)+(12)/2","(14)","(15)=(14)*(13)/
99.99%","(16)","(17)=(14)*(16)","(18) = (15)-(8)","(19) = (18)/(8)"
"","BƯỚC 1 : TỔNG TL NL PT NHẬN PK","","","","","0.00%","209.880","189.529","","0.000","","","","144.810","189.753","","0.000","0.224","0.12%"
"","KCP","Pt","94.500%","94.660%","94.58%","42.95%","3.18","3.008","","0.000","94.570%","94.650%","94.61%","3.18","3.009","","0.000","",""
"","KCP","Pt","38.180%","60.370%","49.28%","","1.47","0.724","","0.000","61.500%","41.460%","51.48%","1.47","0.757","","0.000","",""
"","KCP","Pt","94.040%","93.780%","93.91%","","4.80","4.508","","0.000","96.200%","96.400%","96.30%","4.80","4.623","","0.000","",""
"","KCP","Pt","89.290%","88.910%","89.10%","","3.59","3.199","","0.000","89.770%","90.130%","89.95%","3.59","3.230","","0.000","",""
"","KCP","Pt","76.170%","67.600%","71.89%","","1.94","1.395","","0.000","77.990%","70.680%","74.34%","1.94","1.442","","0.000","",""
"","KCP","Pt","95.890%","95.780%","95.84%","","4.92","4.716","","0.000","96.210%","95.390%","95.80%","4.92","4.714","","0.000","",""
"","KCP","Pt","96.790%","95.630%","96.21%","","3.76","3.618","","0.000","","","96.21%","3.76","3.618","","0.000","",""
"","KCP","Pt","93.990%","93.910%","93.95%","","2.29","2.152","","0.000","","","93.95%","2.29","2.152","","0.000","",""
"","KCP","Pt","94.130%","94.330%","94.23%","","3.48","3.280","","0.000","","","94.23%","3.48","3.280","","0.000","",""
"","KCP","Pt","85.430%","88.790%","87.11%","","4.90","4.269","","0.000","","","87.11%","4.90","4.269","","0.000","",""
"","KCP","Pt","93.220%","94.910%","94.07%","","2.92","2.747","","0.000","","","94.07%","2.92","2.747","","0.000","",""
"","KCP","Pt","88.420%","87.190%","87.81%","","2.49","2.187","","0.000","","","87.81%","2.49","2.187","","0.000","",""
"","KCP","Pt","87.910%","88.420%","88.17%","","2.41","2.125","","0.000","","","88.17%","2.41","2.125","","0.000","",""
"","KCP","Pt","89.200%","88.190%","88.70%","","1.00","0.887","","0.000","","","88.70%","1.00","0.887","","0.000","",""
"","KCP","Pt","89.460%","88.890%","89.18%","","0.59","0.526","","0.000","","","89.18%","0.59","0.526","","0.000","",""
"","KCP","Pt","88.790%","89.540%","89.17%","","6.17","5.502","","0.000","","","89.17%","6.17","5.502","","0.000","",""
"","KCP","Pt","89.230%","89.680%","89.46%","","2.53","2.263","","0.000","","","89.46%","2.53","2.263","","0.000","",""
"","KCP","Pt","91.170%","91.310%","91.24%","","2.80","2.555","","0.000","","","91.24%","2.80","2.555","","0.000","",""
"","KCP","Pt","82.920%","80.370%","81.65%","","1.10","0.898","","0.000","","","81.65%","1.10","0.898","","0.000","",""
"","KCP","Pt","89.050%","88.640%","88.85%","","1.35","1.200","","0.000","","","88.85%","1.35","1.200","","0.000","",""
"","KCP","Pt","80.990%","79.830%","80.41%","","1.46","1.174","","0.000","","","80.41%","1.46","1.174","","0.000","",""
"","KCP","Pt","89.290%","90.310%","89.80%","","0.35","0.314","","0.000","","","89.80%","0.35","0.314","","0.000","",""
"","KCP","Pt","86.330%","90.090%","88.21%","","2.85","2.514","","0.000","","","88.21%","2.85","2.514","","0.000","",""
