"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Vàng Cty gởi phân kim (Cty cân - đo tuổi)","","","","","","","","","","","","","","","","","","","","","","","",""
"","TT","Loại vàng","Tr.lượng cân (g)","Tuổi vàng đo","Quy 24K giao (g)","Quy 24K giao (L)","","","","","","","","","","","","","","","","","","",""
"","","","A","B","C = A * B / 99.99","D = C / 37.5","","","","","","","","","","","","","","","","","","",""
"","1","18KY","  89.52 ","75.96%","  68.01 ","  1.8135 ","","","","","","","","","","","","","","","","","","",""
"","2","18KR","  73.82 ","75.79%","  55.95 ","  1.4921 ","","","","","","","","","","","","","","","","","","",""
"","2","18KW","  115.10 ","75.65%","  87.08 ","  2.3222 ","","","","","","","","","","","","","","","","","","",""
"","","Cộng","  278.44 ","","  211.04 ","  5.6278 ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","A. Mr. Dương nhận phân kim (Nhận theo trọng lượng, tuổi cty giao)","","","","","","","","","","","","","Trả phân kim","","","","","","","","","","",""
"","TT","Loại vàng","Tr.lượng nhận (g)","Tuổi vàng nhận","Quy 24K (g)","Quy 24K (L)","","","","","","","","Phí phân kim","Tuổi vàng sau trừ phí","Tr.lượng 24K nhận (g)","Tr.lượng 24K nhận (L)","Tr.lượng 24K hao phí (g)","Tr.lượng 24K hao phí (L)","Tỷ lệ hao phí / vàng 24K","","","","",""
"","","","E","F","G = E * F / 99.99","H = G / 37.5","","","","","","","","I","J = F - I","K = E * J / 99.99","L = K / 37.5","M = C - K","N = D - L","O = M / C","","","","",""
"","1","18KY","  89.52 ","75.96%","  68.01 ","  1.8135 ","","","","","","","","1.5%","74.46%","  66.66 ","  1.7777 ","  1.34 ","  0.0358 ","1.97%","","","","",""
"","2","18KR","  73.82 ","75.79%","  55.95 ","  1.4921 ","","","","","","","","1.5%","74.29%","  54.85 ","  1.4626 ","  1.11 ","  0.0295 ","1.98%","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2","18KW","  115.10 ","75.65%","  87.08 ","  2.3222 ","","","","","","","","1.5%","74.15%","  85.36 ","  2.2761 ","  1.73 ","  0.0460 ","1.98%","","","","",""
"","","Cộng","  278.44 ","","  211.04 ","  5.6278 ","","","","","","","","","Cộng","  206.86 ","  5.5164 ","  4.18 ","  0.1114 ","1.98%","","","","",""
"","Báo cáo so sánh giữa PK nội bộ và PK tại Đô Thị Vàng","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","TT","Loại vàng","Trọng lượng giao PK - KQ test tuổi : HP ","","","","Trọng lượng giao PK - KQ test tuổi : DTV","","","","","","","Kết quả thu hồi sau PK","","","","Tổng chênh lệch hao hụt PK","","","Giả định hao phí PK theo tỉ lệ HP thực hiện","","","Kết quả PK của DTV so với HP
{(-) : thấp hơn  (+) : cao hơn)}",""
