"BẢNG KÊ KHAI NVL CẦN PHÂN KIM","","","","","","","","","","","","","","PK01-04/2026"
"","","Số chứng từ:","","PK01-04/2026","","","","","","","","","",""
"","","Ngày:","01/04/2026","","","","Lần giao :","1","","","","","",""
"STT","TÊN NGUYÊN LIỆU","Wt.GOLD
(gram)","TUỔI 
(Đo HP)
(1)","TUỔI 
(Đo HP)
(2)","TUỔI 
(Đo Tiệm Tài)
(1)","TUỔI 
(Đo Tiệm Tài)
(1)","TRUNG BÌNH TUỔI","QUI ĐỔI NGUYÊN LIỆU
VỀ ĐÚNG TUỔI","QUI ĐỔI
VÀNG 24K
(gram)","QUI ĐỔI
VÀNG 24K
(lượng)","","","",""
"1","2","3","4","5","6","7","8","9","10","11","","","",""
"1","NL18KT","68.40","74.95%","75.05%","74.98%","75.29%","75.07%","68.46","51.35","1.37","","","",""
"2","NL18KT","72.47","75.15%","75.02%","75.19%","75.04%","75.10%","72.57","54.43","1.45","","","",""
"3","NL18KT","74.45","75.00%","75.27%","74.95%","75.39%","75.15%","74.60","55.96","1.49","","","",""
"4","NL18KT","69.56","75.13%","75.03%","75.07%","75.11%","75.09%","69.64","52.23","1.39","","","",""
"Tổng NL18K","","284.88","75.06%","75.09%","75.05%","75.21%","75.10%","285.27","213.97","5.71","","","",""
"1","NL14KV","54.08","58.38%","58.24%","58.46%","58.19%","58.32%","54.10","31.54","0.84","","","",""
"Tổng vụn 14K","","54.08","","","","","","54.10","31.54","0.84","","","",""
"","","","","","","","","","","","","","",""
"Tổng:","","338.96","","","","","","339.36","245.51","6.55","","","",""
"","","","","","","","","","","","","","",""
"    Người giao","","","","","","","","","             Người nhận","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"BẢNG KÊ KHAI NVL NHẬN TỪ ĐỐI TÁC PHÂN KIM","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Stt","NGÀY NHẬN","TÊN NGUYÊN LIỆU","Wt.GOLD
(gram)","TUỔI VÀNG","","","","","","","","","",""
"1","2","3","4","5","","","","","","","","","",""
"1","28/04/2026","NL24K","219.00","99.99%","","","","","","","","","",""
"2","","NL24K","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"    Người giao","","","","","","","","","             Người nhận","","","","",""
