"spreadsheet","tab_name","tab_gid","column_index","field_name"
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","1",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","2",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","3",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","4",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","5",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","6",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","7",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","8",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","9",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","10",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","11",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","12",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","13",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","3a. Mẫu biểu QTPK","1306490333","14",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","1","[AGVN-PK334]  BÁO CÁO TỔNG HỢP THỰC HIỆN PHÂN KIM"
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","2",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","3",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","4",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","5",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","6",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","7",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","8",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","9",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","10",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","11",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","12",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","13",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","14",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","15",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","16",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","17",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","18",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","19",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","20",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","21",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","Tổng hợp gốc","1365082151","22",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","A. BC HIỆU QUẢ PK-2026","1163088631","1","BÁO CÁO TỔNG HỢP HIỆU QUẢ CHI PHÍ PHÂN KIM 2026"
"08-bao-cao-tong-hop-ket-qua-pk-2026","A. BC HIỆU QUẢ PK-2026","1163088631","2",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","A. BC HIỆU QUẢ PK-2026","1163088631","3",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","A. BC HIỆU QUẢ PK-2026","1163088631","4",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","A. BC HIỆU QUẢ PK-2026","1163088631","5",""
"08-bao-cao-tong-hop-ket-qua-pk-2026","A. BC HIỆU QUẢ PK-2026","1163088631","6",""
