"BẢNG TỔNG HỢP ĐỀ XUẤT NVL CH1","","","","","","","","","",""
"","","","","","","","","","",""
"STT","NGÀY ĐẶT ĐƠN","ĐƠN HÀNG","KH","SL ĐẶT ĐƠN (sợi)","TL THÀNH PHẨM (L)","TL ĐÃ SẢN XUẤT (L)","TL NL24K ĐỀ XUẤT (L)","TL NL24K CẦN BỔ CẤP (L)","",""
"Tổng:","","","","128","39.85","9.85","42.56","32.71","",""
"1","12/08/2025","DHAG-25/08/05","SR","37","18.98","","13","13","",""
"2","14/08/2025","DHAG-25/08/07","SR","25","9.15","","7","7","",""
"3","08/10/2025","DHAG-25/10/06","SR","20","4.14","3.79","4.5","0.71","",""
"4","09/10/2025","DHAG-25/10/07","SR","30","3.47","","12","12","",""
"5","25/05/2026","DHAG-26/05/03","KH+SR","11","3.76","5.6","5.6","0","",""
"6","28/05/2026","DHAG-26/05/04","KH","5","0.35","0.46","0.46","0","",""
"","","","","","","","","","",""
"KẾ HOẠCH NVL THÁNG 06/2026","","","","","","","","","",""
"","","","","","","","","","",""
"Tuần: 23","","","Từ","01/06/2026","Đến","06/06/2026","","","",""
"NVL dự kiến sản xuất quy 24K (L)","","8.37","Quy 75%:","11.16","TL sản xuất dự kiến","11.16","Còn lại (L)","0.00","",""
"STT","ĐƠN HÀNG","MÃ SẢN PHẨM","CHI TIẾT SẢN PHẨM","TL SẢN XUẤT (L)","TL DẺ QUAY ĐẦU (L)","SL DỰ KIẾN
(sợi)","TL THÀNH PHẨM DỰ KIẾN (L)","SL THỰC TẾ
(sợi)","TL THÀNH PHẨM THỰC TẾ (L)","GHI CHÚ"
"Tổng:","","","","11.16","0","35","8.034","19","5.050",""
"1","DHAG-26/05/04","CR45CA4","Dây cong khế 0.45mm","0.46","","5","0.35","","","KH-CH1"
"2","DHAG-25/10/06","CY60CU","Dây khoen lật 0.60mm","2.64","","10","2.03","9","1.99","SR-CH1"
"3","DHAG-25/10/06","CY70CU","Dây khoen lật 0.70mm","3.37","","10","2.59","10","3.06","SR-CH1"
"4","DHAG-25/10/07","CBW2","Dây bi 2.0mm","4.69","","10","3.06","","","SR-CH1"
"TRỌNG LƯỢNG DẺ QUAY ĐẦU CÒN LẠI QUY 24K (L)","","","","","1.22","","","","",""
"","","","","","","","","","",""
"Tuần: 24","","","Từ","08/06/2026","Đến","13/06/2026","","","",""
"NVL dự kiến sản xuất quy 24K (L)","","6.22","Quy 75%:","8.29","TL sản xuất dự kiến","8.29","Còn lại (L)","0.00","",""
"STT","ĐƠN HÀNG","MÃ SẢN PHẨM","CHI TIẾT SẢN PHẨM","TL SẢN XUẤT (L)","TL DẺ QUAY ĐẦU (L)","SL DỰ KIẾN
(sợi)","TL THÀNH PHẨM DỰ KIẾN (L)","SL THỰC TẾ
(sợi)","TL THÀNH PHẨM THỰC TẾ (L)","GHI CHÚ"
"Tổng:","","","","8.29","4.67","17","6.88","0","0","0"
"1","DHAG-25/08/05","CBW3","Dây bi 3.0mm","8.29","","10","3.62","","","SR-CH1"
"2","DHAG-25/08/05","CBW2.5","Dây bi 2.5mm","","4.67","7","3.26","","","SR-CH1"
"TRỌNG LƯỢNG DẺ QUAY ĐẦU CÒN LẠI QUY 24K (L)","","","","","1.06","","","","",""
"","","","","","","","","","",""
"Tuần: 25","","","Từ","15/06/2026","Đến","20/06/2026","","","",""
"NVL dự kiến sản xuất quy 24K (L)","","6.06","Quy 75%:","8.08","TL sản xuất dự kiến","8.08","Còn lại (L)","0.00","",""
"STT","ĐƠN HÀNG","MÃ SẢN PHẨM","CHI TIẾT SẢN PHẨM","TL SẢN XUẤT (L)","TL DẺ QUAY ĐẦU (L)","SL DỰ KIẾN
(sợi)","TL THÀNH PHẨM DỰ KIẾN (L)","SL THỰC TẾ
(sợi)","TL THÀNH PHẨM THỰC TẾ (L)",""
"Tổng:","","","","8.08","5.32","37","7.89","0","0",""
"1","DHAG-25/08/05","GBW3","Vòng bi 3.0mm","8.08","","2","0.22","","",""
"2","DHAG-25/08/05","BBW2.54","Lắc bi 2.5mm/4.0mm","","","5","0.71","","",""
"3","DHAG-25/08/05","BBW36","Lắc bi 3.0mm/6.0mm","","","5","0.93","","",""
"4","DHAG-25/08/05","BBW2.546","Lắc bi 2.5mm/4.0mm/6.0mm","","","5","0.9","","",""
"5","DHAG-25/08/07","BBY36","Lắc bi 3.0mm/6.0mm","","5.32","10","1.85","","",""
"","DHAG-25/10/07","CBY3","Dây bi 3.0mm","","","10","3.28","","",""
"TRỌNG LƯỢNG DẺ QUAY ĐẦU CÒN LẠI QUY 24K (L)","","","","","0.14","","","","",""
"","","","","","","","","","",""
"Tuần: 26","","","Từ","22/06/2026","Đến","27/06/2026","","","",""
"NVL dự kiến sản xuất quy 24K (L)","","5.14","Quy 75%:","6.85","TL sản xuất dự kiến","6.85","Còn lại (L)","0.00","",""
"STT","ĐƠN HÀNG","MÃ SẢN PHẨM","CHI TIẾT SẢN PHẨM","TL SẢN XUẤT (L)","TL DẺ QUAY ĐẦU (L)","SL DỰ KIẾN
(sợi)","TL THÀNH PHẨM DỰ KIẾN (L)","SL THỰC TẾ
(sợi)","TL THÀNH PHẨM THỰC TẾ (L)",""
"Tổng:","","","","6.85","","10","3.54","0","0",""
"1","DHAG-25/10/07","CBY35","Dây bi 3.0mm/5.0mm","6.85","","10","3.54","","",""
"TRỌNG LƯỢNG DẺ QUAY ĐẦU CÒN LẠI QUY 24K (L)","","","","","2.48","","","","",""
