"","","","","","","","","","","","","","",""
"","","","","[AGVN-KT409] DỰ KIẾN NGUYÊN LIỆU ĐƠN HÀNG","","","","","","","","","",""
"","","","","ĐỀ XUẤT NVL TUẦN 23 (TỪ NGÀY 01/06-06/06)","","","","","","","","","",""
"","","","","Nơi giao: CH1","","","","","","","","","",""
"","","","","Deadline: ","","","","","","","","","",""
"","","","","KH: SR","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","STT","TỔNG HỢP NL 24K ĐỀ XUẤT","NGUYÊN TL (Gr)","QUY 24K
(L)","NVL DỰ KIẾN SX
(L)","NVL TỒN KHO (L)","","NVL CẦN BỔ CẤP (L)","","","","","",""
"","1","Dây Đan","190.92","3.82","4.96","","","","","","","","",""
"","2","Dây bi, Lắc bi","103.9","2.08","3.41","","","","","","","","",""
"","TỔNG CỘNG :","","294.82","5.90","8.37","3.37","","5.00","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NVL","","","","","","","","","","","","","",""
"Stt","Mã sản phẩm","Tên sản phẩm","Kết cấu sản phẩm","","","","","Số lượng
(Sợi)","TL vàng nguyên sản phẩm","","Tổng TL sản phẩm","","Đơn hàng","Ghi chú"
"","","","Màu sắc","Tuổi vàng","Đường kính chỉ","Độ dài
(cm)","Hình ảnh","","Gr/SP","Chỉ/SP","Nguyên  (gr)","Qui 24K
(L)","",""
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]=[10]/3.75","[12]=[9]*[10]","[13]=[12]*[5]/99.99%/37.5","",""
"TỔNG CỘNG DÂY ĐAN","","","","","","","","25","","","190.92","3.82","",""
"1","CR45CA4","Dây cong khế 0.45mm","Hồng","75.00%","0.45","46","","5","3.50","0.93","17.50","0.35","DHAG-26/05/04","KH-CH1"
"2","CY60CU","Dây khoen lật 0.60mm","Vàng","75.00%","0.6","51","","10","7.63","2.03","76.28","1.53","DHAG-25/10/06","SR-CH1"
"3","CY70CU","Dây khoen lật 0.70mm","Vàng","75.00%","0.7","56","","10","9.71","2.59","97.14","1.94","DHAG-25/10/06","SR-CH1"
"4","","","","","","","","","","0.00","0.00","0.00","",""
"5","","","","","","","","","","0.00","0.00","0.00","",""
"6","","","","","","","","","","0.00","0.00","0.00","",""
"7","","","","","","","","","","0.00","0.00","0.00","",""
"8","","","","","","","","","","0.00","0.00","0.00","",""
"9","","","","","","","","","","0.00","0.00","0.00","",""
"10","","","","","","","","","","0.00","0.00","0.00","",""
"11","","","","","","","","","","0.00","0.00","0.00","",""
"12","","","","","","","","","","0.00","0.00","0.00","",""
"13","","","","","","","","","","0.00","0.00","0.00","",""
"TỔNG CỘNG DÂY BI","","","","","","","","10","","","103.9","2.08","",""
"1","CBW2","Dây bi 2.0mm","Vàng","75.00%","","46","","10","10.39","2.77","103.90","2.08","DHAG-25/10/07","SR-CH1"
"2","","","","","","","","","","0.00","0.00","0.00","",""
"3","","","","","","","","","","0.00","0.00","0.00","",""
"4","","","","","","","","","","0.00","0.00","0.00","",""
"5","","","","","","","","","","0.00","0.00","0.00","",""
"6","","","","","","","","","","0.00","0.00","0.00","",""
"7","","","","","","","","","","0.00","0.00","0.00","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"BÁO CÁO KẾT QUẢ SẢN XUẤT TUẦN 23 (TỪ NGÀY 01/06-06/06/2026)","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"TL thực nhận (L)","","(A)","5","","","","","","","","","","",""
"TL nguyên liệu tồn kho (L)","","(B)","0.39","","","","","","","","","","",""
"TL thực tế sản xuất (L) ","","(A) + (B)","5.39","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"STT","Nhóm NL","TL quy 24K (L)","Ghi chú","","","","","","","","","","",""
"1","Sản phẩm dỡ dang","3.22","Dây khoen lật 0.60, 0.70 (Chuẩn bị ra dây)","","","","","","","","","","",""
"2","Sản phẩm hoàn thành","","","","","","","","","","","","",""
"3","Phụ kiện","0.27","","","","","","","","","","","",""
"4","NL tồn kho","0.92","Sản xuất lại dây khoen lật 0.60 dập lỗi","","","","","","","","","","",""
"5","NL phân kim","0.52","Sản xuất dây bi CBY2","","","","","","","","","","",""
"6","Bột bào, bột dũa","0.44","","","","","","","","","","","",""
"7","Hao hụt công đoạn","0.02","","","","","","","","","","","",""
"Tổng","","5.39","","","","","","","","","","","",""
