"spreadsheet","tab_name","tab_gid","column_index","field_name"
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","1","BẢNG TỔNG HỢP ĐỀ XUẤT NVL CH1"
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","2",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","3",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","4",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","5",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","6",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","7",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","8",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","9",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","10",""
"09-ke-hoach-nvl-don-hang","Kế hoạch NVL tháng","0","11",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","1",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","2",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","3",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","4",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","5",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","6",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","7",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","8",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","9",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","10",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","11",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","12",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","13",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","14",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 23","498248001","15",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","1",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","2",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","3",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","4",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","5",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","6",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","7",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","8",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","9",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","10",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","11",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","12",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","13",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","14",""
"09-ke-hoach-nvl-don-hang","Đề xuất NVL tuần 24","469549650","15",""
