"STT","NGÀY XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ (VND/lượng)","THÀNH TIỀN
VND","QTY BAN ĐẦU
(lượng)","TL BAN ĐẦU
GR","QTY  THỰC NHẬN","TL THỰC NHẬN","NGUỒN NHẬP","GHI CHÚ"
"1","07/01/2022","XKNL.T01-002","Xuất 10L3773 lượng vàng 24K (CML duyệt 06/01/2022 12:58pm)","24K","Vàng 24k","52,100,000 đ","540,660,000 đ","10.3773","389.15","10.3773","389.15","KHUY","Xuất nhập Kho NVL (Chị Trân)"
"2","08/01/2022","XKNL.T01-004","Xuất 9L6128 lượng vàng 24K đợt 3 (CML duyệt 06/01/2022 12:58pm)","24K","Vàng 24k","52,100,000 đ","500,827,000 đ","9.6128","360.48","9.6128","360.48","KHUY","Xuất nhập Kho NVL (Chị Trân)"
"3","10/01/2022","XKNL.T01-005","Xuất 19L982 lượng vàng 24K gồm:
-  Đợt 4 CML đã duyệt 06/01/2022 12:58pm
-  12 lượng PGP (CH duyệt qua ĐT ngày 10/01/2022 11:30am)","24K","Vàng 24k","52,140,000 đ","1,041,862,000 đ","19.9820","749.33","19.9820","749.33","KHUY","Xuất nhập Kho NVL (Chị Trân)"
"4","13/01/2022","XKNL.T01-007","Xuất 19L9805 lượng vàng 24K đợt 5 + đợt 6 (CML duyệt 06/01/2022 12:58pm)","24K","Vàng 24k","52,610,000 đ","1,051,180,000 đ","19.9805","749.27","19.9805","749.27","KHUY","Xuất nhập Kho NVL (Chị Trân)"
"5","15/01/2022","XKNL.T01-009","Xuất 18L6135 lượng vàng 24K đợt 1 (CML duyệt 14/01/2022 05:05pm)","24K","Vàng 24k","52,600,000 đ","979,070,000 đ","18.6135","698.01","18.6135","698.01","KHUY","Xuất nhập Kho NVL (Chị Trân)"
"6","17/01/2022","XKNL.T01-011","Xuất +Đợt 3:Cần có: trong ngày thứ 3, ngày 18/01, để SX đơn hàng KHÁCH:20L (sử dụng vàng 24K 99.99) CML duyệt 05:24pm ngày 14/01/2022)","24k","Vàng 24K","52,600,000 đ","1,122,510,000 đ","21.3405","800.27","21.3405","800.27","KHUY",""
"7","19/01/2022","XKNL.T01-012","Xuất 21L872 lượng (820.2gr) vàng 24K đợt cuối (CML duyệt 14/01/2022 05:05pm)","24k","Vàng 24K","52,580,000 đ","1,150,030,000 đ","21.8720","820.20","21.8720","820.20","KHUY","Xuất nhập Kho NVL (Chị Trân)"
"8","26/01/2022","XKNL.T01-015","Xuất 29L9178 lượng (1.121,92gr) vàng 24K (CML duyệt 25/01/2022 04:17pm)","24k","Vàng 24K","53,840,000 đ","1,610,780,000 đ","29.9179","1121.92","29.9179","1121.92","KHUY","Xuất nhập Kho NVL (Chị Trân)"
"","","","TỔNG KẾT CUỐI NGÀY 31/JAN/2022","","","","7,996,919,000 đ","151.6966","5688.62","151.6966","5688.62","",""
"9","15/02/2022","XKNL.T02-019","Xuất 19L9796 lượng vàng 24K (CML duyệt 15/02/2022)","24k","Vàng 24K","53,810,000 đ","1,075,110,000 đ","19.9796","749.24","19.9796","749.24","","Xuất nhập Kho NVL (Chị Trân)"
