"STT","NGÀY XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ 
(lượng)","ĐVT","QTY BAN ĐẦU","TL BAN ĐẦU","TL THỰC NHẬN
gr","NGUỒN NHẬP","GHI CHÚ"
"1","11/01/2021","XKNL.T01-003","Xuất 3,5010 lượng vàng 24K","24k","Vàng 24K","","gr","","","131.28","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"2","13/01/2021","XKNL.T01-005","Xuất 1L070 lượng vàng 24K","24k","Vàng 24K","","gr","","","37.75","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"3","18/01/2021","XKNL.T01-006","Xuất 6L0003 lượng vàng 24K","24k","Vàng 24K","","gr","","","225.0","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"4","25/01/2021","XKNL.T01-007","Xuất 6L lượng vàng 24K","24k","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"5","26/01/2021","XKNL.T01-009","Xuất 6L lượng vàng 24K (CML duyệt 22/01/2021 1:58pm)","24k","Vàng 24K","","gr","","","224.59","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"6","01/02/2021","XKNL.T02-001","Xuất 7L lượng vàng 24K (CML duyệt 30/01/2021 9:24am)","24k","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"7","03/02/2021","XKNL.T02-002","Xuất 7L lượng vàng 24K (CML duyệt 01/02/2021 7:07pm)","24k","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"8","04/02/2021","XKNL.T02-003","Xuất 8L lượng vàng 24K (CML duyệt 03/02/2021 1:21pm)","24k","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"9","08/02/2021","XKNL.T02-004","Xuất 7L lượng vàng 24K (CML duyệt 06/02/2021 3:39pm)","24k","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"10","18/02/2021","XKNL.T02-007","Xuất 5L lượng vàng 24K (CML duyệt 17/02/2021 5:02pm)","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"11","23/02/2021","XKNL.T02-009","Xuất 5L lượng vàng 24K (CML duyệt 23/02/2021 8:15pm)","24K","Vàng 24K","","gr","","","190.33","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"12","24/02/2021","XKNL.T02-010","Xuất 6L lượng vàng 24K (CML duyệt 23/02/2021 8:14AM)","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"13","25/02/2021","XKNL.T02-011","Xuất 50031L lượng vàng 24K (CML duyệt 23/02/2021 8:14pm)","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"14","26/02/2021","XKNL.T02-012","Xuất 30048L lượng vàng 24K (CML duyệt 25/02/2021 5:21pm)","24K","Vàng 24K","","gr","","112.68","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"15","03/03/2021","XKNL.T03-003","Xuất 50086L lượng vàng 24K (CML duyệt 02/03/2021 1:37pm)","24K","Vàng 24K","","gr","","187.82","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"16","04/03/2021","XKNL.T03-005","Xuất 2L lượng vàng 24K (CML duyệt 03/03/2021 1:25pm)","24K","Vàng 24K","","gr","","80.63","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"17","12/03/2021","XKNL.T03-006","Xuất 8L lượng vàng 24K (CML duyệt 13/03/2021 4:40pm)","24K","Vàng 24K","","gr","","300","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"18","15/03/2021","XKNL.T03-008","Xuất 8L lượng vàng 24K lần 2 (CML duyệt 13/03/2021 4:40pm)","24K","Vàng 24K","","gr","","300.12","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"19","18/03/2021","XKNL.T03-011","Xuất 17L385 lượng vàng 24K (CML duyệt 11/03/2021 1:27pm)","24K","Vàng 24K","","gr","","","651.97","US","Xuất nhập Kho NVL (Chị Trân)"
"20","22/03/2021","XKNL.T03-012","Xuất 4L6 lượng vàng 24K (CML duyệt 19/03/2021 1:37 pm)","24K","Vàng 24K","","gr","","173.02","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"21","24/03/2021","XKNL.T03-013","Xuất 6L0022 lượng vàng 24K (CML duyệt 22/03/2021 5:15 PM)","24K","Vàng 24K","","gr","","225.06","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
