"[AGVN-C3109] BẢNG THEO DÕI MUA NVL VÀNG NĂM 2026","","","","","","","","","","","","","",""
"STT","NGÀY NHẬP/XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ (VND/lượng)","THÀNH TIỀN
VND","NHẬP NVL","","XUẤT NVL","","","",""
"","","","","","","","","ĐVT:
(gr)","ĐVT:
(lượng)","TL THỰC NHẬN
(gr)","QTY  THỰC NHẬN
(lượng)","THÁNG","Tuổi vàng",""
"","","","TỔNG CỘNG NHẬP XUẤT LŨY KẾ","","","","3,686,780,000 đ","872.87gr","22.844L","872.87gr","22.844L","","","0.000L"
"1","09/01/2026","","Nhập vàng NL 98.89%- 10.654chỉ/39.95gr (Qui 24K: 39.51gr/1.0536L)- Nguồn Kim Bích Cương (14.870.000c)","24K","Vàng 24k","148,700,000đ","156,671,000đ","39.51","1.0536","","","Tháng 01/2026","",""
"2","09/01/2026","XNL-L3/260101","Xuất vàng NL 98.89%- 10.654chỉ/39.95gr (Qui 24K: 39.51gr/1.0536L)- Nguồn Kim Bích Cương (14.870.000c)","24K","Vàng 24k","","","","","39.51","1.0536","Tháng 01/2026","98.89%",""
"3","16/01/2026","","Nhập vàng NL 99.93%- 6.64chỉ/24.9gr (Qui 24K: 24.88gr/0.6636L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","148,500,000đ","98,545,000đ","24.89","0.66360","","","Tháng 01/2026","",""
"4","16/01/2026","XNL-L3/260102","Xuất vàng NL 99.93%- 6.64chỉ/24.9gr (Qui 24K: 24.88gr/0.6636L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","","","","","24.89","0.66360","Tháng 01/2026","99.93%",""
"5","16/01/2026","","Nhập vàng NL 99.24%- 27.79chỉ/104.21gr (Qui 24K: 103.43gr/2.7582L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","","409,593,000đ","103.43","2.75820","","","Tháng 01/2026","",""
"6","16/01/2026","XNL-L3/260103","Xuất vàng NL 99.24%- 27.79chỉ/104.21gr (Qui 24K: 103.43gr/2.7582L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","","","","","103.43","2.75820","Tháng 01/2026","99.24%",""
"7","16/01/2026","","Nhập vàng NL 68%- 5.05chỉ/18.93gr (Qui 24K: 12.88gr/0.3434L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","","50,995,000đ","12.88","0.34340","","","Tháng 01/2026","",""
"8","16/01/2026","XNL-L3/260104","Xuất vàng NL 68%- 5.05chỉ/18.93gr (Qui 24K: 12.88gr/0.3434L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","","","","","12.88","0.34340","Tháng 01/2026","68.00%",""
"9","16/01/2026","","Nhập vàng NL 75.48%- 17.985chỉ/67.44gr (Qui 24K: 50.91gr/1.3576L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","","201,604,000đ","50.91","1.35760","","","Tháng 01/2026","",""
"10","16/01/2026","XNL-L3/260105","Xuất vàng NL 75.48%- 17.985chỉ/67.44gr (Qui 24K: 50.91gr/1.3576L)- Nguồn Kim Thanh (14.850.000c)","24K","Vàng 24k","","","","","50.91","1.35760","Tháng 01/2026","75.48%",""
"11","19/01/2026","","Nhập vàng NL 99.9%- 8chỉ/30gr (Qui 24K: 29.97gr/0.7993L)- Nguồn Kim Tuấn Quang (14.970.000c)","24K","Vàng 24k","149,700,000đ","119,656,000đ","29.97","0.79930","","","Tháng 01/2026","",""
"12","19/01/2026","XNL-L3/260106","Xuất vàng NL 99.9%- 8chỉ/30gr (Qui 24K: 29.97gr/0.7993L)- Nguồn Kim Tuấn Quang (15.050.000c)","24K","Vàng 24k","","","","","29.97","0.79930","Tháng 01/2026","99.90%",""
"13","19/01/2026","","Nhập vàng NL 99.97%- 11.97chỉ/44.89gr (Qui 24K: 44.88gr/1.1968L)- Nguồn Ngọc Tâm (15.050.000c)","24K","Vàng 24k","150,500,000đ","180,119,000đ","44.88","1.19680","","","Tháng 01/2026","",""
"14","19/01/2026","XNL-L3/260107","Xuất vàng NL 99.97%- 11.97chỉ/44.89gr (Qui 24K: 44.88gr/1.1968L)- Nguồn Ngọc Tâm (15.050.000c)","24K","Vàng 24k","","","","","44.88","1.19680","Tháng 01/2026","99.97%",""
"","","","CỘNG PHÁT SINH THÁNG 01/2026","","","","1,217,183,000đ","306.47gr","8.173L","306.47gr","8.173L","","",""
"","","","Không phát sinh","","","","","","","","","","",""
"","","","CỘNG PHÁT SINH THÁNG 02/2026","","","","0đ","0.00gr","0.000L","0.00gr","0.000L","","",""
"","","","Không phát sinh","","","","","","","","","","",""
"","","","CỘNG PHÁT SINH THÁNG 03/2026","","","","0đ","0.00gr","0.000L","0.00gr","0.000L","","",""
"1","03/04/2026","","Nhập vàng NL 99.99%- 55.01chỉ/206.29gr (Qui 24K: 206.29gr/5.5L)- Nguồn US (17.280.000c)","24K","Vàng 24k","172,800,000đ","950,573,000đ","206.29","5.50","","","Tháng 04/2026","",""
"2","03/04/2026","XNL-L3/260401","Xuất vàng NL 99.99%- 55.01chỉ/206.29gr (Qui 24K: 206.29gr/5.5L)- Nguồn US (17.280.000c)","24K","Vàng 24k","","","","","206.29","5.50","Tháng 04/2026","99.99%",""
"3","28/04/2026","","Nhập vàng NL 99.99%- 58.4chỉ/219gr (Qui 24K: 219gr/5.4L)- Nguồn L2 (17.370.000c)","24K","Vàng 24k","173,700,000đ","937,980,000đ","219.00","5.40","","","Tháng 04/2026","",""
"4","28/04/2026","XNL-L3/260402","Xuất vàng NL 99.99%- 58.4chỉ/219gr (Qui 24K: 219gr/5.4L)- Nguồn L2 (17.370.000c)","24K","Vàng 24k","","","","","219.00","5.40","Tháng 04/2026","99.99%",""
"","","","CỘNG PHÁT SINH THÁNG 04/2026","","","","1,888,553,000đ","425.29gr","10.901L","425.29gr","10.901L","","",""
"1","06/05/2026","","Nhập vàng NL 98.96%- 16.62chỉ/62.33gr (Qui 24K: 61.69gr/1.65L)- Nguồn Bùi Văn Tuyển (15.400.000c)","24K","Vàng 24k","154,000,000đ","254,100,000đ","61.69000","1.65000","","","Tháng 05/2026","",""
