"","","","","","","","","",""
"BẢNG KÊ CHI TIẾT NHẬP KHO VÀNG PHÂN KIM 24K","","","","","","","","",""
"","","","","","","","","",""
"Stt","Số chứng từ","Ngày
nhập kho","Trọng lượng
(Gr)","Điểm test 
Đối tác","Điểm test 1
Công ty","Điểm test 2
Công ty","Tuổi TB","Qui đổi 24K đúng tuổi
(Gr)","Qui đổi 24K đúng tuổi
(L)"
"(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)"
"Tổng cộng","","","877.70","","","","","877.50","23.40"
"1","NXPK-240401","27/04/2024","122.71","99.86%","99.85%","99.86%","99.86%","122.55","3.268"
"","","","","","","","","",""
"Tổng cộng tháng 4","","","122.71","","","","","122.55","3.27"
"1","NXPK-240501","15/05/2024","135.2","99.99%","99.99%","99.99%","99.99%","135.20","3.605"
"","","","","","","","","",""
"Tổng cộng tháng 5","","","135.20","","","","","135.20","3.61"
"1","NXPK-240601","07/06/2024","134.59","99.99%","99.99%","99.99%","99.99%","134.59","3.589"
"2","NXPK-240602","15/06/2024","232.19","99.76%","","","99.76%","232.19","6.192"
"Tổng cộng tháng 6","","","366.78","","","","","366.78","9.781"
"1","NXPK-240701","03/07/2024","97.69","","99.99%","99.99%","99.99%","97.69","2.605"
"2","NXPK-240702","11/07/2024","81.46","99.94%","","","99.94%","81.42","2.171"
"Tổng cộng tháng 7","","","179.15","","","","","179.11","4.776"
"1","NXPK-240801","05/08/2024","73.86","99.99%","","","99.99%","73.86","1.970"
"","","","","","","","","",""
"","","","","","","","","",""
"Tổng cộng tháng 8","","","0.00","","","","","73.86","1.97"
