"spreadsheet","tab_name","tab_gid","column_index","field_name"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","1","STT"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","2","NGÀY XUẤT"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","3","SỐ CHỨNG TỪ"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","4","DIỄN GIẢI"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","5","MÃ HÀNG"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","6","TÊN MÃ HÀNG"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","7","ĐƠN GIÁ (VND/lượng)"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","8","THÀNH TIỀN
VND"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","9","QTY BAN ĐẦU
(lượng)"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","10","TL BAN ĐẦU
GR"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","11","QTY  THỰC NHẬN"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","12","TL THỰC NHẬN"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","13","NGUỒN NHẬP"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính1","0","14","GHI CHÚ"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","1","STT"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","2","NGÀY XUẤT"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","3","SỐ CHỨNG TỪ"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","4","DIỄN GIẢI"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","5","MÃ HÀNG"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","6","TÊN MÃ HÀNG"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","7","ĐƠN GIÁ 
(lượng)"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","8","ĐVT"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","9","QTY BAN ĐẦU"
"10-theo-doi-mua-nvl-vang-bac-pt-2026","Trang tính4","432061305","10","TL BAN ĐẦU"
