"CÔNG TY TNHH SXHP","","","",""
"BẢNG TRÌNH DUYỆT GIÁ TÍNH HAO HỤT THỢ - THÁNG 11/2022
","","","",""
"Ngày : 30/11/2022","","","",""
"","","","",""
"    ","Phòng kế toán kính trình BGĐ/ Chị Hạnh duyệt giá tính hao hụt công nợ thợ Tháng 11/2022, chi tiết như sau :","","",""
"I. GIÁ NVL-VÀNG","","","",""
"NGÀY MUA","GIÁ VÀNG THEO THỜI ĐIỂM 
(VND/LƯỢNG)","GIÁ VÀNG BÌNH QUÂN 
(VND/LƯỢNG)","GIÁ QUY ĐỔI 
(VND/CHỈ)","NGUỒN DỮ LIỆU"
"3/11/2022","51,810,000","52,595,000 ","5,259,500 ","https://docs.google.com/spreadsheets/d/1w8yg1LZz6KdsEACvJ-p4W4woAbCNvv4g3pVsakJvtrg/edit#gid=258363105"
"11/11/2022","53,380,000","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"II.GIÁ NVL PT - BẠC/ USD","","","",""
"Ngày","CHỈ TIÊU","GIÁ NIÊM YẾT","GIÁ QUY ĐỔI
 (VND/GR)","NGUỒN DỮ LIỆU"
"31/10/2022","GIÁ PT (USD/OZ)","1043","831.717","KITCO"
"31/10/2022","GIÁ BẠC (USD/OZ)","22,320","17,798.6","https://www.kitco.com/"
"31/10/2022","GIÁ USD ($)","24.800","0","https://portal.vietcombank.com.vn/Personal/TG/Pages/ty-gia.aspx?devicechannel=default"
"","","","",""
"GHI CHÚ:","1 Oz = 31.1 gram","","","Người lập : Bùi Chí Phát - KT NVL"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","1/ Giá bạc:","22,320","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","2/ Giá PT:","1043","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","3/ Giá USD: ","24.800","",""
