"CÔNG TY TNHH ASIANA GOLD","","","","",""
"","","","","",""
"ĐỊNH MỨC HAO HỤT","","","","",""
"","","","","",""
"- Căn cứ thông báo số ","","","","",""
"","","","","",""
"","","","","",""
"Stt","CÔNG ĐOẠN","","TÊN 
CÔNG ĐOẠN","MÃ HAO HỤT","ĐỊNH MỨC"
"","CHUNG","CHI TIẾT","","","(Tỉ lệ/100gram)"
"HAO HỤT VÀNG","","","","",""
"1","NAU","24","Nấu nguyên liệu vàng 24K","NAU24","0"
"2","NAU","HH","Nấu chế HH20%, 25%,3% Bạc","NAUHH","0.0004"
"3","NAU","TT","Nấu chế vàng thấp tuổi (61-68-75)","NAUTT","0.0004"
"4","NAU","AG","Nấu chế nguyên liêu bạc","NAUAG",""
"5","NAU","PT","Nấu chế nguyên liêu PT","NAUPT",""
"6","CKE","24","Cán chỉ nguyên liệu 24K","CKE24",""
"7","CKE","TT","Cán chỉ nguyên liệu thấp tuổi (61-68-75)","CKETT","0"
"8","CKE","AG","Cán chỉ nguyên liệu bạc","CKEAG",""
"9","CKE","PT","Nấu chế nguyên liêu PT","CKEPT",""
"10","KCH","24","Kéo chỉ nguyên liệu 24K","KCH24",""
"11","KCH","TT","Kéo chỉ nguyên liệu thấp tuổi (61-68-75)","KCHTT","0.0002"
"12","KCH","AG","Kéo chỉ nguyên liệu bạc ","KCHAG",""
"13","KCH","PT","Kéo chỉ nguyên liệu PT","KCHPT",""
"14","DAN","24","Đan dây nguyên liệu 24K","DAN24","0"
"15","DAN","TT","Đan dây nguyên liệu thấp tuổi (61-68-75)","DANTT","0.0001"
"16","DAN","AG","Đan dây nguyên liệu bạc","DANAG",""
"17","DAN","PT","Đan dây nguyên liệu PT","DANPT",""
"18","HBT","24","Hàn dây nguyên liệu 24K","HBT24",""
"19","HBT","TT","Hàn dây nguyên liệu thấp tuổi (61-68-75)","HBTTT","0"
"20","HBT","AG","Hàn dây nguyên liệu bạc","HBTAG",""
"21","HBT","PT","Hàn dây nguyên liệu PT","HBTPT",""
"22","NEN","24","Nén dây nguyên liệu 24K","NEN24",""
"23","NEN","TT","Nén dây nguyên liệu thấp tuổi (61-68-75)","NENTT","0.00005"
"24","NEN","AG","Nén dây nguyên liệu bạc","NENAG",""
"25","NEN","PT","Nén dây nguyên liệu PT","NENPT",""
"26","DAP","24","Dập dây nguyên liệu 24K","DAP24",""
"27","DAP","TT","Dập dây nguyên liệu thấp tuổi (61-68-75)","DAPTT","0.0002"
"28","DAP","AG","Dập dây nguyên liệu bạc","DAPAG",""
"29","DAP","PT","Dập dây nguyên liệu PT","DAPPT",""
