"DUYỆT GIÁ TÍNH HAO","","","","","","",""
"","","","","","","",""
"Gộp","Tháng ","Năm","Giá vàng","Giá bạc","Giá PT","Giá PT95-PD","Giá PT900-PD"
"Tháng 01 Năm 2026","01","2026","14,935,000","270,000","","","6,701,000"
"Tháng 02 Năm 2026","02","2026","16,568,000","296,000","","","7,350,000"
"Tháng 03 Năm 2026","03","2026","16,568,000","","","",""
"Tháng 04 Năm 2026","04","2026","17,325,000","236,000","","","6,173,000"
"Tháng 05 Năm 2026","05","2026","15,407,000","240,000","","","5,959,000"
"Tháng 06 Năm 2026","06","2026","15,407,000","240,000","","",""
"Tháng 07 Năm 2026","07","2026","","","","",""
"Tháng 08 Năm 2026","08","2026","","","","",""
"Tháng 09 Năm 2026","09","2026","","","","",""
"Tháng 10 Năm 2026","10","2026","","","","",""
"Tháng 11 Năm 2026","11","2026","","","","",""
"Tháng 12 Năm 2026","12","2026","","","","",""
