"Công ty TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","Nấu mới","1012.83","1.519","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Nấu quay đầu vàng","2262.13","2.941","","","","","","","","",""
"","","","","","","BẢNG CHI TIẾT HAO HỤT","","","","","","","","","","","","","","","","Nấu quay đầu bạc","0","0","","","","","","","","",""
"","","","","","","Tháng 06 Năm 2026","","","","","","","","","","","","","","","","","","4.460","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mã nhân viên:","TD003","","Bồi thường","","Tuổi vàng","TL Vàng/Bạc (gr)","Quy 24K (gr)","ĐVT (chỉ)","Giá Vàng 24K (chỉ)","Thành Tiền","GSNB","","KTSX","","Người thực hiện nấu","","Người lập biểu","","","","","","","","","","","","","","","",""
"Công đoạn","Nấu chế nguyên liệu","","Vàng","24K","99.99%","0.00","0.00","0.00","15,407,000","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"Họ và tên","Lê Văn Tùng","","Vàng","23K","95.83%","0.00","0.00","0.00","15,407,000","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"Số tiền bồi thường","1,316,537","","Vàng","18K","75.00%","0.41","0.31","0.08","15,407,000","1,260,166 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"Giá vàng tạm tính","15,407,000","","Vàng","17K","70.80%","0.00","0.00","0.00","15,407,000","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"Giá bạc","240,000","","Vàng","16K","68.00%","0.00","0.00","0.00","15,407,000","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"Giá PT900-PD","","","Vàng","15K","61.00%","0.00","0.00","0.00","15,407,000","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"Giá PT95-PD","","","Vàng","10K","41.60%","0.00","0.00","0.00","15,407,000","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NVL","HHBAC","","0.00","","0.00","240,000","0 ₫","Ma Thị Mỹ Trân","","Lương Trí Hiển","","Lê Văn Tùng","","Huỳnh Hoài Phong","","","","","","","","","","","","","","","",""
"","","","NVL","BAC925","92.50%","0.95","","0.23","240,000","56,371 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NVL","PT90","90.00%","0.00","","0.00","","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NVL","PT90-PD","90.00%","0.00","","0.00","","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NVL","PT95-PD","95.00%","0.00","","0.00","","0 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Total","","","1.36","0.31","0.32","","1,316,537 ₫","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NAU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. Bảng chi tiết hao hụt","","","","","","","","","","29,859.14","29,775.31","0.00","83.83","57.30","","24.990","29.65","82.47","28.29","","","","","ALL","","","","","","","","",""
