"THỐNG KÊ SỐ LIỆU HAO HỤT VÀNG 17K & 10K & 23K & BẠC925","","","","","","","","","","","","","","","","","THỐNG KÊ SỐ LIỆU KHÂU NẤU BỘT BÀO","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Tháng 8+9+10/2025","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CĐ","TUỔI VÀNG","XUẤT
(gr)","NHẬP
(gr)","TL TP
(gr)","CHÊNH LỆCH XUẤT/NHẬP","","Hao hụt định mức Mr. Hiển đề nghị","","Hao hụt định mức các loại vàng đang áp dụng","","","Chênh lệch giữa ĐM mới và ĐM hiện hành","","","","","","","","","","","","","","","","",""
"","","","","","TL (gr)","Tỉ lệ HH %","Tỉ lệ /100gr","TL (gr)","Loại vàng","Tỉ lệ /100gr","TL (gr)","Tỉ lệ %/100gr","TL (gr)","","","","TUỔI VÀNG","XUẤT LÀM SẠCH","NHẬP LÀM SẠCH","CHÊNH LỆCH","Tỉ lệ HH/TL xuất","XUẤT NẤU
(L1)","NHẬP SAU NẤU
(L1)","CHÊNH LỆCH","Tỉ lệ HH/TL xuất","XUẤT NẤU
(L2)","NHẬP SAU NẤU
(L2)","CHÊNH LỆCH","Tỉ lệ HH/TL xuất"
"","","(1)","(2)","(3)","(4)=(1)-(2)","(5)=(4)/(1)","(6)","(7)=(1)*(6)/100","(8)","(9)","(10)=(1)*(9)/100","(11)=(12)/(1)*100","(12)=(7)-(10)","","","","","","","","","","","","","","","",""
"CÁN KÉO","","","","","","","","","","","","","","","","","17K","34.23","34.23","0","0.00%","34.23","33.9","0.33","0.96%","33.9","33.5","0.4","1.18%"
"(Tính hao cho thợ)","17K","504.43","504.37","503.66","0.06","0.01%","0.0004","0.0020","18K","0.0002","0.00101","0.020%","0.00101","","","","10K","104.25","103.79","0.46","0.44%","103.79","102.55","1.24","1.19%","102.55","101.2","1.35","1.32%"
"","10K","817.61","817.12","814.92","0.49","0.06%","0.0004","0.0033","15K","0.0002","0.00164","0.020%","0.00164","","","","","","","","","","","","","","","",""
"","23K","56.42","56.42","55.81","0","0.00%","","","24K","0","0.00000","0.000%","0.00000","","","","","","","","","","","","","","","",""
"","24K","86.96","86.95","86.95","0.01","0.01%","","","","","","","","","Gửi Phong/C.Nga,","","","","","","","","","","","","","",""
"","BAC925","440.35","439.96","439.96","0.39","0.09%","0.058","0.2554","","","","","","","","","","","","","","","","","","","","",""
"ĐAN DÂY","","","","","","","","","","","","","","","Hạnh có nội dung sau liên quan đến đề xuất của anh Hiển:","","","","","","","","","","","","","",""
"(Tính hao cho thợ)","17K","503.66","503.56","502.26","0.1","0.02%","0.0002","0.0010","18K","0.0001","0.00050","0.010%","0.00050","","","","","","","","","","","","","","","",""
"","10K","814.92","814.8","766.29","0.12","0.01%","0.0002","0.0016","15K","0.0001","0.00081","0.010%","0.00081","","Anh Hiển đề xuất định mức hao hụt (HH) cho vàng 17K và 10K, dựa trên số liệu chênh lệch thực tế sản xuất từ PKT trong các tháng 8, 9, 10.","","","","","","","","","","","","","",""
"","23K","71.49","71.5","66.96","-0.01","-0.01%","","","24K","0","0.00000","","0.00000","","Hạnh cần PKT hỗ trợ lập bảng so sánh số liệu chênh lệch nhập – xuất, cụ thể như sau:","","","","","","","","","","","","","",""
"","24K","74.26","74.25","72.79","0.01","0.01%","","","","","","","","","Vàng 17K: so sánh theo đề xuất của anh Hiển và định mức vàng 18K đã có.","","","","","","","","","","","","","",""
"","BAC925","772.6","771.56","765.48","1.04","0.13%","0.14","1.0816","","","","","","","Vàng 10K: so sánh theo đề xuất của anh Hiển và định mức vàng 15K đã có.","","","","","","","","","","","","","",""
"QUAY BI","","","","","","","","","","","","","","","Vàng 23K: so sánh với định mức vàng 24K đã có.","","","","","","","","","","","","","",""
"(Treo chi phí)","17K","502.26","501.98","501.98","0.28","0.06%","0.001","0.0050","18K","0.001","0.00502","0.000%","0.00000","","","","","","","","","","","","","","","",""
"","10K","792.38","791.81","791.81","0.57","0.07%","0.001","0.0079","15K","0.001","0.00792","0.000%","0.00000","","","","","","","","","","","","","","","",""
"","23K","51.28","51.26","51.26","0.02","0.04%","","","24K","0","0.00000","","0.00000","","","","","","","","","","","","","","","",""
"","BAC925","391.88","391.15","391.15","0.73","0.19%","0.17","0.6662","","","","","","","","","","","","","","","","","","","","",""
"GHÉP","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Treo chi phí)","10K","400.43","400.36","399.72","0.07","0.02%","","","15K","0.0001","0.000400","-0.0100%","-0.000400","","","","","","","","","","","","","","","",""
"","BAC925","44.05","44.03","44.03","0.02","0.05%","0.04","0.0176","","","","","","","","","","","","","","","","","","","","",""
