"Công ty TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","Tháng 1/2026","",""
"","","","","","","","","","","","","","","","","","","",""
"BẢNG CHI TIẾT HAO HỤT CÔNG ĐOẠN BÀO DÂY & KHẮC BI ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Tháng 1/2026","","","","","","","",""
"","","","","","","1","","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Công đoạn","Loại vàng","","Tuổi vàng","Tổng xuất
(gr)","Tổng nhập
(gr)","Tổng bột sổ sách
(gr)","","Tổng bột thực tế
(gr)","","Hao hụt
(gr)","","Tỉ lệ HH/ TL bột sổ sách (%)
Qui 24K","Thành phẩm
(gr)","","Định mức
(Tỉ lệ/100gr)","Hao hụt định mức Qui 24K
(gr)","Hao hụt vượt định mức
Qui 24K (gr)","Tỉ lệ hao hụt vượt định mức/ TL bột sổ sách Qui 24K (%)","Ghi chú"
"","","","","","","Nguyên ","Qui 24K","Nguyên ","Qui 24K","Nguyên ","Qui 24K","","Nguyên ","Qui 24K","","","","",""
"","","","","[1]","[2]","[3] =[1]-[2]","[4] = Tuổi *[3]/99.99%","[5]","[6] = Tuổi *[5]/99.99%","[7] = [3]-[5]","[8] = Tuổi * [7]/99.99%","[9] = [8]/[4]*100%","[10]","[11]=Tuổi*[10]/99.99%","[12]","[13] = [12]*[11]/100gr","[14] = [8] -[13]","[15] = [14]/[4]*100%",""
"TỔNG CỘNG","","","","1075.24","1076.36","-1.12","-0.64","0.00","0.00","-1.120","-0.64","","964.36","561.00","","0.000","-0.639","",""
"Bào dây","Vàng","24K","99.99%","0.00","0.00","0.00","","0.00","","0.000","","0.000%","0.00","","","0.00","0.00","0.000%",""
"BÀO DÂY","Vàng","18K","75.00%","518.32","518.68","-0.36","-0.27","0.00","0.00","-0.36","-0.27","1.00","463.95","348.00","0.0000","0.0000","-0.27","","Chi phí treo"
"","","16K","68.00%","19.30","19.50","-0.20","-0.14","0.00","0.00","-0.20","-0.14","1.00","18.23","12.40","0.0000","0.0000","-0.14","",""
"","Vàng","15K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","#DIV/0!","0.00","0.00","0.0000","0.0000","0.00","",""
"","","10K","41.60%","537.62","538.18","-0.56","-0.23","0.00","0.00","-0.56","-0.23","1.00","482.18","200.61","","0.0000","-0.23","",""
"Total","","","","1075.24","1076.36","-1.12","-0.64","0.00","0.00","-1.12","-0.64","#DIV/0!","964.36","561.00","0.00","0.00","-0.64","100.02%",""
"KHẮC BI","Vàng","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","#DIV/0!","0.00","0.00","0.0000","0.000","0.00","","Tính hao hụt công nợ thợ"
"","","16K","68%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","#DIV/0!","0.00","0.00","0.0000","0.000","0.00","",""
"","Vàng","15K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","#DIV/0!","0.00","0.00","0.0000","0.000","0.00","",""
"","","10K","41.60%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","#DIV/0!","0.00","0.00","","0.000","0.00","",""
"Total","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","#DIV/0!","0.00","0.00","0.00","0.00","0.00","#DIV/0!",""
