"CÔNG TY TNHH ASIANA GOLD","","","","",""
"","","","","",""
"ĐỊNH MỨC HAO HỤT","","","","",""
"","","","","",""
"- Căn cứ thông báo số ","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"Stt","CÔNG ĐOẠN","","TÊN 
CÔNG ĐOẠN","MÃ HAO HỤT","ĐỊNH MỨC"
"","CHUNG","CHI TIẾT","","","(Tỉ lệ)"
"HAO HỤT VÀNG","","","","",""
"1","NAU","24","Nấu nguyên liệu vàng 24K","NAU24","0.00%"
"2.1","NAU","TTNC","Nấu chế mới > =250gr","NAUTTNC","0.15%"
"2.2","NAU","TTNT","Nấu chế mới < 250gr","NAUTTNT","0.15%"
"3.1","NAU","TTOC","Nấu quay đầu nguyên liệu > = 250gr","NAUTTOC","0.13%"
"3.2","NAU","TTOT","Nấu quay đầu nguyên liệu < = 250gr","NAUTTOT","0.13%"
"4.1","NAU","AGNT","Nấu chế mới","NAUAGNT","0.13%"
"4.1","NAU","AGNC","Nấu chế mới","NAUAGNC","0.13%"
"4.2","NAU","AGOT","Nấu quay đầu nguyên liệu","NAUAGOT","0.11%"
"4.2","NAU","AGOC","Nấu quay đầu nguyên liệu","NAUAGOC","0.11%"
"4.3","NAU","PTOT","Nấu quay đầu nguyên liệu","NAUPTOT",""
"4.4","NAU","PTOC","Nấu quay đầu nguyên liệu","NAUPTOC",""
