"[AGVN-KT409]- BÁO CÁO TỔNG HỢP NHẬP XUẤT TỒN NGUYÊN VẬT LIỆU  -  QUÝ I/2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STT","MÃ NL","TÊN NGUYÊN LIỆU","TUỔI ","TỒN ĐẦU KÌ","","THÁNG 01","","","","","","THÁNG 02","","","","","","THÁNG 03","","","","","","QUÝ I/2026","","","","TỒN CUỐI KÌ",""
"","","","","","","NHẬP TRONG KÌ","","XUẤT TRONG KÌ","","TỒN CUỐI KÌ","","NHẬP TRONG KÌ","","XUẤT TRONG KÌ","","TỒN CUỐI KÌ","","NHẬP TRONG KÌ","","XUẤT TRONG KÌ","","TỒN CUỐI KÌ","","NHẬP TRONG KÌ","","XUẤT TRONG KÌ","","",""
"","","","","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)"
"A. NGUYÊN VẬT LIỆU VÀNG","","","","2163.99","40.81","19702.11","283.64","20090.86","296.43","1775.24","28.03","352.70","8.40","781.83","13.89","1346.11","22.53","-","-","9.03","0.18","1337.08","22.35","20054.81","292.04","20881.72","310.50","1337.08","22.35"
"1","NL24K","Vàng 24K","99.99%","-","-","92.76","2.47","92.76","2.47","-","-","0.40","0.01","0.40","0.01","-","-","-","-","-","-","-","-","93.16","2.48","93.16","2.48","-","-"
"2","NL23K","Vàng 23K","95.83%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3","NL999","Vàng 999","99.90%","-","-","99.79","2.66","99.78","2.66","0.01","0.00","-","-","-","-","0.01","0.00","-","-","-","-","0.01","0.00","99.79","2.66","99.78","2.66","0.01","0.00"
"4","NL99","Vàng 99","99.00%","190.83","5.04","545.90","14.41","733.32","19.36","3.41","0.09","209.16","5.52","212.60","5.61","-0.03","-0.00","-","-","-","-","-0.03","-0.00","755.06","19.94","945.92","24.97","-0.03","-0.00"
"5","NL18K","Vàng 18K","75.00%","88.79","1.78","2360.59","47.22","2312.66","46.26","136.72","2.73","54.63","1.09","135.81","2.72","55.54","1.11","-","-","-","-","55.54","1.11","2415.22","48.31","2448.47","48.97","55.54","1.11"
"6","NL17K","Vàng 17K","70.80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7","NL16K","Vàng 16K","68.00%","101.05","1.83","64.21","1.16","165.09","2.99","0.17","0.00","-","-","-","-","0.17","0.00","-","-","-","-","0.17","0.00","64.21","1.16","165.09","2.99","0.17","0.00"
"8","NL15K","Vàng 15K","61.00%","68.23","1.11","165.88","2.70","232.80","3.79","1.31","0.02","-","-","-","-","1.31","0.02","-","-","-","-","1.31","0.02","165.88","2.70","232.80","3.79","1.31","0.02"
"9","NL10K","Vàng 10K","41.60%","5.81","0.06","7911.55","87.77","7567.89","83.96","349.47","3.88","-","-","348.91","3.87","0.56","0.01","-","-","-","-","0.56","0.01","7911.55","87.77","7916.80","87.83","0.56","0.01"
"10","BOT24K","Bột 24K","99.99%","3.28","0.09","-","-","-","-","3.28","0.09","-","-","-","-","3.28","0.09","-","-","-","-","3.28","0.09","-","-","-","-","3.28","0.09"
"11","BOT23K","Bột 23K","95.83%","6.97","0.18","-","-","-","-","6.97","0.18","-","-","-","-","6.97","0.18","-","-","-","-","6.97","0.18","-","-","-","-","6.97","0.18"
