"","","","","","","","","","","",""
"BÁO CÁO TỔNG HỢP NXT NVL KHO AG NĂM 2026","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"STT","MÃ NHÓM NL","TÊN NHÓM NL","TUỔI NGUYÊN LIỆU","TỒN ĐẦU KÌ","","NHẬP TRONG KÌ","","XUẤT TRONG KÌ","","TỒN CUỐI KÌ",""
"","","","","","","","","","","",""
"","","","","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)","TL NGUYÊN (Gr)","QUY 99.99 (L)"
"A. NGUYÊN VẬT LIỆU VÀNG","","","","2163.99","40.81","45025.475","796.691","45731.48","811.74","1457.985","25.764"
"1","NL24K","Nguyên liệu vàng 24K","99.99%","0","0.00","1616.59","43.109","1616.36","43.10","0.23","0.01"
"2","NL23K","Nguyên liệu vàng 23K","95.83%","0","0.00","6.9","0.18","6.9","0.18","0","0.00"
"3","NL99","Nguyên liệu 99","99.00%","190.83","5.04","817.39","21.58","1008.24","26.62","-0.02","0.00"
"4","NL999","Nguyên liệu 999","99.90%","0","0.00","99.79","2.66","99.78","2.66","0.01","0.00"
"5","NL18K","Nguyên liệu vàng 18K","75.00%","88.79","1.78","16353.44","327.10","16311.7","326.27","130.53","2.61"
"6","NL17K","Nguyên liệu vàng 17K","70.80%","0","0.00","0","0.00","0","0.00","0","0.00"
"7","NL16K","Nguyên liệu vàng 16K","68.00%","101.05","1.83","199.43","3.62","300.31","5.45","0.17","0.00"
"8","NL15K","Nguyên liệu vàng 15K","61.00%","68.23","1.11","806.12","13.11","872.99","14.20","1.36","0.02"
"9","NL10K","Nguyên liệu vàng 10K","41.60%","5.81","0.06","7980.59","88.54","7985.84","88.60","0.56","0.01"
"10","BOT18K","Nguyên liệu bột 18K","75.00%","62.77","1.26","303.18","6.06","362.66","7.25","3.29","0.07"
"11","BOT16K","Nguyên liệu bột 16K","68.00%","11.94","0.22","14.2","0.26","26.05","0.47","0.09","0.00"
"12","BOT15K","Nguyên liệu bột 15K","61.00%","0.04","0.00","20.87","0.34","20.82","0.34","0.09","0.00"
"13","BOT24K","Nguyên liệu bột 24K","99.99%","3.28","0.09","3.23","0.09","6.51","0.17","0","0.00"
"14","BOT23K","Nguyên liệu bột 23K","95.83%","6.97","0.18","6.96","0.18","13.93","0.36","0","0.00"
"15","BOT10K","Nguyên liệu bột 10K","41.60%","6.04","0.07","101.63","1.13","102.48","1.14","5.19","0.06"
"16","BOT17K","Nguyên liệu bột 17K","70.80%","0","0.00","0.66","0.01","0.66","0.01","0","0.00"
"17","VAYHAN18K","Nguyên liệu vảy hàn 18K","75.00%","0","0.00","0","0.00","0","0.00","0","0.00"
